first_release_date,genres,id,name,platforms,storyline,summary
1694649600,[9],253848,Strongblade: Match 3 Puzzle and Match-3 Adventure,[6],Missing,Strongblade is a match3 puzzle game where you play as Sean the Mouse Travel through a captivating world filled with puzzles outsmart cunning villains befriend charming animals and build unique camps
1694044800,[13],253666,Autobahn Police Simulator 3: Off-Road DLC,"[6, 48, 167, 169]",Take on new missions in the expanded story mode and crack your cases with new gameplay mechanics such as evidence checks In addition to the new story mode missions OffRoad features an expanded free play mode with a variety of new accidents to respond to  Chase down criminals in remote terrains with the help of your new team member a dog The keen sense of your loyal fourlegged partner will help you to track down suspects and bring them to justice  With the brandnew police vehicle designed specifically for offroad navigation you will be perfectly prepared to venture off the beaten tracks and outmanoeuvre criminals in the extended car chases Navigate through offroad terrain and stop perpetrators as they try to evade the law,Your shift in Autobahn Police Simulator 3 continues  with the new OffRoad DLC
1694390400,[10],253064,The Crew: Motorfest - Ultimate Edition,"[6, 49, 167, 169]",Missing,Ultimate Edition includes the game Year 1 Pass Fitted Ultimate Pack and up to three days of early access to the game  Prepurchase to get the Liberty Walk Pack including the Toyota GR Supra 2021 LBWK Edition  Welcome to Motorfest the ultimate driving experience Explore the vibrant open world of Oahu in Hawaii as you compete in intense races themed events and much more
1695686400,"[12, 31]",252971,Cyberpunk 2077 & Phantom Liberty Bundle,"[6, 49, 169]",Missing,The Cyberpunk 2077  Phantom Liberty Bundle features the openworld actionadventure game and its spythriller expansion Enter the world of Cyberpunk 2077 and shape your story in the deadly megalopolis of Night City
1694995200,Missing,252878,Payday 3: Gold Edition,"[6, 167, 169]",Missing,Gold Edition PreOrder includes Main Game Play Early 3 Days Preorder bonus SEASON PASS 12 months Dark Sterling mask Skull of Liberty Mask Gold Slate Gloves
1695772800,"[8, 31]",252175,Paw Patrol: World,"[6, 48, 49, 130, 167, 169]",Missing,Explore the world of PAW Patrol like never before and stop Mayor Humdingers super blimp mayhem in a freeroaming 3D adventure full of puptastic fun
1693958400,"[31, 32]",251972,The Last Hero: Journey to the Unknown,[6],Missing,In a world dominated by evil only one hero against many enemies explore conquer and dont give up if you get lost Help our hero in this platform game in the fight against the forces of evil
1695168000,"[31, 32]",251918,Pyramid Curse,[6],Missing,Explore the tunnels of a mysterious underground pyramid
1695254400,[15],251728,Days of Doom,"[6, 48, 49, 130, 167, 169]",Missing,Gather your heroes and fight to make it to Sanctuary in this tactical RPG roguelite Did we mention the zombies raiders and mysterious monstrosities that inhabit this postapocalyptic wasteland Welcome to the world of Days of Doom
1695772800,Missing,251657,Street Fighter 6: Year 1 - A.K.I.,"[6, 48, 167, 169]",Missing,AKI is the second DLC character for Street Fighter 6 in the Year 1 CharacterUltimate Pass  A poisonwielding apprentice of FANG the former Shadaloo officer Enchanted by the power of toxins nothing brings her more joy than testing them on a new targetother than attention from her master that is
1695686400,"[12, 31]",251497,Minecraft: Dungeons & Dragons,"[6, 34, 39, 49, 169]",Missing,Experience a dramatic tale unfold with Minecrafts Dungeons  Dragons DLC Explore iconic locations in the Forgotten Realms like Icewind Dale and Candlekeep battling Beholders Mimics and more Choose your class unlock classic spells and ace ability checks to escape sticky situations Your story awaits
1693872000,"[8, 9, 31, 32]",250763,True Virus,"[6, 49, 130]",Missing,True Virus is a pointandclick adventure game that takes players to an abandoned psychiatric hospital Set in a world ravaged by an enigmatic and dangerous pandemic
1694649600,[4],250151,Mortal Kombat 1: Kombat Pack,"[6, 49, 130, 167, 169]",Missing,The Kombat Pack will feature a Johnny Cage character skin with the likeness of famed actor and martial artist JeanClaude Van Damme It also provides early access to six new playable characters with OmniMan Invincible Quan Chi Peacemaker DC Peacemaker Ermac Homelander The Boys and Takahashi Takeda along with the five additional Kameo Fighters Tremor Mavado Johnny Cage Ferra and Khameleon
1694649600,"[4, 31]",250148,Mortal Kombat 1: Premium Edition,"[6, 130, 167, 169]",Fight through a brand new story featuring your favorite Mortal Kombat characters like youve never seen them before,The Premium Edition includes the Kombat Pack early access to the game beginning Sept 14 and 1250 Dragon Krystals ingame currency  The Kombat Pack will feature a Johnny Cage character skin with the likeness of famed actor and martial artist JeanClaude Van Damme available at launch early access to six new playable characters available postlaunch and five new Kameo Fighters available postlaunch
1694217600,"[13, 31, 32]",249357,Birds Aren’t Real,"[6, 14]",Missing,As a government surveillance pigeon drone youll engage in missions sneak around the city and use your creative thinking to manipulate the townsfolk and dispel their suspicions about your totally notreal Avian Task Force
1695254400,"[9, 31]",249255,Rainbow High: Runway Rush,"[6, 48, 49, 130, 167, 169]",Missing,Play as the Rainbow High girls explore the school and use their unique talents to complete your first art assignment LetYourTrueColorsShine
1695772800,[32],248965,Star Farmer: Warlock of the Universe,[6],Missing,A relaxing bullet heaven farming adventure Play as a powerful Warlock with a side hustle harvesting plants in space  Build the ultimate space farm as you explore the galaxy and stumble onto the mystery of a dead planet Cultivate exotic plant life trade your harvests for credits and customize your runs with unique powers in this roguelite adventure
1695772800,"[32, 34]",248918,Carrot: The First Seed,[6],Missing,A tiny visual novel about a tiny coastal town
1694131200,"[12, 32]",247926,Solo Hunt: Ten Floor,[6],Missing,Solo Hunt Ten Floor is a roguelike action rpg dungeon crawler with ten treacherous levels filled with fearsome monsters deadly traps and puzzles to be solved
1695859200,"[9, 12, 31, 32]",247828,Freak Crossing,"[6, 130]",Missing,An accident makes you the temporary village head of a village of male thieves and female prostitutes
1696032000,"[12, 31, 32]",247822,Fate of New Albans,[6],Missing,Engage with the townsfolk and native people to make decisions and choices your actions will decide the fate of New Albans With multiple endings solve puzzles speak to NPCs and explore the land in this story adventure
1694822400,"[10, 13]",247722,Astro-Not,[6],Missing,Join the community of AstroNots and explore the galaxy compete for the fastest time or share your creations with other players Take on the challenge and become the ultimate Astronot
1695686400,[32],247710,ReLinked,[6],Missing,ReLinked is a pixelated Sovietpunk actionPRG in which you have to fight back against extraterrestrial intelligence and uncover the mysterious secrets of faraway space
1694649600,"[13, 31, 33, 35]",247190,Inspector Gadget: Mad Time Party,"[6, 48, 49, 130, 167, 169]",Missing,Go Go Gadget Become the famous Inspector Gadget and have fun with your friends in this brandnew adventure
1694476800,"[12, 32]",246919,God of Weapons,[6],Missing,Embark on a thrilling journey in God of Weapons an action roguelike where you must ascend the tower of Zhor to reclaim the last light for the world To survive the monster onslaught on each towers level youll need to obtain and carefully organize weapons and accessories in your inventory
1695772800,"[2, 9, 31, 32]",246917,Underground Blossom,"[6, 14]",Missing,Underground Blossom is an upcoming adventure game by Rusty Lake Fulfil various tasks at every station to find the metro that will take you through each important event from Laura Vanderbooms life
1695859200,"[13, 31]",246622,Dolphin Spirit: Ocean Mission,"[6, 48, 49, 130, 167, 169]",Missing,Embark on an amazing adventure on the tropical island of Maupiroa Take to the seas and discover the secrets that surround the island Dive into the oceans depths teeming with life and color with your dolphin friend Keanu
1695686400,"[13, 32]",245824,Dwarves Mining Idle,[6],Missing,Starting with a lonely Dwarf endlessly mine to gather materials and use them to progress farther Have more Dwarves join in craft resources and upgrade literally everything The mines of the idle Dwarves await you
1693872000,Missing,244910,Witchcraft: Candy Hunt,[6],Missing,Witchcraft Candy Hunt is an oldschool shooter game with charming pixel art graphics that will take you on a Halloween adventure Fly on a broomstick and battle your way through three exciting levels each one featuring unique spooky creatures such as pumpkin monsters evil crows and ghosts
1695340800,"[4, 31, 32, 33]",244901,Bud Spencer & Terence Hill: Slaps and Beans 2,"[6, 48, 49, 130, 167, 169]",Missing,The second chapter of the official video game of Bud Spencer and Terence Hill
1694736000,"[14, 33]",244852,Golf vs. Zombies,[6],Missing,Golf VS Zombies is an arcade golf simulator with RPG elements which combines golfing precision with actionpacked combat against the undead Grab your clubs and get in your golf cart for in this zombie apocalypse there is only golf
1693612800,"[9, 31, 32]",244776,Confabulation: Homestead,[6],For the last few months you have noticed strange occurrences around your property Strange noises from around your yard something moving in the corner of your eyes strange lights appearing around at night You set out traps and managed to capture something you can not explain but at a cost Your family has gone missing The police suspect you had something to do with it You need to figure out what happened to your family while keeping what lurks at bay,Horror puzzle game with spotthedifference elements for survival Complete interesting puzzles throughout your home to gain access to more areas and unlock more of the story all while using your modified camera to survive the threat that is lurking
1695340800,"[31, 32]",244691,StormEdge: Wind of Change,[6],Missing,Discover the origins of the Elemental Tempests in the StormEdge Wind of Change the prequel to the main game StormEdge Uncover the cause of the magical disturbance in the world
