first_release_date,genres,id,name,platforms,summary,storyline
1601596800,"[13, 32]",151229,Masters of Puzzle: Black and White - Beads in the Wall,"[6, 14]",A puzzle box with Black  White photography for the Masters of Puzzle game,Missing
1603929600,"[13, 32]",151226,Masters of Puzzle: Halloween Edition - Pumpkin Champion,"[6, 14]",A special edition puzzle box in the traditional art for the Masters of Puzzle game,Missing
1602720000,"[8, 31, 32, 33]",151187,Barry the Bunny,"[6, 48, 49, 130, 167, 169]",A 2D platformer with short challenging levels about a bunny who builds bridges,Missing
1603324800,[15],151100,Zen! Slider,"[6, 14]",A minimalistic puzzle game where you will have to use all of your brain capacity to pass the levels,Missing
1603756800,Missing,151082,The Chronicles of Moses and the Exodus,[6],Enjoy the classic story of Moses and his quest to lead his people to freedom in the epical match3 game The Chronicles of Moses and the Exodus When Moses flees Egypt after turning against the Pharaoh he has no idea that God has great plans in store for him,Missing
1603324800,"[13, 15]",151061,Anno 1800: Land of Lions,[6],The 3rd DLC of the Anno 1800 Season 2 Pass  Produce new trade goods to satisfy the needs of your two local residential tiers The selfless Shepherds and traditionalist Elders,Turn the Land of Lions green with the new irrigation system and construct watering canals to transform the drylands into a lively oasis for the people  Use the new Enbesan Scholar residents in the Old World and learn how to create all Items at your demand in their monumental Research Institute  New Major Discoveries give you powerful abilities like changing island fertilities  Experience a rich story in which Emperor Ketema fights to keep his land free of foreign influence  Discover an ancient monastery a downtrodden oasis and a fiercely independent island fortress and solve their quests to unite Enbesa
1601856000,"[15, 31, 32]",151052,Survived,[6],First Person Shooter tower defensive strategy game gather materials build and see how long you can survive,Missing
1602201600,"[31, 32]",150974,Too Different,"[3, 6, 14]",Unravel the mysterious past of your parents and homeland while journeying through four unique lands in this exciting sciencefantasy adventure,Missing
1601596800,"[31, 32]",150967,SmFly: Gravity Adventure,[6],Platformer with physics and gravity toggle,Missing
1603152000,"[31, 32]",150948,Project Blari,[6],Try to survive in this semi open horror game inspired by the ps1 graphic era,Missing
1602374400,"[5, 31]",150901,Arcus,"[6, 34]",Arcus is a fantasy action game where failure is just the next step in the story Use a bow to aim and fire arrows at invading enemies Swing your sword at any angle to get past enemy defenses Spend resources between missions to buy special arrow types and increase your chances of success while you solve the mystery behind the new undead skeleton faction in a land where magic has been made taboo,Missing
1601596800,"[31, 32]",150863,Wardroid,[6],Following the steps of the No0 Wardroid named Jona and experience the escape from dangerous research facility joining the organization against extremism completing various tasks and finally proving herself on the battlefield,Missing
1602547200,[32],150847,Cube Runner 2,[6],Cube Runner 2 is a 3d action platformer thats simple to learn exciting to play and deep enough to challenge even the greatest gamers,Missing
1604016000,[32],150845,Miray,"[6, 14]",Its a rhythm game inspired by the Reflection The ball will bounce slope to slope You should press any key when the ball hits the slope,Missing
1604102400,[32],150690,Bubble Gun 3D,[6],The most unique addicting and satisfying shooting game so far,Missing
