,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
48,"[5, 24, 31]",74878,Hitman: Game of the Year Edition,"[3, 6, 14, 48, 49]",Missing,Experiment and have fun in the ultimate playground as Agent 47 to become the master assassin Travel around the globe to exotic locations and eliminate your targets with everything from a katana or a sniper rifle to an exploding golf ball or some expired spaghetti sauce  Hitman Game of the Year Edition includes all of this brand new content Patient Zero campaign featuring 4 new missions 3 new Themed Escalation Contracts 3 new Outfits 3 new Weapons,96.85037469785871,,,,,,
49,"[5, 15, 31]",59849,L.A. Noire,"[48, 49]",Missing,LA Noire for PlayStation 4 and Xbox One delivers the complete original game and all additional downloadable content with a range of technical enhancements for greater visual fidelity and authenticity including enhanced lighting and clouds new cinematic camera angles high resolution textures and more LA Noire plays natively in 1080p for the PlayStation 4 and Xbox One consoles and stunning 4K for PlayStation 4 Pro and Xbox One X capturing the grit and grime of the City of Angels like never before,91.79582854265617,21.77,28.8,41.49,79.0,1364.0,1485.0
50,[13],75868,Farming Simulator 17: Platinum Edition,"[6, 14, 48, 49]",Missing,Take on the role of a modern farmer in Farming Simulator 17 Platinum Edition Immerse yourself in three huge open worlds loaded with a harvest of new content  Discover a new South American playground exclusive to the Platinum Edition and its authentic landscapes unique vegetation railway network local cows and sugarcane fields offering a total change of scenery and more gameplay possibilities Drive more than 275 authentic farming vehicles and equipment from over 80 manufacturers including AGCO brands Challenger Fendt Massey Ferguson or Valtra as well as new brands exclusive to this Platinum Edition such as Stara TT Bizon and Gessner Industries Harvest many types of crops including sunflowers soybeans sugarcanes and more Take care of your livestock  including cows sheep chickens and pigs  try your hand at forestry and sell your produce to expand your farm Transport your goods with trucks and trailers or load and drive trains to quickly reach your destination  Grow your farm online with other players and download communitycreated mods for an everexpanding Farming Simulator experience,90.0,,,,,,
51,"[12, 31]",37083,Horizon Zero Dawn: The Frozen Wilds,"[6, 48]",Beyond the northern mountains the borderlands of the Banuk tribe challenge all who dare enter to survive the extremes But now this frozen wilderness harbors a new threat and for Aloy a new mystery  one shes determined to solve,The Frozen Wilds contains additional content for Horizon Zero Dawn including new storylines characters and experiences in a beautiful but unforgiving new area,85.39612846863653,7.38,12.57,17.57,82.0,396.0,591.0
52,"[12, 25]",68461,Nioh: Complete Edition,"[6, 48]",Missing,Steel your mind and ready your blade for an intense action RPG experience set in bloody Sengoku era Japan Combining real life historical events with dark fantasy and folklore face off against bloodthirsty warlords and otherworldly demons  using an arsenal of weaponry magic and ninjutsu to defy death  In this edition of Nioh discover Williams complete journey along the path of the samurai with three huge addons including  Dragon of the North  Defiant Honor  Bloodsheds End  Equip yourself for the adventure with five powerful Nioh weapons the Nioh Armor set and three allnew pieces of headgear the Visitors Dragon Kabuto the Good Fox Kabuto and the Lucky Tanuki Kabuto Additionally enjoy wearing the Dharmachakra Kabuto as a Steam exclusive bonus,82.49632285783332,43.43,74.16,143.22,78.0,334.0,383.0
53,"[4, 33]",83769,ACA Neo Geo: The King of Fighters '97,"[48, 49, 130]",Missing,The King of Fighters 97 is a fighting game released by SNK in 1997 Featuring popular characters from FATAL FURY and ART OF FIGHTING these fighters will battle to determine who is the strongest The ADVANCED and EXTRA modes of gameplay offer an even deeper level of tactics,80.31680694111584,,,,,,
54,"[4, 5, 13, 32, 33]",84731,Aces of the Luftwaffe: Squadron,"[6, 34, 39, 48, 49, 130]",Every end is a new beginning When Europe seemed to be freed a secret German commando called The Aces of the Luftwaffe took their chance to strike back and invade the USA Its your duty to restore peace and liberty by climbing aboard deadly wings of steel and fight against their fearsome war machines in bombastic air battles Experience an epic storyline and survive the bullet hail above US coasts and cities Command your wingmen fight as a team fight as a squadron,The Aces of the Luftwaffe have returned Dodge a hail of bullets and face their fearsome war machines in bombastic air battles and boss fights  Aces of the Luftwaffe Squadron is an actionpacked vertically scrolling shoot em up with a captivating and fully voiced narrative Dodge bullets collect massive power ups and wisely use special abilities as you defeat waves of enemies Upgrade each member of your squadron with their personal skill tree as you level up But dont go to war alone You can take on the Aces with up to 3 friends in an epic 4 player local coop battle Are you up to the task,80.0,2.97,8.42,0.0,65.0,7.0,4.0
55,"[5, 15, 31]",77776,Knives Out,"[34, 39, 48, 130]",Missing,100 players are scattered throughout the 6400m6400m battlefield Explore the map collect weapons take aim and pull the trigger Remember there can only be one winner  Explore islands snowcapped mountains train tunnels and other unique locations while you wait for your moment to strike  Storm the battlefield with battle buddies in Duo Mode Squad Mode and Fireteam Mode Coordinate your attacks with your teammates using voice chat to outmaneuver and crush your enemies  It doesnt matter if you choose to ambush your enemy or attack head on snipe from a distance or get close and messy there is only one objective survive at all costs,80.0,0.0,0.0,0.0,0.0,0.0,0.0
56,"[4, 14, 33]",76213,ACA Neo Geo: Soccer Brawl,"[6, 48, 49, 130]",Missing,Soccer Brawl is a soccer game released by SNK in 1992 Sparks fly as teams representing 8 different countries battle for the championship Staged in the near future teams feature 7 robot player instead of the normal 11 players allowing the defense to also go on the attack and for a variety of arrangements,80.0,,,,,,
57,"[4, 33]",76054,ACA Neo Geo: Karnov's Revenge,"[48, 49, 130]",The quest to defeat the mysterious Baron of Battlers the mysterious K is on In order to get to this grotesque gladiator however you need to fight your way through 11 matches with the most skilled most deadly of all combatants in the world of physical contact Use your powers of pulverization psychic energy blasts and ridiculous strength to become the explosive fighting god in FIGHTERS HISTORY DYNAMITE,Karnovs Revenge is a fighting game released by Data East in 1994 Thirteen combatants have once again gathered to compete in the Great Grapple The Weak Point system allows for enjoyable and deep combat,80.0,,,,,,
