first_release_date,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1613433600,"[5, 8, 10, 32, 33]",117106,Speed Limit,"[6, 48, 49, 130, 169]",Speed Limit is a nonstop genrewarping arcade experience that never slows down No cuts no lapses in the chaos Speed Limit is an oldschool action extravaganza boiled down to its core elements Hard Fast Addictive  As soon as you think youve learned how the game works it changes to a completely different genre taking you through the history of the golden arcade era  Fight through a nailbiting sidescrolling shooter race to the finish in an explosive topdown car chase take flight in a thrilling fake3D dogfight and expect the unexpected Speed Limit seamlessly changes styles transforms the gameplay and offers new challenges the moment you feel comfortable  Running Driving Flying Dying many many times  From the moment you click play to the moment you die you are in control  And you will die A lot,Speed Limit is a nonstop genrewarping arcade experience that never slows down No cuts no lapses in the chaos Speed Limit is an oldschool action extravaganza boiled down to its core elements Hard Fast Addictive  As soon as you think youve learned how the game works it changes to a completely different genre taking you through the history of the golden arcade era  Fight through a nailbiting sidescrolling shooter race to the finish in an explosive topdown car chase take flight in a thrilling fake3D dogfight and expect the unexpected Speed Limit seamlessly changes styles transforms the gameplay and offers new challenges the moment you feel comfortable  Running Driving Flying Dying many many times  From the moment you click play to the moment you die you are in control  And you will die A lot,Missing,1.25,1.87,0.0,65.0,13.0,16.0
1613865600,"[4, 31, 32]",116533,Dandy Ace,"[6, 48, 49, 130]",Missing,Dandy Ace is an over the top action game that follows this fabulous magician seeking to combine and use his magical cards fighting and looting his way to defeat the GreenEyed Illusionist and free himself from a cursed mirror,Missing,7.57,10.29,26.5,70.0,30.0,28.0
1613692800,"[5, 8, 31, 32, 33]",116512,Gravity Heroes,"[6, 48, 49, 130]",Missing,Gravity Heroes gives you the ability to change gravity in a beautiful pixelated world You can play the game alone challenging yourself to beat the best score but you can also invite your friends and see who is the master of gravity Play the game up to 4 players in any game mode,Missing,4.33,0.0,0.0,60.0,1.0,1.0
1613952000,"[9, 12, 13, 15, 31, 32]",97271,A Perfect Day,"[6, 14, 48, 49, 130, 167, 169]",Unlike Groundhog Days timeloop narrative A Perfect Day allows players to repeat the last day of the 20th century without the memories from the past loops You can explore the secrets of those around you plan your daily activities and make your own choices Bid farewell to the regrets of the past fulfill everyones dream and welcome the new century with fireworks Inspired by the storytelling of Jorge Luis Borges adventure and truth are awaiting you,Revisit and repeat the final moments of Chinas turn of the century in this narrative puzzle adventure Play a 6thgrade student and greet classmates explore secrets play mini4WD or just wander around town Make your choices to create a perfect day for everyone,Missing,0.0,24.03,0.0,90.0,1.0,2.0
1614297600,Missing,28228,Baobabs Mausoleum: Country of Woods & Creepy Tales,"[6, 14, 48, 130]",Missing,Go crazy in this 8bit retro adventure set in Flamingos Creek a ghost town that only appears every 25 years on the Albatros Road and immerse yourself in the most outoftouch alienated neighborhood community you will ever know  Steal fight negotiate solve puzzles Anything goes to find Daphne and get out of that cursed town that will be kept forever inside your brain as one of the selected nightmares ever created,Missing,nan,nan,nan,nan,nan,nan
1612483200,"[12, 25, 31]",140972,Nioh 2: The Complete Edition,"[6, 48]",Much like the previous title which garnered much praise from fans and critics alike Nioh 2 contains an original profound story surrounding military commanders from the Sengoku period However Nioh 2 goes above and beyond its predecessor by including the new Yokai Shift ability which allows the protagonist to utilize new powerful forms to defeat even the most formidable yokai in battle New to Nioh 2 your enemies can now create a Dark Realm which raises the stakes of battle and creates new challenges for your protagonist to overcome We hope you enjoy conquering fearsome monsters as you unleash your darkness in the world of Nioh 2,Battle hordes of yokai in this masocore Action RPG Create your protagonist and embark on an adventure through a myriad of locales across Japan during the Sengoku period Utilize the new Yokai Shift ability to defeat even the most ferocious yokai and be prepared to brave through Dark Realms created by your enemies,89.96058630728349,nan,nan,nan,nan,nan,nan
1612915200,"[8, 9, 31]",121760,Little Nightmares II,"[6, 48, 49, 130, 167, 169, 170]",Missing,Little Nightmares II is a suspenseadventure game in which you play as Mono a young boy trapped in a world that has been distorted by the humming transmission of a distant tower With Six the girl in a yellow raincoat as his guide Mono sets out to discover the dark secrets of The Signal Tower and save Six from her terrible fate but their journey will not be straightforward as Mono and Six will face a gallery of new threats from the terrible residents of this world  Will you dare to face this collection of new little nightmares,83.82684752043453,5.64,6.42,8.98,82.0,641.0,875.0
1614124800,"[4, 15, 16, 24, 32, 35]",132422,Fights in Tight Spaces,"[6, 48, 49, 130]",In an era where espionage is handled largely by datapackets being pored over by teams of analysts Section Elevens approach is more handson dealing with the sorts of criminal organizations who live and operate outside the realms of electronic communication When the rest of the intelligence services have failed they call Section Eleven  As a Section Eleven agent it is your job to find direct solutions to emerging threats largely by smashing peoples faces into things,Fights in Tight Spaces blends deckbuilding turnbased tactics and thrilling animated fight sequences in classic actionmovie settings Learn to balance your hand momentum and positioning to overcome the odds to defeat your adversaries  Pick from over 150 cards as you build a deck to suit your play style and your opponents Encounter random events acquire enhancements or injuries and make critical choices about how best to upgrade your agent for the fights ahead,80.27154802441359,12.08,14.81,24.62,75.0,14.0,20.0
1614124800,"[8, 31]",141545,Ghosts 'n Goblins Resurrection,"[6, 48, 49, 130]",Missing,The legendary platforming series rises again as Ghosts n Goblins Resurrection marks the heroic return of the gallant knight Arthur alongside the tricky platforming and challenging gameplay that the series is known for Paying homage to Ghosts n Goblins and Ghouls n Ghosts this entry combines the franchises action platforming gameplay with storybooklike graphics and challenging new obstacles,80.01044393005961,6.55,6.83,10.26,72.0,28.0,41.0
1613606400,"[12, 13, 31, 32, 33]",132333,Buddy Simulator 1984,"[6, 48, 49, 130, 167, 169]",Thanks to next generation AI technology BUDDY SIMULATOR 1984 simulates the experience of hanging out with a best buddy Your buddy learns from you constantly adapting to your interests and personality But most importantly your buddy can play games with you,Thanks to next generation AI technology BUDDY SIMULATOR 1984 simulates the experience of hanging out with a best buddy Your buddy learns from you constantly adapting to your interests and personality But most importantly your buddy can play games with you,70.10970599967303,5.14,6.14,16.75,75.0,49.0,96.0
1613606400,"[5, 10, 12, 31, 32]",99302,Rustler,"[6, 48, 49, 130, 167, 169]",Rustler is an openworld topdown action game paying tribute to the good old GTA style and gameplay fusing it with a historically inaccurate medieval setting Play as The Guy whose parents apparently were too lazy to give him a proper name Experience feudal injustice inquisition witchhunting and join The Grand Tournament Meet valiant yet incredibly stupid knights Complete a wide variety of twisted missions and quests or dont give a damn about the plot and bring mayhem in the villages and cities Choose to go on foot or by a stolen horse Fight with a sword or pick a fancy automatic crossbow All that spiced up with an inappropriate Monty Python inspired sense of humor  Rustlers world is filled with humor anachronisms and pop culture references Ever been towed for parking in a NO HORSE ZONE Wanna do some cage fights in Medieval Martial Arts Arena Or maybe pimpahorse a little How about joining the RoundEarthers sect  As a poor peasant you really need to get creative in order to win the Grand Tournament Form weird alliances doublecross your foes and dig up dinosaur skeletons in a light easytounderstand and hardtoempathizewith story,Become a medieval thug in a crazy openworld action game full of popculture references Complete insane quests kill heroes steal horses fight guards rob peasants and more All packed in oldschool gameplay style,69.99960854386036,7.75,9.24,15.13,55.0,24.0,30.0
1612396800,"[8, 12, 25, 31, 32]",131868,Blue Fire,"[6, 48, 49, 130, 170]",Missing,Embark on an extraordinary journey through the desolated kingdom of Penumbra and discover the hidden secrets of this longforgotten land Explore mystical temples encounter survivors and take on strange quests to collect valuable items Along your adventure slash your way through daunting adversaries roam across mysterious and abandoned regions leap through deadly traps and ultimately master the art of movement,67.9189080682586,10.81,12.85,13.24,72.0,112.0,183.0
1614211200,"[12, 13, 15]",140500,Story of Seasons: Pioneers of Olive Town,"[6, 48, 130]",Inspired by tales of their grandfathers pioneering days the protagonist decides to pack their bags and leave the hustle and bustle of big city life for the frontier in Olive Town  When they arrive they run into Victor the towns mayor and their grandfathers old friend He brings them to the old farm which has been reclaimed by nature over the years Determined to breathe life back into their grandfathers dream and follow in his footsteps the protagonist rolls up their sleeves and gets to work  Olive Townwhich is just a stones throw away from the farmis a port town built on the tip of a peninsula It might be a quiet little town but it is home to a whole host of unique characters And while the townsfolk get by well enough in this picturesque seaside locale a little more tourism never hurt anyone,The longawaited brand new entry in the original farmlife simulation franchise known in Japan as Bokujo Monogatari makes its debut on Nintendo Switch bringing players more freedom than ever before to shape an untamed wilderness and customize their farm down to the very tile A new cast of marriage candidates a town that grows and thrives along with your farm and a request system highlight the new features all while retaining the core elements of the STORY OF SEASONS series Finding Earth Sprites while exploring your farmland may lead you to mysterious fantastical lands such as gardens where the seasons never change an island in the sky or even the inside of a volcano,57.3304523046007,43.5,71.36,156.64,64.0,25.0,42.0
1612224000,"[10, 14]",134587,Destruction AllStars,[167],Missing,Stars and cars collide  Dominate the glittering global phenomenon of Destruction AllStars  the spectacular primetime sport for dangerous drivers Master the art of intense vehiclebased combat through timing tactics and skills to cause colossal amounts of damage destruction and devastation in vibrant arenas across the globe  Pileon the destruction from behind the wheel or leap into the arena with a breathtaking reel of parkour action by dodging attacks taking over vehicles or using abilities to disrupt the onslaught of incoming vehicles  Cause enough mayhem to power up your AllStars gamechanging hero vehicle fueled with special abilities  A roster of 16 blockbuster Destruction AllStars are revved up and ready to compete in the name of entertainment and demolition So strap in for intense explosive and unpredictable levels of freeflowing action and fight to be crowned the Global Destruction Federation Champion  Its time to run ram and slam See you in the arena,56.4712734914055,3.7,12.5,0.0,55.0,28.0,10.0
1612396800,"[4, 12, 31]",26879,Werewolf: The Apocalypse - Earthblood,"[6, 48, 49, 167, 169]",Missing,Become a werewolf known as Garou in the atmosphere of their shamanistic and tribal world Garou are Werewolf warriors opposed to urban civilization and supernatural corruption all heading towards inevitable apocalypse Werewolf The Apocalypse is set in the World of Darkness a gritty version of our own time where society declines and humans fall victim to supernatural horrors,47.66423357664234,8.35,9.94,13.7,57.0,43.0,73.0
