first_release_date,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1230681600,80287,Rock Band: Track Pack - Volume 2,"[5, 8, 9, 12]",[7],Missing,This is the second of retail track packs for Rock Band While the first pack was only made available for the platforms that do not support downloadable content this one covers all major platforms The original game is not required to play and Volume 2 includes twenty songs The game also includes a code to export the songs to a hard drive for use in other Rock Band games PS3Xbox 360,Missing,nan,nan,nan,nan,nan,nan
1229558400,79572,ADK Damashii,"[8, 9]","[4, 5, 25, 33]",Missing,ADK Damashii is a bundle that includes 5 arcadeNeo Geo games which were all developed by ADK and published by SNK Playmore All 5 are 11 arcade ports with only one small enhancement in the form of skill listsmove lists for the characters of the fighting games nothing else was changed They are all 2D Games and every game is for 12 players Unlike all the other Japanese versions of Neo Geo game compilations for PS2 it had no online modes,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1228348800,74885,Star Wars: The Force Unleashed - Character Pack 2,"[6, 9, 12]",Missing,Missing,In this pack you get seven new characters including Republic Trooper Tatooine Luke Ben Kenobi Jedi Master Plo Koon Count Dooku Jango Fett and C3P0 Youll also get three new Secret Apprentice costumes including Utility Combat Suit Apprentice Animatedstyle Apprentice and Spirit Apprentice  This pack is included in the Ultimate Sith Edition,Missing,nan,nan,nan,nan,nan,nan
1229558400,66090,Everybody's Putter Golf with Toro,[9],[14],The game features a course featuring 9 small holes and the player can choose between Toro or Jasmine to play as and Kuro is the caddie for both of them,Play some putter golf games in an authentic yet hilarious way with Toro the most beloved character in Japan  Everybodys Putter Golf with Toro is a Doko Demo Issyo and Everybodys Golf crossover video game developed by BeXide and Clap Hanz Ltd and published by Sony Computer Entertainment in 2008 for the PlayStation 3,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1229126400,58056,Crimson Empire: Circumstances to Serve a Noble,"[6, 8, 38]","[31, 34]",The heroine is a head maid who has sworn absolute loyalty to Edvard a prince and would do anything to assist him to the throne  There are 2 princes who are fighting for the throne Edvard and Justin But because Justins mother was of a lower rank Edvard has more of a right to the throne Therefore Justin plots to assassin Edvard to get to the throne The problem though is that every time he sends an assassin the heroine would defeat the assassins,Crimson Empire Circumstances to Serve a Noble was originally released in 2008 with later releases being on the PS2 PSP and PSVita the PSVita form getting updated art,Missing,nan,nan,nan,nan,nan,nan
1230163200,56471,Cherry Blossom Portable,[38],"[13, 34]",Ouse Satsuki a second year student of Sakurazono Gakuen receives one day on his cell phone a message from a stranger The address of the sender is from a student on campus but in the school there isnt any student with that name Is the sender someone from the student council or is it someone else,A port of Cherry Blossom for PlayStation Portable,Missing,nan,nan,nan,nan,nan,nan
1230076800,52577,Mahjong Tales: Ancient Wisdom,[9],[35],Missing,Playstation Network title developed and published by TikGames  Creat Studios,Missing,6.18,0.0,0.0,65.0,2.0,2.0
1228176000,51163,The Tale of Despereaux,"[5, 6, 8, 20]",[8],Missing,Small Mouse Big Dreams In this epic adventure play as the courageous mouse Despereaux on a heroic quest to save the Princess Pea Discover a magical world in this tale of bravery where the tiniest mouse finds the courage of knight in shining armor,Missing,5.0,0.0,0.0,40.0,1.0,2.0
1229299200,50173,Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit is Enough,"[5, 6, 9]",[31],Missing,The story begins at the end of episode 4 Strong Bad jumps off of the couch and hits the Trogdor arcade machine The Trogdor arcade machine grows an arm legs and wings and comes to life Strong Sad claims that Strong Bad damaged the 8bit containment field and needs to order a replacement Sadly through an odd series of events the containment field is broken resulting in the world of videogames and the world of Free Country USA combining Video game elements and characters begin invading the real world and vice versa In the ensuing chaos Trogdor escapes his game and burninates Strong Badia Strong Bad must defeat his fiery creation once and for all by getting party members from other games to advance to the dungeon of the beast and restore balance between the two worlds But uh anybody know how to kill a dragon,Missing,nan,nan,nan,nan,nan,nan
1228953600,45999,Mawaskes,[38],[9],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
