first_release_date,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1411430400,20044,Gauntlet: Slayer Edition,"[6, 48]","[12, 31]",The classic Gauntlet 4player coop action gameplay returns in a completely new experience Battle the endless hordes of foes as you and your friends fight for treasure and glory via both local and online coop multiplayer Invade the Darkness,Missing,60.01926160077679,nan,nan,nan,nan,nan,nan
1411689600,11223,Thief Town,"[3, 6, 14, 34, 39, 48, 130]","[32, 33]",Thief Town is a local multiplayer stealth action game set in a pixelperfect rendition of the Wild West Lurk in the crowd emulate nonplayer characters and achieve backstabbing victory,Missing,60.0,0.0,0.0,17.0,70.0,2.0,1.0
1411430400,10815,Schrödinger's Cat and the Raiders of the Lost Quark,"[3, 6, 14, 48, 49]","[8, 9, 31, 32]",Schrödingers Cat is a fun fanatic wacky and colourful puzzle laden platform game set in a unique and quirky quantum physics world  Combine and create useful bits of temporary matter such as bridges ladders and grenades to combat and subdue the kleptomaniacal gluons and cantankerous bosons now running amok to help Schrodingers Cat round up all the escapees from the particles zoo,Theres chaos at the Particle Zoo What used to be a cheery themepark environment is now overrun with hungry leptons stickyfingered gluons and massive stubborn bosons The Zoo is put on lockdown and the emergency services are called in to sort everything out Those emergency services Schrödingers Cat of course,60.0,nan,nan,nan,nan,nan,nan
1411084800,10324,Flockers,"[3, 6, 14, 34, 39, 48, 49]","[9, 13, 15, 32]",For over twenty years sheep have been an integral part of the worms fearsome arsenal Held for years within the evil thrall of their diabolical masters the sheep are finally making a dash for freedom Escaping the tyrannical worms the flock must dodge its way past all manner of lethal machinery and traps as the sheep negotiate their path through the confinement of the Worms weapons factory out into the testing grounds and ever onwards towards pastures green  Flockers is a modern day take on the classic A to B puzzle genre with a generous helping of sinister foreboding and dark humour for good measure Levels have been designed to challenge the players skill and strategic planning as they attempt to guide their flock past heinous traps sadistic devices and diabolical puzzles rewarding those that can save the most sheep while still allowing progression for anyone who falls foul of the factorys deadly machinery,Missing,60.0,0.0,21.86,57.2,70.0,1.0,3.0
1410998400,9907,Omega Quintet,"[6, 48]","[12, 15, 31]",Omega Quintet is a hybrid between an idol simulation game and a Japanese roleplaying game for the PlayStation 4 The player plays as Takuto the manager of the Verse Maidens an idol group that use the power of song and dance to fight off a phenomenon called the Beep and save the world,Omega Quintet takes place in a world that is being damaged by a phenomenon known as the Beep which has been degenerating the life of humankind by affecting their minds The games prominent characters are the Verse Maidens an idol group with the power to fight off the Beep These powers are used to fight the Beep and save mankind by giving them hope and dreams The members of the Verse Maidens are Otoha Kyoka Kanadeko Nene and Aria Otoha is new member of the Verse Maidens who is hard worker who is always positive but is also still growing and can be prone to making clumsy mistakes Kyoka has a strong sense of responsibility who does her job as a Verse Maiden while caring for others and also has a hard time expressing feelings Kanadeko has an explosive personality and often makes decisions without thinking clearly Nene is very timid and often nervous and weakwilled whom often shies away and hides behind Kanadeko and Aria whom is the eldest member of the Verse Maidens whom is mysterious and tends to distance herself with her speech and behavior Other characters include Takuto protagonist of Omega Quintet described as a positive guy whom acts as the Verse Maidens manager and bodyguard Momoka a veteran Verse Maiden Ayumi Momokas manager Shiori Kyokas coach Godou the leader of the neighbourhood watch and Tomekichi a fan of the Verse Maidens and is the leader of one of the supporting fan groups  The game features costume destruction in a manner similar to Senran Kagura which happens when the girls get parts of their clothing torn off as a result of taking repeated damage from enemies Another feature in the game is the PVS Promotion Video System which allows players to make their own dance video and custom live performances to their liking This is done choosing over 150 dances for the characters Omega Quintet lets players make light waves and effects using the PlayStation Move controller and they can feature in the music video itself by using the PlayStation 4 camera During the games fights its Voltage Gauge fills up when Takuto protects the idols when the player attacks the enemies When it rises to a certain point the player can activate Live Mode which gives the idols bonuses The player must also adjust the turn order successfully as team attacks are formed if characters act one after each other,60.0,39.05,46.81,68.12,60.0,22.0,32.0
1410134400,15548,Velocibox,"[3, 6, 14, 46, 48]","[10, 32, 33]",Velocibox is a twitchheavy endless runner made for a hardcore audience,Missing,57.16801627180915,1.97,0.0,19.23,59.0,11.0,6.0
1411948800,6781,Starwhal,"[3, 6, 9, 14, 41, 48, 49]","[4, 14, 32]",The local multiplayer space narwhal fighting game that has rocked the internet is finally ready for its big debut in a fully loaded release Flop it out with 24 players in a retro epic narwhal battle in space The heartpiercing action is furious and unrelenting Starwhal will change your life Inspired by countless couchgaming gatherings over the decades we wanted to bring something competitive creative and immediately fun to the table Our original prototype was conceived and developed in 48 hours with focus entirely on these areas From that came the phenomenon that is Starwhal,Missing,54.78769211900576,nan,nan,nan,nan,nan,nan
1411516800,10338,Frozen Synapse Prime,"[6, 9, 34, 39, 46]","[5, 13, 15, 16, 24]",Take on the role of Tactics in a brand new Frozen Synapse experience Lead a rebel faction to overthrow a powerful corporation controlling the city of Markov Geist  Control an elite strike team of futuristic soldiers  From shotgunners and snipers to grenadiers and machinegunners in the ultimate turnbased strategy game Plot paths and issue orders to your units test your plans and predict your opponent in each turn Combat plays out on procedural 3D destructible and customizable battlefields  Play online to become the ultimate tactician  Synchronous play allows you to battle against players live Asynchronous multiplayer enables you to compete in multiple games simultaneously,Missing,50.0,17.52,18.0,33.6,72.0,9.0,11.0
1409616000,17766,Duck Dynasty,"[6, 9, 12, 48, 49]","[14, 31]",Take on the role of Willies son John Luke as he learns how to become one of the Robertson men Interact with Willie Uncle Si Jase and the rest of the family from the hit TV show Duck Dynasty Go duck hunting varmint shooting offroading and play office pranks in the Robertsons hometown of West Monroe LA Will you learn the way of the beards,Missing,45.0,4.05,6.0,8.0,28.0,4.0,5.0
1412035200,8500,Futuridium EP Deluxe,"[37, 41, 46, 48]","[5, 32]",An old school shootem up with a modern twist Futuridium EP offers fast paced non stop hard as hell action with an original 45 minutes soundtrack and colourful glitchy graphic,Missing,42.37481473760482,5.43,0.0,0.0,48.0,12.0,5.0
1409875200,9444,Transport Giant,"[6, 48, 49]","[13, 15]",Top View strategic  Tycoon  game in which you should manage transport methods to keep trade going with minimum costs and supply all needs of residents of all map area,Missing,40.0,42.8,62.97,100.0,75.0,2.0,3.0
