first_release_date,id,name,platforms,summary,storyline,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1674691200,217553,Story of Seasons: A Wonderful Life,"[6, 130, 167, 169]",Put down roots on your new farm in the peaceful town of Forgotten Valley and tell your own generationspanning tale in Story of Seasons A Wonderful Life Bring life to the land find love among the towns friendly folk and make lasting memories with a family of your very own in this reimagining of a beloved farm sim,Your new life begins in Forgotten Valley a tranquil community where your father and his friend Takakura once dreamed of running a farm As you befriend the valleys residents and fulfill your fathers legacy youll live a carefree life on the farm growing crops and raising animals As the seasons go by youll find your lifelong partner raise a child together and watch them grow up before your very eyes  After each days work on the farm is done you can go fishing hunt for ancient treasures at the local dig site or chat with your friends in town to build precious memories And when the years have passed your child will be old enough to choose a career for themselves Will they inherit the farm Or will they find their calling somewhere else Only time will tell,"[12, 13]",Missing,20.9,0.0,94.13,58.0,8.0,9.0
1674777600,216579,Monster Menu: The Scavenger's Cookbook,"[48, 130, 167]",A survival strategy RPG that combines exploration tactical combat and cooking mechanics to create the perfect dish of dungeoncrawling adventure Customize the class appearance voice and pose of your party members then set off to find food in whatever way you can,Missing,"[12, 15, 16]",Missing,nan,nan,nan,nan,nan,nan
1674518400,215835,Warlander,"[6, 167, 169]",Warlander is an actionpacked thirdperson onlinemultiplayer game with a unique style that mashes a Medievalinspired setting Fantastical items and abilitiesandeven powerful robots  Featuring intense competitive skirmishes and epic castle siege warfare with up to 100 players you must use the almighty powers of godlike Warriors Clerics and Mages as well as siege weapons and cataclysmic spells to control the battlefield  To be victorious you must work as a team defend your Keep and tactically break into the enemys stronghold to destroy their core,You have been identified by the mystical Heralds as having a superhuman consciousness that rivals your socalled peers  This consciousness allows you to create mighty vessels from the wildest depths of your imagination  Taking the shape of godlike Warriors Clerics and Mages you can now harness epic spells and abilities such as fire lightning and ice as well as master siege weapons unleash apocalyptic spells and even pilot powerful robots  Control the battlefield with tactical squad play and dominate your opponents with the ultimate goal of breaking into the enemys stronghold destroying their core and claiming victory for you and your allies,"[5, 24, 25, 36]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1674086400,215119,Colossal Cave,"[3, 6, 14, 48, 49, 130, 167, 169]",Roberta and Ken Williams who founded and ran Sierra OnLine for nearly 20 years have come back from a long retirement to pay homage to the game that that started it all The Colossal Cave  Developed using Unity over a twoyear period Colossal Cave is a firstperson singleplayer 3D adventure that will delight the millions of Sierra and Colossal Cave fans worldwide,Missing,"[2, 9, 15, 31]",Missing,0.0,3.53,0.0,78.0,2.0,2.0
1674691200,214530,Disgaea 7: Vows of the Virtueless,"[6, 48, 130, 167]",The next chapter in the Disgaea saga In Disgaea 7 the story is set in a world called Hinomoto Netherworld Cluster which is inspired by Japanese culture,Missing,"[12, 15, 31]",Missing,25.09,49.06,77.0,85.0,5.0,15.0
1674086400,214399,Tortuga: A Pirate's Tale,"[6, 48, 49, 167, 169]",Its time to see if ye truly have what it takes to become the greatest pirate of the Caribbean Set sail on the vast and beautiful Caribbean Sea as players commence their journey with their sights on eternal gold and glory Choose from 18 unique ship types and customize distinct features from the flag and weaponry to the hull and figurehead Its a vast world out there but you are never truly alone and players will encounter historical pirate captains who they must decide is friend or foe Take on trading convoys and settlements in tactical turnbased battles to relieve them of the burden of wealth and then use your stolen riches to upgrade your formidable fleet With a mighty fleet and enough gold you might be able to keep your crew happy But be warned You are an elected captain after all and it is your duty to maintain your crews morale or else mutiny could be on the horizon,Missing,"[12, 13, 15, 16, 24]",Missing,nan,nan,nan,nan,nan,nan
1673481600,213741,Vengeful Guardian: Moonrider,"[6, 48, 130, 167]",Vengeful Guardian Moonrider is a sidescrolling action platformer that channels the golden age of classic 16bit action games in a fullthrottle quest for revenge,In the oppressed world of Vengeful Guardian Moonrider humanity finds an unlikely hero After building an army of super soldiers as weapons of war the authoritarians unwittingly seal their own fates by bringing online the ninja warrior known as Moonrider Conceived as a tool to preserve the totalitarian state the Moonrider instead rejects its intended purpose and wages a relentless battle for vengeance against its creators and fellow super soldiers,"[8, 25, 31, 32, 33]",Missing,2.67,2.9,3.62,72.0,20.0,31.0
1673913600,213517,Blinnk and the Vacuum of Space,"[163, 385, 386, 390]",Welcome to deep space station Norpopolis  where a batch of escaped critters are causing chaos Grab your Vacuumizer 5000 and go undercover with BLINNK the robot to catch them all An autismfriendly VR adventure,Missing,"[13, 31, 32]",Missing,nan,nan,nan,nan,nan,nan
1674000000,211893,Graze Counter GM,"[6, 48, 49, 130, 167, 169]",A refreshing and highly replayable bullet hell style shooter that WANTS you to play dangerously Ride the razors edge of life and death in this highrisk highreward danger oriented arcade style shooting game,It is the 23rd century  EDEN the massive virtual reality network witch helped humankind to flourish suddenly severed all contact with the outside worldLeaving the minds of its 100 million users trapped inside A covert special task force known as Saviours has been called in to address the situation Using special attack programs modeled after fighter jets they plan to delve into the deepest cores of EDEN and find who or what has set it haywire  Theres no telling what they may discover within the troubled space of this human created universe,"[5, 32, 33]",Missing,1.14,0.0,0.0,65.0,2.0,3.0
1675036800,204645,BackfireWall,"[6, 48, 49, 130, 167, 169]",It is a firstperson tragicomic narrative adventure game thats set inside a smartphone You are the update assistant  solve puzzles to counter the update and save the previous operating system from deletion,Hello and welcome to Backfirewall_ a firstperson tragicomic adventure set inside a smartphone You are the update assistant Solve wacky puzzles to counter the update and save the previous operating system from deletion The fate of the System is in your hands,"[9, 31, 32]",Missing,4.6,6.0,8.38,72.0,22.0,26.0
1673481600,203939,Drago Noka,"[6, 48, 130]",The surface has become overrun with giant beasts and destructive vermin leaving an uninhabitable world in their quake Humans had to get creative and now they live on the backs of dragons Gather various materials create new items and develop your very own village in Drago Noka,Missing,"[13, 32]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1674864000,201735,Egg Runner,[48],Help The Egg to collect coins and power ups in this endless runner Unlock new characters and defeat enemies Egg Runner is a simple yet addictive game that will bring you hours of fun,Missing,[33],Missing,nan,nan,nan,nan,nan,nan
1674518400,199323,Art of Rally: Collector's Edition,"[48, 130, 167]",Art of Rally Collectors Edition includes  Physical copy of the game on Nintendo SwitchPlayStation 4PlayStation 5 Soundtrack download card Vinyl sticker sheet  set of 11 unique stickers DIY papercraft car modeled off the ingame il Gorillona Illustrated poster featuring a compendium of the ingame cars 4piece enamel pin set Set of 4 bumper stickers with unique art Set of 4 patches highlighting ingame locations 3D lenticular card featuring an action shot from the game,Missing,"[10, 13, 14, 32, 33]",Missing,nan,nan,nan,nan,nan,nan
1674086400,194850,Rain World: Downpour,"[6, 48, 49, 130, 167, 169]",Rain World Downpour is a DLC expansion of Rain World Take control of five new characters with new abilities in this vast redefined world Slugcats have adapted to the harsh conditions alongside evolved predators Survive new environmental conditions dangers and explore uncharted territory  Return to the unwavering wild in Downpour where you explore new harsh lands and survive new predators As time passed the slugcat has evolved With five variants of the species  take advantage of various skills that they possess and explore their own personal tales,Missing,"[8, 31, 32]",Missing,50.0,60.0,150.0,90.0,1.0,3.0
1673568000,188964,Aurora's Journey and the Pitiful Lackey,"[6, 48, 167]",Join Aurora and the Lackey in this sidescrolling game with shooter mechanics adventures various minigames and 3D graphics In 1927 Aurora a young astronomer receives the journal of her father who disappeared four years earlier and embarks on a journey to find him,Missing,"[5, 31, 32]",Missing,nan,nan,nan,nan,nan,nan
