first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1608249600,210085,Christmas Break,[48],Christmas Break is an arcade game that lets the user break Xmas bricks with a unique Christmas paddle and ball,[33],Missing,Missing,nan,nan,nan,nan,nan,nan
1607040000,210084,Halloween Candy Break Head to Head,[48],Halloween Candy Break Head to Head is a retro arcade game that lets 1 and 2 players play head to head in a competitive arcade environment,[33],Missing,Missing,nan,nan,nan,nan,nan,nan
1607385600,209317,Tom Clancy's The Division 2: Warlords of New York - Season Four: End of Watch,"[6, 48, 49]",Prepare for one of the biggest targets the Division has faced yet In Season Four of Warlords of New York Agents will chase down an old friend  do you have what it takes to bring them to justice,"[5, 12]",Missing,Missing,nan,nan,nan,nan,nan,nan
1607990400,203984,Eternal Kingdom Battle Peak,"[6, 34, 39, 48, 167]",A Japanese MMORPG featuring renowned creators such as Yoshitaka Amano Travel with your allies through vast fields where weather changes and dungeons where your role is crucial PVP is also possible on the field Establish a legion and join a Siege where up to 200 players battle,[12],Missing,Missing,nan,nan,nan,nan,nan,nan
1608163200,187766,Infinite Arrow,[48],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1607817600,187677,Rocket Punch,[48],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1607990400,183141,Spellbreak: Chapter 1 - The Spellstorm,"[6, 48, 49, 130]",We have to stop it But in order to do thatwe need you Welcome to Chapter 1 The Spellstorm,"[12, 31]",Unravel the Mystery of the Spellstorm  The full Chapter System begins with Chapter 1 Prove yourself in new story quests as you aid the Order of the Vowbreakers and harness unheard of power  Castle Bogmore and its surrounding region has been completely overhauled with vastly improved environments and new points of interest,Missing,nan,nan,nan,nan,nan,nan
1607990400,169336,Devil May Cry 5: Playable Character - Vergil,"[6, 48, 49]",Adds Vergil as a playable character in the story campaign Bloody Palace mode and The Void,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1606867200,168728,SoulCalibur VI: Hwang,"[6, 48, 49]",Celebrate 20 years of SOULCALIBUR with an all new playable character Hwang,[4],Missing,Missing,nan,nan,nan,nan,nan,nan
1607558400,168708,1976: Back to Midway,"[6, 165]",Are you ready to travel back in time to 1943 and relive the excitement of classic arcade dogfights Now thanks to Virtual Reality youre about to discover a new level of immersion and spectacularity while retaining the original essence and fun,"[13, 32, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1606953600,166312,Immortals: Fenyx Rising - Shadowmaster Edition,"[6, 48, 49, 130, 167, 169]",Missing,[31],Missing,Missing,nan,nan,nan,nan,nan,nan
1607040000,164692,Tesla vs Lovecraft: Game of the Year Edition,"[49, 167, 169]",Play as the enigmatic inventor Nikola Tesla Use devastating weapons to mow down hordes of nightmarish monsters collect mighty powerups to boost the carnage and finally overwhelm your enemies with the immense firepower of the TeslaMech battle robot,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1607558400,154739,For Honor: Season 16 - Mayhem,"[6, 48, 49]",With the help of Ilma a legendary Blacksmith many warriors across Heathmoor were able to regain fortresses and discover some of the Draconites true powers Yet all these rebellions needed someone to unite them in this pivotal moment Someone who knew the enemy better than anyone else because he was once part of them Someone who had learned from his past mistakes and was now ready to make things right  After a failed attempt at bringing peace in Heathmoor the one who was once called Holden Cross was now simply known as Gryphon He had forgone his former name and faction years ago He became a mercenary to fight for those who could not bear the toll of war anymore no matter which faction they belonged to Under his guidance rebels from all factions formed the Chimera Alliance a fullblown army with the means to defy the Order of Horkos and stop their Corruption,"[4, 25]",Missing,Missing,nan,nan,nan,nan,nan,nan
1608163200,153818,Traditional Tactics Ne+,"[48, 130]",You are Prince Natri explore the dungeon Royal Tomb to be the king In there many spirits are waiting to make a trial of your courage Lets fight and try the simulation battle with your units,"[12, 13]",Missing,Missing,nan,nan,nan,nan,nan,nan
1608163200,151668,Fight of Animals: Arena,"[6, 48, 130]",Meme animals strike again Let the meme battle goes into NEXT LEVEL With varied stages items and support up to 4 players local and online Fight of Animals Arena will bring you a brand new Brawler experience Let the fight begin,"[4, 8, 31, 32, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1609200000,147942,Our Church and Halloween: Story Three,"[6, 48]",In a small village on the edge of the island a young resident named James leaves in search of something And what is he looking for Hes trying to get to the mountain top before Halloween He received a letter claiming that if he goes there before Halloween begins he can bring his parents back from the dead Is the note correct Is it good or evil Whats really beyond the forest,"[12, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1606953600,147773,Biz Builder Delux,"[6, 48, 130]",Ah theres nothing like the rhythmic bustle of a burgeoning business burg especially when youre the one building it Thats right from a video game store to the corner fast food joint run what YOU want as the towns entrepreneur extraordinaire Once your coffers are comfortably padded youll be ready to set sights on other ripe markets Dont be shy and branch out erecting a diverse variety of establishments to inspire both pep in the town plaza and plenitude in your pockets Remember youll need to strategize if you want shoppers to show Innovate to stock stores with quality products while devising battle plans to rout pesky rivals Only then will your spot as the towns top transactor be secure Its not easy to rake in those bucks with the free market in flux but if you conquer that cruxyoull be Biz Builder Delux Try searching for Kairosoft to see all of our games,"[9, 13, 15, 31, 32]",Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1607990400,147682,Roundout by Powgi,"[48, 49, 130]",The latest Powgi game is a mashup of two popular word puzzles Its a kross between Word Wheel and Kriss Kross Yes it wheely is Roundout takes the fast and satisfying wordforming action of Word Wheel and gives it a new visible goal to work towards Plus a free bad joke with every puzzle solved,"[9, 15, 35]",Missing,Missing,nan,nan,nan,nan,nan,nan
1608854400,147652,Dungeonoid,"[6, 130, 167]",Your mission is to cross the dungeons of the Infernal Castle with the aim of recovering the 3 sacred gems and defeating the Demon Master and his henchmen Are you ready,"[12, 31, 32, 33]",Missing,Missing,7.5,0.0,0.0,0.0,0.0,1.0
1608768000,147436,Super Puzzles Dream: Xmas,"[130, 167]",Puzzles move onto the next level with Super Puzzle Dream a mix between classic jigsaw and a Tetrisstyle dynamic mechanic Become an expert and finish the puzzles in the shortest possible time and you will find yourself amongst the best in the world on the online leaderboard Have fun working together to complete the puzzles in coop mode You can also play with friends and family in the oneonone splitscreen competition mode Your rival wont make it easy for you Dont give up Fill an energy bar to perform a counterattack and put them in their place,"[9, 35]",Missing,Missing,nan,nan,nan,nan,nan,nan
1608595200,147322,Mahjong Adventure,"[48, 49, 130]",Mahjong Adventure is a mahjong game based on a classic Chinese game Great fit for players who love games like brain puzzles crossword chess mahjong word search solitaire match3 and other smart games and puzzle brain games Develop your mind and patience and strategy skills,"[9, 13, 15, 35]",Missing,Missing,nan,nan,nan,nan,nan,nan
1608768000,147110,Arcade Archives: Gradius III,"[48, 130]",Gradius III is a scrolling shooter game released by Konami in 1989 The story of Planet Gradius has transformed from legend to myth Take on the Bacterion Empire in epic space battles An edit mode has been added to the game allowing players to customize their equipment Enjoy playing the best game in the series,"[5, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1606953600,147103,Arcade Archives: The Fairyland Story,"[48, 130]",The Fairyland Story is an action game released by Taito in 1985 Take control of a young witch and battle against monsters deep within the castle Master various magics and techniques to overcome your enemies,"[8, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1607558400,147084,Arcade Archives: Markham,"[48, 130]",Markham is a scrolling shooter game released by Sunsoft in 1983 Use a Beam Gun and powerful Missiles to attack and destroy Antarctic Bases Aiming each attack type takes some getting used to but once you do taking out enemies feels great,"[5, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
