,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
29,"[7, 9, 31, 32]",258252,Super Crazy Rhythm Castle,"[6, 48, 49, 130, 167, 169]",Its Super Crazy Rhythm Castle the chaotic rhythm adventure A puzzling coop mashup unlike anything youve ever heard Solo or with a band of up to three friends Can you conquer the castle,Missing,0.0,0.0,0.0,0.0,0.0,0.0
30,[31],257332,Bluey: The Videogame,"[6, 48, 49, 130, 167, 169]",Join the fun with Bluey and her family in Bluey The Videogame Play a brandnew story set across 4 interactive adventures For the first time ever explore iconic locations such as the Heeler House Playgrounds Creek and a bonus beach location Play your favourite games from the TV show including Keepy Uppy Chattermax Chase and more  The fun doesnt stop there This game wont be trifficult just a lot of fun Experience the joy and wonder of Blueys world with local multiplayer you can play with friends and family in story mode and free play Explore and collect items for your sticker book unlock outfits and uncover the many secrets and hidden references throughout each location Recreate iconic scenes or create your very own Bluey inspired adventures and games in Bluey The Videogame,Missing,0.0,0.0,0.0,0.0,0.0,0.0
31,"[5, 31]",256466,Jurassic Park: Classic Games Collection,"[6, 48, 130, 167, 169]",The 8and 16bit era of Jurassic Park games returns  This Carbon Engine release not only includes a lineup of classic titles but also adds new features including save states for each game new ingame maps and various qualityoflife fixes that bring these games into the modern era of gaming  The Jurassic Park Classic Games Collection includes Jurassic Park NES Game Boy and SNES and Jurassic Park Part 2 The Chaos Continues Game Boy and SNES,JURASSIC PARK The perilous primeval world of JURASSIC PARK awaits  Step into the role of Dr Alan Grant A computer malfunction has caused the release of hundreds of fearsome prehistoric predators Vicious raptors spitters and TRex are threatening to overrun even the fortified visitors compoundand two children Tim and Lex are lost in the islands jungle wilderness To find and rescue them youll have to face some of historys most powerful and DEADLY carnivores  JURASSIC PARK 2 THE CHAOS CONTINUES A year has passed and no one has set foot in Jurassic Parkuntil now  As Dr Grant youll venture back to the island where more dinosaurs than you could ever imagine await your return  If you thought the first visit was a nightmare wait until you meet the new attractions,,,,,,
32,[4],254845,Asterix & Obelix: Slap Them All! 2,"[6, 48, 49, 130, 167, 169]",Asterix  Obelix  Slap them all 2 is a Beatem Up with an original story Explore different places such as forest ruins a vast Roman camp and even Lutèce This dynamic game invites you to come on an adventure  with a generous distribution of slaps,Missing,,,,,,
33,[31],254728,Yohane the Parhelion: Blaze in the DeepBlue,"[6, 48, 49, 130, 167, 169]",Yohane the Parhelion Blaze in the DeepBlue is an official spinoff of Love Live Sunshine Yohanes fantasy world sets the stage for a 2D metroidvania in Yohane the Parhelion Blaze in the Deepblue,Missing,,,,,,
34,[12],254337,Star Ocean: The Second Story R,"[6, 48, 130, 167]",Two worlds one fateful encounter  In an endless sea of stars at the edge of the universe two people who live in different worlds go on a journey to save planet Expel  Choose your path and witness an awakened destiny,Space Date 366  A Federation officer finds himself transported to a mystical planet While searching for a way home an encounter with a young girl draws him into a quest to save her people just as an ancient prophecy foretold,20.8,29.48,41.8,84.0,15.0,26.0
35,"[8, 9, 31]",253061,Jumanji: Wild Adventures,"[6, 48, 49, 130, 167, 169]",Explore Jumanjis lost world of dangerous beasts and secret treasures,Missing,,,,,,
36,"[10, 14, 33]",252849,Stampede Racing Royale,"[6, 48, 49, 167, 169]",Welcome to the wildest kart racing event ever devised where 60 players go bumpertobumper on outrageous circuits filled with powerups Avoid elimination and fight your way to the front of the herd in the scramble to be crowned champion,Missing,0.0,0.0,0.0,0.0,0.0,0.0
37,"[12, 13, 15, 24]",252729,Persona 5 Tactica,"[6, 48, 49, 130, 167, 169]",After a strange incident the Phantom Thieves wander into a bizarre realm where its citizens are living under tyrannical oppression Surrounded by a military group named Legionnaires they find themselves in grave danger until a mysterious revolutionary named Erina rescues them and offers an enticing deal in exchange for their help What truth lies behind Erina and the deal she offers to the Phantom Thieves,Missing,0.0,0.0,0.0,60.0,1.0,0.0
38,"[31, 32]",252357,Lake: Season's Greetings,"[6, 48, 49, 167, 169]",Its Christmas time 1985 Thomas Weiss spends the final few days of the year as hes always been doing delivering mail and celebrating Christmas with his friends and family in Providence Oaks However this holiday season turns out a quite a bit different than expected,Missing,,,,,,
