first_release_date,id,name,platforms,storyline,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1681171200,245169,Sherlock Holmes: The Awakened - The Sleuth's Attire,"[6, 48, 49, 130, 167, 169]",Missing,Get ready to immerse yourself even deeper and channel your inner detective with three new Victorianerainspired costumes  With the Clergyman Cassock youll give the impression of a true man of the cloth ready to absolve even the most hardened sinners  Unleash your inner detective with the Master Sleuth costume This sleek and sophisticated outfit will make you the talk of the town and give your character the mystery and intrigue of a true virtuoso investigator ready to solve even the most challenging of mysteries  The Consulting Detective outfit adds a classic touch to your look and elevates your immersive experience,"[31, 32]",Missing,nan,nan,nan,nan,nan,nan
1682640000,244652,Big Adventure: Trip to Europe 4 - Collector's Edition,"[6, 130, 167]",Missing,Avi Games presents the newest game in the Big Adventure series with Big Adventure Trip to Europe 4 Packed with challenging hiddenobject scenes and clever minigames this European holiday offers a vacation experience like no other,"[9, 31, 32]",Missing,nan,nan,nan,nan,nan,nan
1681171200,244173,SokoLab,"[6, 48, 167]",Missing,SokoLab is a Sokoban game where you play as a cute robot Push blocks to the objective to reach the end of the level new mechanics are introduced throughout the game adding layers of complexity to the puzzles Can you reach the last level,"[9, 15]",Missing,nan,nan,nan,nan,nan,nan
1680739200,244021,Arcade Archives: Rezon,"[48, 52, 130]",Missing,Set on Earth during an extraterrestrial invasion players take control of an SR91 fighter ship equipped with a VAWS Variable Armor  Weapon System and take on the invaders Pick up items and equip Arms a key feature that gives you the ability to attack behind you or block enemy shots when used well,"[5, 33]",Missing,nan,nan,nan,nan,nan,nan
1680652800,244020,Lost Artifacts: Mysterious Book,[48],Missing,The team of experienced treasure hunters rushes again to meet adventures During a regular inventory at the museum archaeologist Claire comes across an unfamiliar book with a mysterious lockpuzzle adorned with precious stones After unsuccessful attempts to open the book the girl in anger presses a strange mechanism and all the stones from it fall out immediately The museum room quickly changes into a forest with giant trees  the book has taken Claire and the team to its world Will the brave treasure hunter be able to find the lost stones and return home Embark on a heroic mission with Claire  quench your thirst for adventure and help her find all the stones Convenient controls and clear training will help you easily get into the basics of the game Embark on an exciting journey through the world of the Enigmatic Book,Missing,Missing,nan,nan,nan,nan,nan,nan
1681171200,243933,Overwatch 2: Season 4 - Space Opera,"[6, 48, 49, 130, 167, 169]",Missing,Blossom onto the battlefield with our newest Support Hero Lifeweaver progress through the Battle Pass to earn rewards including Mythic Galactic Emperor Sigma and fight for your faction when The Watchers and The Infinite Empire clash in the Starwatch event  Explore Talantis the firstever map made in collaboration with the community  Enjoy major qualityoflife updates with a revamped Competitive experience,"[5, 15]",Missing,nan,nan,nan,nan,nan,nan
1680652800,243881,No Man's Sky: Interceptor,"[6, 48, 49, 130, 163, 165, 167, 169, 385, 390]",Missing,Venture to forsaken Sentinel worlds in update 42 INTERCEPTOR Explore corrupted planets fight a legion of challenging new robotic guardians hijack their technology steal their ships harvest their resources destroy their freighters and much much more,Missing,Missing,nan,nan,nan,nan,nan,nan
1681257600,243777,Call of Duty: Modern Warfare II - Season 03,"[6, 48, 49, 167, 169]",Missing,Weapons hot vaqueros Alejandro and Valeria face off in Season 03,[5],Missing,nan,nan,nan,nan,nan,nan
1681430400,243763,Ultra Pixel Survive,"[48, 49, 130, 167, 169]",Missing,In Ultra Pixel Survive youll find yourself in a pixel world where a young guy named Thomas lives Today he is going on a journey across the country and you will be his company On the screen you will see your character in a certain place Using the control keys you will guide your hero forward On his way there will be various traps and dangers that he will have to overcome with your guidance Sometimes the character may encounter monsters and wild animals which you can destroy using different weapons from your characters inventory,"[12, 31]",Missing,nan,nan,nan,nan,nan,nan
1680825600,242726,Resident Evil 4: The Mercenaries,"[6, 14, 39, 48, 167, 169]",Missing,The Mercenaries is a longrunning Resident Evil challenge mode that sees players attempt to defeat as many enemies as they can before the timer runs out  or you die In the original Resident Evil 4 Mercenaries mode was unlocked upon completing the main game This time it will be a free DLC content postlaunch,"[5, 33]",Missing,nan,nan,nan,nan,nan,nan
1682553600,242598,Contraptions 2,"[6, 48, 130]",On every level there are a number of objects and monstersThe goal is to rid the level of the monsters  This can be achieved in different waysThe objects are affected by the laws of physics and play a key part in solving the puzzle The objects form a contraption which are placed in such a way which creates a chain reaction that will wipe out all monsters The catch is that the contraption is broken  some objects are not in the right place Your goal is to fix the contraption You do this by repositioning flipping or connecting the different objects  When the level starts time is frozen gravity doesnt affect the objects and all machines or gadgets are not running During this time you can move things around connect things flip things in order to make the chain reaction work Once you are done you set things in motion unfreeze time by pressing the Play button and watch things play out  If you did everything correctly the chain reaction will wipe out all monsters and you will progress to the next level If your solution is not correct you can pause the contraption and fiddle with the objects again  Some of the gadgets are activated by igniting them other by touching pushing or pulling them Some gadgets work on their own while other gadgets must be connected together to function For example in order for the conveyor belt to turn it must be connected to an active engine using a belt Likewise in order for the laser gun to fire a laser the trigger must be connected with a rope to a moving object like a car  There dozens of ways you can rid the levels of the monsters It all depends on what objects are you presented with The simplest way is if the monster is pushed off the edge of a platform and falls off the screen Other ways include cutting a rope holding a heavy object which will smash the monster pulling a rope connected to a laser gun igniting the engine of a rocket with a lighter in which the monster is in etc  The solution is achieved through chain reactions Rube Goldberg style For example in order to shoot the monster with a laser you might have to connect a rope to the trigger the other end to a rocket You will need to ignite the engine of the rocket which will pull the rope which will trigger the laser gun which will ultimately eliminate the monster The more you progress through the game the more complex the new puzzles become,Use camels as trampolines champagne bottles as cannons balloons to lift objects fireworks wheels to drive conveyor belts magnets to attract metal objects and many more gadgets to solve the puzzles and clear the levels,"[9, 32]",Missing,nan,nan,nan,nan,nan,nan
1681948800,241171,Akiba's Trip: Undead & Undressed - Director's Cut,"[48, 130]",Missing,First released in the West in 2014 AKIBAs TRIP Undead  Undressed brings the vampireslaying actionRPG to the Nintendo Switch for the first time as the Directors Cut This new edition features all the awesome otaku content from the previous release including the original games DLC plus an allnew story route focusing on the lovable Finnish maid Kati Räikkönen complete with allnew voice over in Japanese and English featuring the original cast,"[12, 31]",Missing,nan,nan,nan,nan,nan,nan
