first_release_date,genres,id,name,platforms,summary,storyline,rating
1414627200,"[12, 15, 31]",36240,Icewind Dale: Enhanced Edition,"[3, 6, 14, 34, 48, 49, 130]",Originally released in 2000 Icewind Dale is a Dungeons  Dragons game set in Wizards of The Coasts legendary Forgotten Realms This Enhanced Edition allows players to experience the epic adventure on PC Mac Linux iPad iPhone and Android tablets and phones and includes a host of new features     Swords and Sorcery Discover dozens of new spells and items including new magic armor and weapons   Blackguards and Wizard Slayers Select from over 30 new kits and classes to create the perfect adventuring party   Bring A Friend Join your fellow adventurers in cooperative crossplatform multiplayer games   See The Unseen Explore quest content cut from the original game now finished and restored   More to Experience Icewind Dale Enhanced Edition includes both the Heart of Winter and Trials of the Luremaster expansion packs,Evil stirs beneath the Spine of the World    In the northernmost reaches of the Forgotten Realms lies the region of icy tundra known as Icewind Dale Journey deep into the Spine of the World mountains a harsh and unforgiving territory settled by only the hardiest folk Encounter fearsome beasts that have learned the cunning and ferocity needed to survive among the snowshrouded peaks Confront an evil that schemes beneath the carven glaciers and mountainsides to wreak destruction upon the face of Faerûn This is the world of Icewind Dale Enhanced Edition,77.65368889935101
1412208000,"[12, 13, 15, 31]",20020,Lord of Magna: Maiden Heaven,[37],A young innkeepers peaceful days suddenly become anything but whet he comes across a beautiful maiden encased in a massive crystal  Now in possession of a mysterious power known only as Lachryma he finds himself on a quest to reunite the girl with her sisters and with each heroines arrival the mystery behind their appearance deepens,Missing,77.0
1414368000,"[8, 11, 12, 15, 31, 32]",9683,Dungeon of the Endless,"[6, 14, 39, 48, 49, 130]",In Dungeon of the Endless the player takes the role of the survivors of a prison spaceship its escape pod having crashed to the surface of a strange planet To escape they must take an energy crystal through several floors each floor filled with a number of dangerous creatures To help the player can have their survivors explore the randomly generated levels to collect resources as to enable power to various rooms and construct turrets to fend off the enemies when they move the crystal from its starting point to the elevator to the next floor,Missing,76.4792547002798
1413244800,"[5, 12]",6032,Borderlands: The Pre-Sequel,"[3, 6, 9, 12, 14, 34, 48, 49, 130]",Shoot n loot your way through a brand new adventure that rockets you onto Pandoras moon in Borderlands The PreSequel Discover the story behind Borderlands 2s villain Handsome Jack and his rise to power in this brand new game in the Borderlands series Taking place between the original Borderlands and Borderlands 2 the PreSequel gives you a whole lotta new gameplay featuring the genre fusion of shooter and RPG gameplay that players cant get enough of  Get high in low gravity and launch across the moonscape to take enemies down from above using new ice and laser weapons Catcharide on the lunar landscape with new vehicles equipped with deadly weapons allowing for more levels of destructive mayhem So grab a friend or two or three strap on a rocket and take off on a brand new Borderlands adventure,The opening of The PreSequel begins some time after the events of Borderlands 2 and immediately after Episode 3 of the subsequent game Tales from the Borderlands on the flying city of Sanctuary where the three former Vault Hunters Lilith Brick and Mordecai interrogate the exAtlas assassin Athena after having captured her Athena recounts her story starting after the death of General Knoxx when she received an offer to go find a Vault on Pandoras moon Elpis from a Hyperion programmer named Jack She joins fellow Vault Hunters Claptrap Nisha Wilhelm Timothy and Aurelia on a spaceship headed for the Hyperion moon base Helios On the way they are ambushed by the Lost Legion an army of former Dahl marines led by Colonel Tungsteena Zarpedon and crashland onto the moon base After meeting up with Jack they attempt to use Helios defense system against the Lost Legion but realizes there is a jamming signal coming from Elpis They attempt to escape but they are stopped by Zarpedon and a mysterious alien warrior so Jack stays behind to fend them off and sends the Vault Hunters to Elpis via a moonshot rocket  After landing on Elpis the Vault Hunters are helped by Janey Springs a junk dealer who guides them to the spaceport town Concordia Here the Hunters under Jacks orders request help from his exgirlfriend Moxxi to find the jamming signal After raiding a former Dahl station they find out that the signal was put up by the Meriff the person in charge of Concordia as well as Jacks former Hyperion underling While this is happening Zarpedon activates Helios primary weapon the Eye of Helios which fires a powerful beam on the surface of Elpis stating she plans to destroy the moon to stop Jack from opening the Vault Jack confronts and kills the Meriff at his office With Concordia secured Jack and Moxxi guide the Vault Hunters to the next step in retaking Helios They infiltrate a Lost Legion base run by two Dahl officers the Bosun and the Skipper in search of a military artificial intelligence which Jack plans to use to build a robot army After defeating the Bosun it is revealed that the Skipper who renames herself Felicity is the AI they were looking for The Vault Hunters travel to a robot production facility where Jack enlists the help of another Hyperion scientist named Gladstone to build his robot army Gladstone suggests using his prototype robot named the Constructor which has the ability to build an infinite number of robots At first Felicity agrees to help them by becoming the AI for the Constructor but upon witnessing the violence she has to go through she begins to hesitate After being forced into the Constructor bot she takes control of it and battles the Vault Hunters Felicity is defeated and her personality is deleted from the Constructor bot  Having obtained his robot army Jack and the Vault Hunters travel to Helios while enlisting the aid of Moxxi and two former Vault Hunters Roland and Lilith who were on Elpis for a vacation While on Helios Jack ruthlessly kills Gladstone and the other scientists working for him after suspecting one of them to be a spy for the Lost Legion The Vault Hunters defeat Zarpedon and her forces and proceed to reboot the Eye of Helios It is revealed that the Eye is actually the eye of the Destroyer the monster that was released from Pandoras Vault in the first game in which Jack took and made into a weapon The Vault Hunters inject slagEridium runoff made by Hyperion into the Eye under Moxxis directions When attempting to reboot Moxxi Roland and Lilith betray Jack and destroy the Eye to prevent him from gaining ultimate power Seeking revenge Jack and the Vault Hunters travel back to Elpis where they find its Vault having already been opened as mentioned by Zarpedon before her death The Hunters battle several of the Vaults guardians and defeat its ultimate guardian the Devalike Empyrean Sentinel  With the Sentinel dead Jack enters the Vault but finds no item of value other than a mysterious symbol floating in midair As he interacts with it the symbol shows Jack a vision of the Warrior However he is interrupted by Lilith who phasewalks in front of him and punches through the Vault symbol burning it onto Jacks face and disfiguring him She teleports away leaving a scarred and insane Jack behind who swears vengeance on Lilith and all the bandits on Pandora now intent on awakening the Warrior to take over the planet Realizing that the hero who once saved her on Helios is no more Athena leaves Jacks employ  Having finished listening to Athenas story Lilith orders the Crimson Raiders to execute her against Brick and Mordecais protests However as they open fire on her Athena is saved by the alien warrior who appeared on Helios with Zarpedon revealed to be one of the legendary Eridians The Eridian warns the Vault Hunters of an imminent war and that they will need all the Vault Hunters they can get  During the credits several scenes are shown revealing what became of the Vault Hunters after helping Jack Wilhelm and Nisha join Jack in his rise to power Wilhelm is transformed further into a machine and destroys the settlement of New Haven while Nisha is made Lynchwoods sheriff and hooks up with Jack who proceeds to raise an army Athena discards the money given to her by Jack and leaves Elpis and Claptrap is dismantled and left for dead by Jack at Windshear Waste In a postcredit scene Jack now going by the name Handsome Jack and wearing a synthetic mask to hide his facial scarring kills his CEO Harold Tassiter and announces to Tassiters secretary on an intercom that he has replaced him as the new head of Hyperion,73.14402001391466
1412467200,"[8, 31]",8509,Skylanders: Trap Team,"[5, 9, 12, 34, 37, 39, 41, 48, 49]",In Skylanders Trap Team Kaos continues his ongoing quest to rule over Skylands He has discovered the location of the legendary Cloudcracker Prison  a fortress built entirely out of the magical substance Traptanium and home to Skylands most nefarious baddies In an attempt to build his own army of foes Kaos blows up the prison releasing the most wanted villains and blasting shards of Traptanium to Earth in the form of Traps Now its up to Portal Masters to recapture all of the escaped villains using powerful Traptanium Traps and defeat Kaos before its too late,Missing,72.49135710556057
1413763200,"[5, 9, 11, 13, 15, 24, 32]",3099,Door Kickers,"[3, 6, 14, 34, 39, 130]",Door Kickers is an innovative RealTime Tactics game that puts you in charge of a SWAT team With your help we can make this The Ultimate Swat Team Command Simulator Analyze the situation plan team routes choose equipment and breach points and coordinate multiple troopers to reach the hostage room before the bad guys get to press that trigger It may sound daunting and like real world CQB combat it sure is But most levels can be completed in minutes and on the fly improvisation works Achieving the perfect planning getting the mission done with no false steps thats a skill harder to master,Missing,71.90443112197919
1414454400,"[5, 32, 33]",26369,#Killallzombies,"[6, 9, 46, 48, 49, 130]",Killallzombies is an insane twinstick zombie shooter with the Twitch streaming interactions where you surviving hordes of zombies on dynamically changing arena and spectators may affect gameplay via special chat commands,Missing,70.0
1412294400,"[8, 31]",23229,Pac-Man and the Ghostly Adventures 2,"[9, 12, 37, 41]",Pac is back in an allnew experience for a whole new generation of fans Featuring an original storyline inspired by the show as well as all the charming characters from the highly anticipated PACMAN and the Ghostly Adventures animated series created and produced by Avi Arad acclaimed director and founder of Marvel Studios  Pac and his 2 best friends Spiral and Cylindria rise to the challenge of protecting their home all the while fighting for Friendship Freedom and the FutureKey FeaturesAUTHENTIC PACMAN AND THE GHOSTLY ADVENTURES UNIVERSE OUT OF THIS WORLD POWERUPS ALL NEW MP AND MAZE MODES PLAYABLE VEHICLES,Missing,70.0
1412899200,"[12, 31, 32]",17264,Boot Hill Heroes,"[6, 130]",Jump into a Western adventure inspired by the classic JRPGs of yore and and the legendary American Wild West You and up to three more friends play as Kid Doc Moon and Rosy in simultaneous realtime coop RPG combat as you take down the notorious SaintsLittle Gang,Missing,70.0
1414627200,"[8, 31, 32, 33]",11342,Woah Dave!,"[3, 6, 14, 37, 39, 41, 46, 48]",From the folks behind the BITTRIP series comes the frantic insanity that is Woah Dave Help our hero Dave Lonuts survive an insane alien invasion and line his pockets with shiny pennies  Hurl alien eggs skull bombs and explosive WOAH blocks to stay alive and sky rocket yourself to high score fame and fortune  The Steam and PS4 versions of Woah Dave also feature a local twoplayer competitive mode where two Daves can go headtohead in a battle to collect the most coins We arent exaggerating when we say it could very well result in ruined friendships and unsalvageable marriages Competitive games are good like that  If that isnt enough Dave for you theres also Bonkers Mode with more aliens more lava and more chances to get killed Those who brave the storm will be rewarded with a splendor of precious coinage those who fail will be revoked of their License to Dave  Good luck and may the best Dave win,Missing,69.02054675777303
1412812800,"[4, 8, 31, 33]",24564,Ninja Battle Heroes,[37],Fight through enemies with katanas and throwing stars absorb Spirit and summon powerful legendary heroes,Missing,66.0
1414022400,"[5, 12, 32]",11646,Ziggurat,"[3, 6, 14, 41, 48, 49, 130]",DungeonCrawling First Person Shooting at its finest Fastpaced combat Dozens of perks spells and enemies Level ups Random Dungeons Traps Badass bosses Carrots Ziggurat is the best combination of First Person Shooter and RogueLITE you have ever seen  Become a neophyte sorcerer and get ready for your rite of passage Enter the labyrinth and face dangerous challenges to prove your worth and become a powerful wizard  The game focuses on fastpaced first person shooting with an oldschool vibe and updated handling and game mechanics Dungeon crawling and RPGRoguelike elements are added into the mix resulting in a fun challenging and varied game with lots of content to discover  Fight almighty bosses get through rooms filled with traps and treasures that may help you in your journey Each game is a whole new experience,Missing,65.02322435188715
1414627200,"[5, 31, 32, 33]",84969,Zombie Panic in Wonderland DX,"[6, 37, 130]",The deluxe version of the successful Zombie Panic in Wonderland The game is completely renewed for this version Lets set out on a grand adventure to save Wonderland from the zombies destroying all in their way,Missing,65.0
1414454400,"[10, 32, 33]",14567,BlazeRush,"[3, 6, 9, 14, 48, 130, 385]",BlazeRush is a dynamic arcade racing survival game with no health no levelling and no brakes You can assemble a team of friends to play in local or online multiplayer choose a car to your taste and chase blow up and cut off Adapt your style and tactics to new enemies obstacles and tracks,Missing,64.14728530844206
1413417600,"[11, 13, 15, 32]",8424,Ultimate General: Gettysburg,"[3, 6, 14, 39, 48, 49, 130]",Ultimate General Gettysburg is a Tactical Battle Simulator that allows you to lead thousands of soldiers in the famous Battle of Gettysburg as commander of either the Union or Confederate army The game features the most accurately created map complex morale innovative control mechanics and smart AI You have the freedom to use different strategies while the battle progresses Your decisions and military performance play a crucial role in the result Lead your army and win the Battle of Gettysburg,Missing,60.56404379589529
1412640000,"[9, 12, 31, 32, 33]",9374,Pix the Cat,"[3, 6, 14, 46, 48, 49, 130]",Pix the Cat features many different game modes including single and multiplayer modes some changing the theme and aesthetic Including Arcade Nostalgia Laboratory and Arena modes youll play as Pix  who plays Pix  heading deeper and deeper into levels upon levels in a SnakemeetsPacMan digital world  Enjoy a kinetic and stylized world within games where in the arcade mode your task is to liberate ducklings and trail them to the safezones without hitting the walls getting stuck or running into your feathered friends gaining the highest score possible and comparing them on the leaderboards Completing achievements opens up new game modes and unlocks fantastic artwork hilarious announcer voices and your favorite tunes from the games soundtrack Among other surprising surprises  Finally Arena mode pits you against 3 friends in local multiplayer With two players facing off on the same keyboard connect additional controllers and blow your enemies to smithereens in epic battles of cats ducks and eggs,Missing,60.45596720435085
1413244800,"[9, 12, 13, 15, 16, 31, 32]",79142,Ambition of the Slimes,"[6, 34, 37, 39, 46, 130]",The RPG game that claims human beings Ambition of the Slimes  The slimes are too weak to be the opponents of the humans But if they utilize their ability of Claim The human that was claimed can be controlled as an ally  Different kinds of slimes have their own abilities you have to choose the proper slime to take over the enemy and consider how to battle with them  Many tactics can be used in battle and your choice is the key to victory Try another method if you cannot defeat your enemy because the slimes are too weak to battle by themselves  The features of the slimes and their advantages against the enemy will be the key to victory  Will the weakest slime legion achieve their success It shall rely on your strategy as the commander,The world was about to be ruined  A brutal family called the human appeared and almost obtained the world They burnt the forest and polluted water and the sky They were very tyrannical It is almost the day when the world is ruined  And they pointed the blade to us who did not have hostility We who did not have great power only merely waited for extinction  But We understood that we could take over their body when we were in the body of the human from trifling chance once  Slimes counterattack began,60.0
1414022400,"[9, 15, 32]",35374,Sleep Attack,"[6, 14, 39, 130]",Enjoy an amazing new TWIST in Tower Defense You control the layout of the battlefield and you decide the paths your enemies follow,Missing,60.0
1414713600,"[12, 13, 15, 31, 32]",34347,Asdivine Hearts,"[6, 9, 14, 39, 41, 46, 48, 49, 130]",Restore the balance of light and shadow in the worldBeautiful handdrawn visuals and a story of epic proportions bring Asdivine Hearts to the forefront of PC gaming Travel alongside four companions and a cat in this fantasy 2D turnbased RPG,Missing,60.0
