first_release_date,id,name,platforms,summary,genres,storyline,rating
1519257600,36837,Little Nightmares: The Residence,"[6, 48, 49]",The third DLC and final part of the Runaway Kids story  The Runaway Kid is not out of trouble yet as he enters the Ladys private residence Escaping the shadow enemies summoned by The Lady and solving deadly puzzles will be the only way to survive this luxurious house of dread Armed only with his flashlight The Kid will have to repel the nightmarish illusions and dodge the traps set in the twisted library As he walks to meet his fate The Kid will shed light on the darkest secrets of The Maw,"[8, 31]",Missing,76.42396747009613
1519689600,27514,Gravel,"[6, 48, 49]",Gravel is the only title in the market that includes the most extreme mix of offroad competitions ever seen in a game,"[10, 13, 14, 33]",Missing,74.19373313303872
1519084800,82528,Battlefield 1: Apocalypse,"[6, 48, 49]",The fourth and final DLC for Battlefield 1 the Apocalypse DLC is centered around some of the most brutal battles of the Great War The DLC was released on February 20 2018 containing five maps six guns and a new game mode among other additions The three infantrybased maps of Apocalypse reflect three of the bloodiest battles of World War I Caporetto set in presentday Slovenia Passchendaele in Belgium and River Somme in France The DLC brought no new factions to the game but introduced a new game mode titled Air Assault in the remaining two maps These two maps both only plane and zeppelinfocused are named Razors Edge and London Calling While both maps feature combat above detailed landscapes Razors Edge taking place in the Alps and London Calling occurring over the city of London neither are based on factual battles Apocalypse brought new weapons and gadgets to Battlefield 1 as well The weapons released include the RSC SMG Howell Automatic lMG 0818 Ross MkIII M1917 Enfield and Webley Revolver Mk VI In addition melee weapons including the Broken Bottle Wine Bottle Meat Cleaver and Prybar were introduced to the game DICE and the Battlefield team also added a number of other components to the game including vehicles gadgets for various infantry classes and the stationary Livens ProjectorGaswurfminen located on each of the three infantrybased maps The DLC also features two new air vehicles the Airco DH10 and the HansaBrandenburg GI,[5],Missing,72.02032785599567
1517875200,129536,Dandara: Trials of Fear Edition,"[3, 6, 14, 34, 39, 48, 49, 130]",The world of Salt hangs on the brink of collapse The citizens once free spirits now stand oppressed and isolated But not all is lost for out of this aether of fear arises a heroine a ray of hope Her name is Dandara  Welcome to a unique 2D metroidvania platformer full of mystical creatures and boundless exploration Defy gravity as you jump across floors walls and ceilings alike Discover the mysteries and secrets hidden throughout the world of Salt and its diverse array of characters Empower Dandara for combat and survival against enemies bent on oppression  Awaken Dandara to bring freedom and balance to this directionless world  ENTER THE HIDDEN REALMS The Trials of Fear Edition adds 3 new areas to explore a new big boss new powers and mechanics new music tracks a new secret ending as well as many quality of life updates and more  UNCOVER THE SALT The Trials of Fear Edition adds a whole new focus on story fleshing out the lore of the Salt and its inhabitants Find new descriptions dialogues and cutscenes for existing characters and environments  NEW CONTROL SCHEME While we continue to strongly recommend playing with a Microsoft Xbox Controller for Windows or equivalent enjoy a new Mouse and Keyboard control scheme specifically made for PC  INNOVATIVE CONTROLS Built natively for both touchscreen and gamepad input movement and combat interact smoothly and seamlessly  BOUNDLESS EXPLORATION Traverse across the esoteric world of Salt through fast and fluid jumps off any surface unhindered by gravity in lovingly crafted environments  CHALLENGING PROGRESSION Use a combination of speed  skill wits  reflexes to solve puzzles earn powerups and access areas previously unreachable  BEAUTIFUL AND IMMERSIVE WORLD A visual and auditory wonderland comes to life through gorgeous handcrafted pixel art and original soundtrack compositions,"[8, 31, 32]",Missing,70.3368423612058
1519603200,23314,Asphalt 9: Legends,"[6, 14, 34, 39, 49, 74, 130, 169]",Legends features a top roster of real hypercars for you to drive that is unlike that found in any other game from renowned car manufacturers like Ferrari Porsche Lamborghini and W Motors Youre free to pick the dream car you need and race across spectacular locations against rival speed machines around the world Hit the fast track and leave your limits in the dust to become a Legend of the Track,"[10, 14, 33]",Missing,70.32708858215753
1518048000,3277,Rust,"[3, 6, 14, 48, 49]",The only aim in Rust is to survive Everything wants you to die  the islands wildlife and other inhabitants the environment other survivors Do whatever it takes to last another night,"[5, 12, 31, 32]",Missing,70.26770353318553
1518048000,17479,The Wild Eight,"[6, 48, 49, 169]",The Wild Eight is an intense survival actionadventure set in the frozen wilderness of Alaska Team up with friends in online coop or go solo explore the mysterious land craft weapons and fight to live another day,"[12, 13, 31, 32]",In no time the everyday lives of eight people change forever They have just survived a mystic plane crash and now find themselves in the middle of horizonless winter forest in Alaska  You are one of the survivors Act on your own or join efforts with other players and do your best to get back home  Side by side Survive and explore the forest with other players Its the right way to stand against this harsh world until a madman appears in your group who wishes to grab the catch  Develop skills At night the temperature drops to critical points and a bleeding wound worries you when least expectedYou must develop all survival skills such as creation of shelters and other necessary things otherwise youre doomed to death  Whats happening Where did all these deserted buildings and mutated wolves come from Solve all the puzzles of this place to get out of here,70.07460322084702
1518652800,19525,Fe,"[6, 48, 49, 130]",Fe is a new type of platform adventure where the story is up to you to discover without handholding told wordlessly through the discoveries you make during gameplay  Run climb and glide your way through a dark Nordic forest and explore its living breathing ecosystem filled with secrets and mystical creatures  At the heart of the experience is a tactile analogue song mechanic that allows you to communicate and speak to every living thing in the forest  Learn a diverse array of animal cries that allow you to befriend or manipulate any creature  even plants Have birds guide you bears fight for you and have plants grow berries that help you overcome the Silent Ones  Become Fe and discover a world that you will never want to leave,"[8, 31]",The player controls Fe a foxlike creature within a forest that is highly responsive to the songs of the creatures and plants within it The forest creatures are being attacked by entities called the Silent Ones for unknown reasons that threaten the forests wildlife Fe is able to sing to other creatures and objects as to gain their help These creatures can teach Fe a new song which gives the fox additional abilities through the forest such as activating a flower that acts as a jumppad to launch Fe to higher locations and explore more of the world,70.04872678812495
1519171200,88401,"I, Hope","[6, 49]",I Hope is a beautiful coming of age adventure story about a young girl named Hope whose town has been taken over by Cancer The game is engaging for all yet for survivors and children who are currently battling cancer the game is empowering The developer has truly set out to make a game that kids can play while receiving cancer treatments something to distract them but at the same time put them back in control of their battle In addition to this being a great game the developer is donating all their proceeds from the game to Game Changer Charity a wonderful nonprofit organization whose mission is to spread hope and love to children staying in hospitals  When we think of video games our minds go to epic battles fantasy worlds crazy races and mindboggling adventures For Kenny Roy creating a game is about hitting the perfect balance between pure amusement and lifting spirits,"[31, 32]",Missing,70.0
1517875200,87678,Dig Dog,"[6, 14, 39, 49, 130]",Dig Dog is an action roguelike platformer Dig to discover treasure adventure and bones Jump dash stomp and dig your way through a strange world inhabited by stranger creatures Dig Dog combines classic platforming action with endless generated levels to exploreand dig Includes two modes of play Bone Hunt the roguelike treasure hunt Dig for bones across four worlds of increasing difficulty Die a lot Free Dig an endless digging experience Dig through an infinite set of levels with minor challenge and no game overs,"[8, 31, 32, 33]",Missing,70.0
