first_release_date,id,name,platforms,genres,summary,storyline,rating
1444953600,82445,Marvel Puzzle Quest: Dark Reign,"[48, 49]",[12],The award winning match3 puzzle gameplay meets Marvels biggest Super Heroes and Super Villains in the most epic puzzle adventure Combine your favorite characters from the Marvel Universe including Iron Man Hulk Thor and Venom with deep RPG leveling episodic events written by Marvel writers and much more Put your squad to the test in battles against players in both online and local multiplayer to compete for the top of the leaderboards Unleash your inner Super Hero and wage war against your enemies before Norman Osborn and his minions reign supreme,Missing,60.0
1445212800,34847,Dad Beat Dads,"[6, 14, 49]","[25, 33]",Dad Beat Dads is the worlds premiere Dadbased local multiplayer brawler Go head to head with your friends or battle solo in one of our 3 different game modes This aint your daddys dadbased video game,Missing,60.0
1444867200,22182,Momonga Pinball Adventures,"[6, 14, 41, 48, 49, 130]","[30, 31, 32, 33]",Momonga is a unique pinball game where you bounce a flying squirrel through different levels Enemies boss fights exploration  it has all the ingredients of good old actionadventure games but with flippers,Missing,60.0
1445817600,21983,Hartacon Tactics,"[6, 12]","[12, 15, 16, 32]",Hartacon Tactics is a turnbased tactical RPG featuring higly deterministc mechanics beautiful handpainted 2D art and deep gameplay Hire characters of unique classes and wisely use their strengths skills and weapons to defeat tough enemies as you travel through the continent of Kaus in the singleplayer campaign or challenge other players in coop multiplayer battles,Missing,60.0
1443744000,20956,Polychromatic,"[3, 6, 14, 49]",[32],Polychromatic is a physicsbased arcade shooter with a pop of color,Missing,60.0
1445990400,18078,Dead Effect 2,"[6, 14, 34, 39, 48, 49, 130]","[5, 12, 32]",Dead Effect 2 is the newest addition to the acclaimed Dead Effect franchise This action scifi shooter is looking to push the boundaries of firstperson shooters to new levels with slick graphics rich narrative RPG elements and a cooperative multiplayer mode,Missing,60.0
1445558400,13218,One Hundred Ways,"[6, 39, 49]","[9, 15, 32]",100 tricky levels to solve One Hundred Ways The goal  to make the ball reach its goal  sounds simple  but its not To solve the levels there are some tools available Sometimes one needs to think outside the box to overcome obstacles,Missing,60.0
1445299200,20342,Toby: The Secret Mine,"[3, 6, 14, 34, 39, 41, 48, 49, 130]","[8, 9, 31, 32]",A challenging puzzle platformer inspired by games like Limbo and Badland,A peaceful way of life in a small village in the mountains was thrown into disorder Someone has kidnapped most of its residents A couple of brave hearts tried to rescue their friends but none of them has returned Little Toby didnt want to just sit and wait so he decided to find them by himself He went to the near deep forest but he soon realized this is just a beginning of a big adventure,50.08887310775494
1444694400,23472,Goosebumps: The Game,"[6, 37, 48, 49, 130]","[2, 9, 15, 31]",The walk home from school today is going to be a lot spookier than usual Your sleepy neighborhoods been overrun by monsters Werewolves prowl the woods Gnomes roam underfoot and scarecrows walk at midnight But these arent ordinary monsterstheyre RL Stines famous Goosebumps monsters released from their books and looking to wreak havoc,Missing,50.01683618257818
1445558400,34567,Let's Sing 2016,"[5, 6, 48, 49]",[7],Lets Sing 2016 brings a brand new generation of karaoke to your PC  Whether youre an experienced vocalist or a bathroom crooner grab a mic and give it all youve got with the 35 available hits including Bruno Mars Meghan Trainor Calvin Harris Sam Smith Avicii Maroon 5 John Legend,Missing,50.0
1444435200,31321,Geology Business,"[6, 12]","[15, 32]",Have you ever wanted to know how it feels to drown in money Say no more fam in Geology Business you get to mine for ancient hidden gems worth a fortune and dont forget about the spicy memes on the menu,Missing,50.0
1444262400,26664,Bridge Constructor: Stunts,"[3, 6, 14, 39, 48, 49]","[9, 13, 15, 32]",Stuntman and engineer in one  No problem with Bridge Constructor Stunts Build imposing ramps and loops to reach your goal in the diverse stages But building structures alone isnt enough this time you sit behind the wheel of the vehicles yourself and have to maneuver them skillfully to the goal,Missing,50.0
1443744000,14387,Black & White Bushido,"[3, 6, 14, 48, 49, 130]","[4, 25, 33]",Things are rarely ever black and white but thats not the case in Black  White Bushido With an original soundtrack and gorgeous stylistic 2D visuals youre either a light or shadow samurai facing down your opponents in a combat arena The black and white style makes each battlefield a dangerous place filled with hiding spots for four players to fight and hide in Its a simple concept boiled down to an infinitely replayable set of team death match or Capture the Flag sessions    Black  White Bushido is an arena fighting game between light and shadow samurai,Missing,50.0
1445904000,14297,MX vs. ATV Supercross Encore,"[6, 48, 49]","[10, 13, 14]",Tires grip bikes flip while players whip across the finish line Take a dose of Motorcross mixed with ATVs in MX vs ATV Supercross Encore Cross the finish line on 30 tracks while riding 60 different bike and ATV rides,Missing,50.0
1445990400,13223,Albert and Otto: The Adventure Begins,"[6, 14, 48, 49]","[8, 9, 31, 32]",Albert and Otto is a story about a boy and his abducted sisters magical bunny They embark on a journey to find her overcoming murderous beasts and lethal puzzles by working together Although Albert  Otto at first seems like a journey to save the damsel in distress it is anything but,Alberts beloved sister Anna is abducted from their family home by shadows Albert embarks on a journey to find her encountering Otto her beloved stuffed bunny along the way When he picks up Otto Albert is imbued with special powers and the two work together to overcome murderous beasts and lethal puzzles But Anna appears to Albert in recurring sequences indicating that what seems like a journey to save the damsel in distress is anything but Clues during gameplay suggest that Albert might be hiding something from the player and himself,50.0
1445990400,15523,Batman: Arkham Knight - GCPD Lockdown,"[6, 48, 49]",[31],Set after the events of Arkham Knight play as Nightwing to stop the Penguin from breaking out of the Gotham City Police Department in this thrilling story pack,Some time has passed since the events of Arkham Knight the criminals have been locked up the BatSignal smashed and Batman gone Penguin is trying to break out with the help of his gang With Lucius at the comms Nightwing has to take Penguin and put him back in the GCPD,48.11032021185173
1444348800,34921,Castles,"[6, 48, 49]","[9, 15, 32]",Castles is an indie Match 3 puzzle game Featuring three modes of play story versus and survival the game can be enjoyed individually or as a multiplayer With more than 50 levels of randomized gameplay in story mode you will never play the same game twice You control an engineer rather than the blocks themselves creating a unique gameplay experience,Castles tells the story of the ambitious King Harold whose greatest achievement will be the tower you are constructing As the tower grows taller and taller more and more challenges arise along with it Unpredictable weather combined with the efforts of the jealous and vengeful King Edmund King Harolds nemesis may thwart your upward progress,40.0
1444608000,15902,Hyperdrive Massacre,"[3, 6, 14, 49, 130]","[5, 14, 32, 33]",Hyperdrive Massacre or HDM is an 80s inspired arcade fragfest in Spacewar sauce designed around local multiplayer focused on kinestetics tactical and shooting skills at a very high pace  Players take control of a space cadillac shooting all sorts of lasers dropping mines and raising bulletdeflecting shields in a singlescreen wrapping arena with no friction By competing in all game modes players are able to unlock more cars and arenas  HDM was born as a quick throwaway prototype by modifying an Asteroids template project in September 2014 By adding bulletdeflecting shields removing the danger elements from the debris and placing another player in the scene a frantic gameplay with plenty of possibilities for mastery emerged The team has been working on HDM as a side project ever since managing to land the game on the market in slightly more than a year  HDM is part of the IDXbox programme,Missing,40.0
