first_release_date,id,name,platforms,summary,genres,storyline
1698969600,258804,DreamWorks All-Star Kart Racing,"[6, 48, 49, 130, 167, 169]",Twenty of the most iconic DreamWorks Animation characters take the wheel in the fastpaced world of kart racing in DreamWorks AllStar Kart Racing  Shift drift and jump at high speeds across a variety of fantastical tracks inspired by DreamWorks Animations many fanfavorite films Blaze past the competition in fun and hilarious action for players of all ages with solo as well as online and local splitscreen multiplayer modes,"[10, 33]",Missing
1699488000,258256,Wildshade: Unicorn Champions,"[48, 49, 130, 167, 169]",Cross the finishing line riding a unicorn,"[10, 33]",Missing
1699920000,258252,Super Crazy Rhythm Castle,"[6, 48, 49, 130, 167, 169]",Its Super Crazy Rhythm Castle the chaotic rhythm adventure A puzzling coop mashup unlike anything youve ever heard Solo or with a band of up to three friends Can you conquer the castle,"[7, 9, 31, 32]",Missing
1700179200,257332,Bluey: The Videogame,"[6, 48, 49, 130, 167, 169]",Join the fun with Bluey and her family in Bluey The Videogame Play a brandnew story set across 4 interactive adventures For the first time ever explore iconic locations such as the Heeler House Playgrounds Creek and a bonus beach location Play your favourite games from the TV show including Keepy Uppy Chattermax Chase and more  The fun doesnt stop there This game wont be trifficult just a lot of fun Experience the joy and wonder of Blueys world with local multiplayer you can play with friends and family in story mode and free play Explore and collect items for your sticker book unlock outfits and uncover the many secrets and hidden references throughout each location Recreate iconic scenes or create your very own Bluey inspired adventures and games in Bluey The Videogame,[31],Missing
1700611200,256466,Jurassic Park: Classic Games Collection,"[6, 48, 130, 167, 169]",The 8and 16bit era of Jurassic Park games returns  This Carbon Engine release not only includes a lineup of classic titles but also adds new features including save states for each game new ingame maps and various qualityoflife fixes that bring these games into the modern era of gaming  The Jurassic Park Classic Games Collection includes Jurassic Park NES Game Boy and SNES and Jurassic Park Part 2 The Chaos Continues Game Boy and SNES,"[5, 31]",JURASSIC PARK The perilous primeval world of JURASSIC PARK awaits  Step into the role of Dr Alan Grant A computer malfunction has caused the release of hundreds of fearsome prehistoric predators Vicious raptors spitters and TRex are threatening to overrun even the fortified visitors compoundand two children Tim and Lex are lost in the islands jungle wilderness To find and rescue them youll have to face some of historys most powerful and DEADLY carnivores  JURASSIC PARK 2 THE CHAOS CONTINUES A year has passed and no one has set foot in Jurassic Parkuntil now  As Dr Grant youll venture back to the island where more dinosaurs than you could ever imagine await your return  If you thought the first visit was a nightmare wait until you meet the new attractions
1701302400,254845,Asterix & Obelix: Slap Them All! 2,"[6, 48, 49, 130, 167, 169]",Asterix  Obelix  Slap them all 2 is a Beatem Up with an original story Explore different places such as forest ruins a vast Roman camp and even Lutèce This dynamic game invites you to come on an adventure  with a generous distribution of slaps,[4],Missing
1700092800,254728,Yohane the Parhelion: Blaze in the DeepBlue,"[6, 48, 49, 130, 167, 169]",Yohane the Parhelion Blaze in the DeepBlue is an official spinoff of Love Live Sunshine Yohanes fantasy world sets the stage for a 2D metroidvania in Yohane the Parhelion Blaze in the Deepblue,[31],Missing
1698969600,253061,Jumanji: Wild Adventures,"[6, 48, 49, 130, 167, 169]",Explore Jumanjis lost world of dangerous beasts and secret treasures,"[8, 9, 31]",Missing
1698883200,252849,Stampede Racing Royale,"[6, 48, 49, 167, 169]",Welcome to the wildest kart racing event ever devised where 60 players go bumpertobumper on outrageous circuits filled with powerups Avoid elimination and fight your way to the front of the herd in the scramble to be crowned champion,"[10, 14, 33]",Missing
1698969600,252831,Microsoft Flight Simulator: Dune,"[6, 169]",In partnership with Legendary and Warner Bros Entertainment Microsoft Flight Simulator has created an authentically detailed House Atreides Ornithopter Master the complex controls of one of the most dynamic aircraft ever conceived as you pilot your ornithopter through aweinspiring locations across the mysterious desert planet of Arrakis,[13],Missing
