,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
17,"[15, 26, 32, 35]",32921,Sumer,"[6, 14, 130]",Sumer is a unique blend of modern board game design and exciting realtime action set against the beautiful backdrop of a mysterious ancient civilization  To claim the throne four nobles of the ziggurat must compete for Inannas favor She is not easily pleased but what god is To prove your worth you must perform sacrifices according to Inannas sacred rituals Place your workers in workshops to gain resources and goats Offer up the resources to Inanna and use the goats to trade for new workshops and abilities Only the swiftest and cleverest noble will become the ruler of Sumer  A Worker Placement Video Game Sumer takes the board game mechanic of worker placement to a new level Each day you and your competitors will awaken at dawn to begin your worship Run and jump around the ziggurat to place your workers so theyll collect resources You only have 2 workers so you better figure out your strategy move fast and claim workshops before your friends beat you to it  Realtime Dynamic Auctions Whoever is willing to sacrifice the most goats gets Inannas blessing The auction is simple  just move left or right to change your bid in real time Each auction is a mind game of bluffing and bravado and you never know an items real price until time is up Trick your opponents into overpaying for their bids while you snag good bargains for your own  Key Features 14 players  Play local with up to 4 players Master playing solo or try to beat up to three of your friends Devious AI  A variety of personalities and skill levels makes the game a challenge for any player Comfortable game length  With a game experience of 20 to 30 minutes Sumer plays in a fraction of the time of a comparable strategy board game Infinitely replayable  Randomized setup and a huge variety of different auction items make each playthrough a unique strategic experience Nuanced strategies  There is no single key to winning Being quick on your feet and making smart longterm investments are both crucial to victory Sumerian culture  Weve worked with professional historians to bring you the ancient civilization that invented writing beer and board games Customizable gameplay  Play the way you want by turning on variants like Big Head mode and Hidden Auction Items Your controls  The game can be played with controllers mouse and keyboard all at the same time,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
18,"[32, 33]",29541,Nice Slice,"[6, 130]",Endless fun of cutting stuff into tiny pieces,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
19,"[14, 33]",28451,ACA Neo Geo: Neo Turf Master,"[6, 48, 49, 130]",Neo Turf Master is a golf game released by SNK in 1996 Players can choose from a total of six golfers with different abilities and play on courses located around the world such as Australia or Germany,Missing,Missing,,,,,,
20,"[9, 31]",27195,Parascientific Escape - Gear Detective,[37],Parascientific EscapeGear Detective is a sequal to Parascientific EscapeCruise in the distant seas where the player is required to find clues and solve puzzles to escape certain situation using PSI abilities,Missing,Missing,,,,,,
21,"[12, 13, 15, 31]",26666,Legna Tactica,[37],Save the Kingdom through tactical battles Strategy is the only key to victory,Missing,Missing,0.0,18.05,0.0,70.0,1.0,2.0
22,"[8, 31, 32]",14593,Hollow Knight,"[3, 6, 14, 41, 130]",A 2D metroidvania with an emphasis on close combat and exploration in which the player enters the onceprosperous nowbleak insect kingdom of Hallownest travels through its various districts meets friendly inhabitants fights hostile ones and uncovers the kingdoms history while improving their combat abilities and movement arsenal by fighting bosses and accessing outoftheway areas,92.65327608090018,Missing,26.95,41.37,62.4,91.0,3535.0,6085.0
23,"[9, 31]",30424,Queen's Quest 2: Stories of Forgotten Past,"[3, 6, 14, 48, 49, 130]",Conduct an investigation as shapeshifter,90.0,Missing,2.28,2.89,3.32,63.0,11.0,33.0
24,"[8, 31, 32]",10148,Night in the Woods,"[3, 6, 14, 39, 48, 49, 130, 167]",Night In The Woods is an adventure game heavily focused on story characters and exploration with some platforming to get around town Maes a cat so the roofs and ledges and powerlines are all her playground and shes not the only one up there by a long shot Youll also be doing various activities and interacting with the world in different ways getting to know the townspeople hanging out with friends exploring Possum Springs inside and out and venturing into the surrounding areas,82.15257532089052,Night In The Woods is a VIDEO GAME All Mae wants to do is run around with her friends break stuff and hang on to a life of aggressive aimlessness She dropped out of college and returned home to her crumbling old mining town to do just that but shes finding that nothing is the same anymore The old town seems different Her old friends have grown in their own directions Mae herself is undergoing some sudden and unexplained changes giving her mysterious abilities that grant her access to a side of town she never knew existed The world is changing things are ending and the future is uncertain Up behind the park at the edge of town back in the trees by the old mine theres something in the woods And it could mean no future at all Night In The Woods comes from a deep place for us That point where you sense things are changing and its time to move on but you just dont know how Knowing that everything will end someday and wondering how well well be able to meet it when it happens How long well be able to hold on and when we should let go When to accept and when to fight,8.74,12.19,24.64,78.0,837.0,1072.0
25,"[8, 31, 32]",10681,Alwa's Awakening,"[3, 6, 14, 18, 48, 49, 130]",Use your magic staff and progress through a large interconnected world where youll solve puzzles fight enemies and defeat bosses in order to help free the land of Alwa Explore and uncover the secrets by using your platforming skills in this challenging and charming 8bit adventure game  Alwas Awakening is a game that tries to stay as close as possible to the authentic 8bit look with sweet pixel art a soundtrack filled with catchy chiptunes and so much charm itll bring you right back to the NES era With easy to understand controls the game is easy to learn but tough to master just like how games were in the old days   A new challenging NESinspired adventure game  Use the magic staff to solve puzzles and defeat enemies  Find and unlock upgrades to your items and abilities  Explore a large interconnected map in true Metroidvania style  Listen to a completely new 8bit soundtrack with over 25 new original tracks,80.0985386595623,An evil power plagues the people and its up to you to set them free You must travel to the land of Alwa and help the people living there to awaken from their nightmare You are Zoe a normal everyday girl who just happens to like to play video games One late night when shes just enjoying her favourite game she suddenly finds herself dozing off and when she awakens she has been brought into the game and into the land of Alwa,7.84,10.12,10.24,74.0,50.0,84.0
26,"[13, 31, 32, 34]",30938,Animal Lover,"[6, 14, 48, 49, 130, 167, 169]",Evil forces have turned these five hunky beefcake timedisplaced boys into animals Youve got to help cure them and maybe even fall in love Mystery Intrigue Romance No furries despite the title A dating sim by Wilson Taylor Maia Gross and Travis Tohill,80.0,Missing,8.77,0.0,11.9,71.0,7.0,11.0
