,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
36,44390,Ninja Usagimaru: The Gem of Blessings,[37],"[8, 9, 15, 32]",Jump over obstacles defeat the Mononoke army and save the abducted villagers from their evil clutches,Missing,88.0,,,,,,
37,20744,Ōkami HD,"[6, 9, 48, 49, 130]","[12, 31]",Experience the critically acclaimed masterpiece with its renowned Sumie ink art style in breathtaking high resolution Take on the role of Amaterasu the Japanese sun goddess who inhabits the form of a legendary white wolf on a quest to defeat Orochi an eightheaded demon and tyrannical monster responsible for turning the world of Nippon into a ruined wasteland,Missing,87.81587789903196,,,,,,
38,6701,Edna & Harvey: Harvey's New Eyes,"[3, 6, 14, 39, 48, 49, 130]","[2, 9, 31, 32]",In Edna  Harvey Harveys New Eyes players return to the world of adventure game hit Edna  Harvey The Breakout Be prepared to meet many old friends and discover many new handmade cartoon locations realized in full HD glory  Lilli a young girl at a convent school is the main character of Edna  Harvey Harveys New Eyes Seemingly the bestbehaved little girl in the world she executes all her chores in a diligent manner no matter how unfair they may be Her innocent imperturbable way of carrying out the orders of others has something both tragic and eerie about it Any angry thoughts any childlike disobedience is buried deep beneath a seemingly impenetrable surface of sweetness But how long will these feelings stay hidden And where do the friendly little gnomes come from that paint over everything unpleasant in Lillis vicinity with a pleasant pink color Are they real or just a product of her subconscious,In Edna  Harvey Harveys New Eyes players return to the world of adventure game hit Edna  Harvey The Breakout Be prepared to meet many old friends and discover many new handmade cartoon locations realized in full HD glory Lilli a young girl at a convent school is the main character of Edna  Harvey Harveys New Eyes Seemingly the bestbehaved little girl in the world she executes all her chores in a diligent manner no matter how unfair they may be Her innocent imperturbable way of carrying out the orders of others has something both tragic and eerie about it Any angry thoughts any childlike disobedience is buried deep beneath a seemingly impenetrable surface of sweetness But how long will these feelings stay hidden And where do the friendly little gnomes come from that paint over everything unpleasant in Lillis vicinity with a pleasant pink color Are they real or just a product of her subconscious,86.88822563958101,7.31,8.33,9.3,77.0,91.0,175.0
39,11238,"Cook, Serve, Delicious!","[3, 6, 14, 34, 39, 48, 49, 130, 167, 169]","[9, 13, 15, 32]",Cook Serve Delicious is a hardcore restaurant sim one of the few in its genre that gives the players total control over where they want to take their restaurant,Missing,83.75970862737069,18.35,26.43,37.86,80.0,103.0,159.0
40,1384,Hotline Miami,"[3, 6, 9, 14, 34, 46, 48, 49, 130, 167, 169, 170]","[5, 32, 33]",A topdown slashershooter with unlockable gameplayaltering masks and weapons featuring a neonflavoured electronic aesthetic in which a hitman receives anonymous calls ordering him to travel to certain residences and crime dens and massacre those within as he stumbles through unreal visions and inconsistencies without any answers to how why or who,Missing,83.75201577407091,5.24,7.31,15.4,82.0,2293.0,3149.0
41,114943,The Walking Dead: Season One - Episode 4: Around Every Corner,"[6, 9, 12, 14, 34, 39, 46, 48, 49, 130]",[2],Just like the first episode it consists of eight chapters and it picks up after the events of the previous episode The train the group managed to get going arrives at Savannah the place Clementine believes her parents are,Missing,80.58823529411765,,,,,,
42,2934,Knights of Pen and Paper +1 Edition,"[3, 6, 14, 34, 39, 48, 49, 130]","[12, 15, 16, 32, 35]",Set out on a grand adventure in this turnbased retro style pixelart RPG inspired by the great titles of the 90s Take on the roles of ingame players taking on the roles of their characters in a traditional pen and paper RPG session in the ultimate meta roleplaying experience,Missing,79.18690691988775,12.61,18.45,26.96,67.0,94.0,123.0
43,4674,Angry Birds Star Wars,"[5, 6, 9, 12, 14, 34, 37, 39, 41, 46, 48, 49, 73, 74]","[9, 15, 33]",Join an epic adventure with the Angry Birds in the legendary Star Wars universe remastered for gaming systems Use the Force wield your Lightsaber and blast away Pigtroopers on an intergalactic journey from the deserts of Tatooine to the depths of the Pig Star Can you become a Jedi Master and restore freedom to the galaxy,Missing,75.64334819788755,4.5,7.95,16.16,68.0,57.0,27.0
44,6864,Project X Zone,[37],"[12, 15, 24, 31]",Project X Zone is a crossover tactical roleplaying game for the Nintendo 3DS The game is a follow up to the video game Namco  Capcom and features characters from Namco Bandai Capcom and Sega Stages in Project X Zone take place in gridbased locations from the games many crossover titles Each friendly unit is made up of two characters thus referred to as a Pair Unit though a third character or Solo Unit can be added for onceperbattle assistance Unlike Namco  Capcom units can move freely within their range on the field map with no penalty for accessing treasure chests or destructible objects prior to attacking,The year is 20XX AD  The world is in the middle of a quiet chaos  Shadows lurk behind the unchanging peacefulness of everyday life Twisted beings writhe unseen in the darkness Mysterious dimensional portals connect the real world to others more fantastic  But with the passage of time people eventually have come to understand and even accept these things as part of their daily lives All without knowing of the existence of the people and organizations fighting the true evil  The Kouryuji Estate There is a certain family that has worked in secrecy behind the scenes throughout history This story begins with the theft of a treasure known as the Portalstone that this family has been protecting over the ages  Mii Kouryuji has enlisted the help of private detective Kogoro Tenzai in order to locate the stone  Who stole the stone And for what purpose The thoughts and ambitions of various people organizations and mythical beings mingle and eventually the case becomes a chaos of a grand scale  The worlds of the past future and even dimensions become involved  Thus our heroes long journey is about to begin,74.83047510917547,55.73,62.9,64.03,73.0,111.0,125.0
45,4969,LEGO The Lord of the Rings,"[5, 6, 9, 12, 14, 20, 37, 39, 46]",[31],Based on The Lord of the Rings motion picture trilogy LEGO The Lord of the Rings follows the original storylines of The Lord of the Rings The Fellowship of the Ring The Lord of the Rings The Two Towers and The Lord of the Rings The Return of the King taking players through the epic story events reimagined with the humor and endless variety of LEGO play  Trusted with the dangerous task to destroy an ancient magical ring that threatens all that is good Frodo is forced to leave his peaceful home But the ring wants to be found and the road to Mount Doom the only place where it can be destroyed will be perilous and riddled with Orcs and fouler things  To help Frodo a Fellowship is formed Aragorn the Ranger Gandalf the Wizard Legolas the Elf Gimli the Dwarf Boromir a Man of Gondor and Frodos Hobbit friends Sam Merry and Pippin Players relive the legend through the LEGO minifigures as they explore wonders solve timeless riddles and overcome endless foes in their quest to destroy the Ring,In LEGO The Lord of the Rings the hobbit Frodo is entrusted with a dangerous task to destroy an ancient magical ring that threatens all that is good Join him and his friends as they are forced to leave their peaceful homes in search of guidance and aid But the Ring wants to be foundand the road to Mount Doom the only place where it can be destroyed is riddled with Orcsand fouler things,74.67393084052196,,,,,,
