,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
33,7158,Record of Agarest War,"[9, 12, 34, 39, 130]",HyperDevbox is proud to announce that the massively popular tactical roleplaying game JRPG for home video game consoles Sony PS3 and Microsoft XBOX360 Record of Agarest War English version is now available for Android,"[4, 9, 12, 15, 24, 31]",It was the end of the age of gods An age that ended when the door to oblivion was opened There were five continents in the world of Agarest each one pierced by a great pillar that towered toward the sky These soaring monuments were the gods themselves  The beginning of our story and the end of the age of myth find their start on the continent of Lucrellia when a young man named Leonhardt sacrifices everything even his future and his children to protect an elven girl At deaths door he pledges himself to a contract,85.0,75.47,126.57,168.6,68.0,37.0,40.0
34,2322,Pokémon Mystery Dungeon: Explorers of Darkness,[20],Embark on a journey after you get turned into a Pokémon as a result of a freak accident causing you to lose your memory as well as contact with and knowledge of your previous adventuring partner with whom you were on a secret mission to save the world Watch your story unfold in a dungeon crawling roguelite experience as you form your very own rescue team with a new partner of your choosing,"[16, 31]",Missing,80.44144151323823,,,,,,
35,2646,Namco Museum DS,[20],A collection of Namco classics for the Nintendo DS,[33],Missing,79.0,10.0,0.0,0.0,72.0,6.0,1.0
36,2321,Pokémon Mystery Dungeon: Explorers of Time,[20],Embark on a journey after you get turned into a Pokémon as a result of a freak accident causing you to lose your memory as well as contact with and knowledge of your previous adventuring partner with whom you were on a secret mission to save the world Watch your story unfold in a dungeon crawling roguelite experience as you form your very own rescue team with a new partner of your choosing,"[12, 16, 31]",Missing,77.12401044081214,,,,,,
37,19261,Sonic Rush Adventure,[20],Sonic returns to the DS with all the classic 2D dual screen action of Sonic Rush as well as a new highseas adventure where he clashes with ruthless pirates As Sonic set off from Windmill Village to explore seven islands for actionpacked adventures spread across a large map As you venture youll uncover valuable items and materials that will help Tails build new ships so that Sonic can track down the villainous pirates in a variety of ways,[8],Missing,71.3179856558513,7.02,10.62,12.6,71.0,98.0,59.0
38,7281,Brain Challenge,"[5, 9, 12, 14, 20, 38, 55, 159, 240]",An entertaining brain training program Brain Challenge boosts brain activity and helps players develop stressmanagement skills thanks to a wide variety of games A personal coach helps players develop their abilities in several areas of cognitive function including logic math memory and visual thinking in a fun and entertaining way,[9],Missing,70.0,12.0,18.5,20.0,65.0,2.0,4.0
39,4821,Drawn to Life,"[20, 39]",Drawn to Life is an actionadventure platform video game for the Nintendo DS In the game the player creates their own playable characters level objects and accessories by drawing them using the DSs stylus and Touch Screen The game was ported to iOS by WayForward Technologies and released by 505 Games on May 22 2014  Drawn to Life requires the player to create a hero in order to free a cursed village from an encroaching darkness It features numerous platforming levels a top down central village and other elements such as vehicles weapons and platforms which are drawn or colored by the player using the stylus,"[8, 31]",Missing,63.22912514446745,12.59,14.66,16.23,68.0,59.0,30.0
40,67736,Theta,[20],Missing,[9],Missing,60.0,0.0,5.5,0.0,50.0,1.0,1.0
41,7024,Juiced 2: Hot Import Nights,"[6, 8, 9, 12, 20, 38]",Juiced 2 Hot Import Nights is a racing video game for various platforms The PlayStation 2 Xbox 360 and Nintendo DS versions were released on September 17 2007 The PlayStation Portable version was released on October 8 2007 The PlayStation 3 version was released on October 22 2007 The Microsoft Windows version was released on November 16 2007 It is a sequel to the 2005 game Juiced It was developed by Juice Games and published by THQ It utilizes more advanced car modification methods in comparison to its predecessor  A demo for the Xbox 360 version was released on Xbox Live Marketplace on July 19 2007 A second multiplayer demo appeared on September 14 2007 Ursula Mayes is on the cover of the game on all platforms A Wii version was planned but it was cancelled,[10],Missing,59.48758668547804,16.15,18.82,21.03,62.0,36.0,26.0
42,26544,Tamagotchi Connection: Corner Shop 3,[20],Business is booming in TamaTown and has been so good that over a dozen new shops have just been built Come by and bake some fresh bread at the bakery scoop a cone at the ice cream parlor or help plan a party at the party shop With so many new stores to manage and so many customers to make happy you will need a lot of help Therefore you can partner up with returning favorites Mametchi Kuchipatchi or Memetchi and now you can also join up with Violetchi too  There are over a dozen brand new shops with even more types of shops than ever before Upgrade your shops and combine them to keep customers coming back for more Play fun games and make your customers happy The wildly popular Violetchi will be added as a playable partner Players can now choose to partner with Mametchi Kuchipatchi Memetchi and now Violetchi at any time Swap characters anytime you like too Give your Tamagotchi partners new clothes and presents Create your very own Park a relaxing place to meet your friends and chat with other Tamagotchis Plant a garden and decorate your park with fountains and many other items Come back often so you can see how your park has grown and changed More Tamagotchi appear in Corner Shop 3 than ever before Use the microphone to sing babies to sleep at the Day Care Center blow the dust off of items in the archeology shop and more,[33],Missing,58.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2805,Jackass: The Game,"[8, 20, 38]",Jackass The Game is a video game based on the television series Jackass Play through 35 unique scenarios to virtually experience Jackass stunts too extreme for even their wildest dreams With different modes you can play through the primary campaign mode MTV mode and unlock new content within the game such as new characters and outfits as well as make director cuts and more,"[14, 31]",Missing,54.25870534415937,3.06,5.12,8.0,67.0,21.0,17.0
44,47925,JAM sessions,[20],A guitarplaying Nintendo DS gameThe Nintendo DS touch screen represents a guitars strings and the Dpad  buttons become the fingered chords By strumming on the virtual strings youll play the chord that youve selected on the Dpad The tool recognizes both up and down strums at half and full velocities and youll hear the subtle changes to the chord in the different ways to play them,"[7, 11, 13, 15]",Missing,45.0,,,,,,
45,20765,Prism: Light the Way,[20],Prism Light the Way is a deep and beautifully addicting puzzle game where players are challenged to color the light split the light bounce and bend the light to create the one illuminating pattern that solves all,[9],Missing,43.0,0.0,0.0,0.0,0.0,0.0,0.0
