first_release_date,id,name,platforms,genres,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1213228800,124486,Majin Tantei Nougami Neuro: Neuro to Yako no Bishoku Sanmai,[20],[31],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,124081,The Shouboutai,[20],Missing,The Shouboutai is a Simulation game developed by Tamsoft and published by D3Publisher which was released in Japan in 2008,Missing,Missing,nan,nan,nan,nan,nan,nan
1213660800,123373,Petz: Dogz Fashion,[20],[13],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,123050,Derby Stallion Gold,[37],"[13, 14]",A horse breeding and racing business management simulation game,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,123049,Derby Stallion DS,[20],"[13, 14]",A horse racing simulation game,Missing,Missing,nan,nan,nan,nan,nan,nan
1212624000,85077,Deep Sea Creatures,"[20, 159]",Missing,The mystery of the Deep Sea and its species in the Palm of Your Hands,Missing,Missing,nan,nan,nan,nan,nan,nan
1213920000,84628,My Health Coach: Weight Management,[20],Missing,Developed in Ubisofts Montreal studio under the guidance of both a fitness coach and a nutritionist My Health Coach Weight Management is a new and innovative way to help you maintain a healthy lifestyle and loose weight For the first time on Nintendo DS My Health Coach Weight Management includes an exclusive accessory a pedometer which counts the steps you walk each day,Missing,Missing,nan,nan,nan,nan,nan,nan
1214784000,81426,Journey to the Center of the Earth,[20],Missing,The official video game based on the 2008 movie with the same name,Missing,Missing,6.88,7.9,32.9,57.0,6.0,10.0
1213228800,78729,"CR Shinseiki Evangelion: Shito, Futatabi","[8, 20]",[26],CR Shinseiki Evangelion Shito Futatabi is the twelfth release in the Hisshou Pachinko  PachiSlot Kouryaku series,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,72569,Ookami to Koushinryou: Boku to Horo no Ichinen,[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,69286,Kunitori Zunou Battle: Nobunaga no Yabou,[20],[16],A tactical board game with Japanese historical figure in feudal era,Missing,Missing,nan,nan,nan,nan,nan,nan
