,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
150,[12],153017,Monark: Deluxe Edition,"[48, 130, 167]",Could you face yourself and the threats around you to save the ones you love,Missing,Missing,,,,,,
151,"[9, 31, 32]",152091,Super Dungeon Maker,"[6, 130]",Create  Play the dungeons of your dreams Create and share your very own dungeons then play a nearly infinite number of highly creative trapridden dungeons made by other creators from all over the world,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
152,"[13, 15, 32, 35]",151737,The Hundred Year Kingdom,"[6, 130]",Create a world free of conflict in this innovative turnbased simulation Work together with a mythical young goddess to develop a peaceful civilization over the course of a century,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
153,"[5, 31, 32, 33]",148382,Sol Cresta,"[6, 48, 130]",DOCK SPLIT and FORM UP Pilot three ships and free the solar system from the clutches of evil in this freeform shooting game  PlatinumGames NEOCLASSIC ARCADE series carries on the spirit and fun of classic gaming using modern technology and the first project in this endeavor is Sol Cresta Sol Cresta takes the docking and formation strategies of classic shooting games Moon Cresta and Terra Cresta and elevates them with the freeform docking system The flagship Yamato composed of the ships Amaterasu Tsukuyomi and Susano can utilize various attacks depending on how the three ships are aligned Docking splitting and reforming the ships as needed is the key to defeating the invading armies of Mandler,Missing,Missing,1.36,4.0,0.0,75.0,5.0,6.0
154,"[8, 31, 32, 33]",144028,Grapple Dog,"[6, 130, 169]",Grapple Dog is an exhilarating 2D pixelart platformer Use your awesome grappling hook to clear tricky challenges as Pablo the Grapple Dog Sail across 6 colourful worlds with a crew of fearless adventurers to stop the robotic overlord Nul from destroying the world,Missing,Missing,9.34,11.38,13.55,74.0,27.0,37.0
155,"[8, 31, 32, 33]",142421,Beholgar,"[6, 48, 49, 130]",Beholgar is a classically styled 2D action adventure Explore caverns ancient woods and deadly castles battle creatures and solve ancient mysteries at the kingdom,Missing,Missing,5.88,5.95,7.28,61.0,6.0,7.0
156,"[31, 32]",142037,Know by Heart,"[6, 34, 39, 48, 49, 130]",Childhood friends reunite after spending a long time apart revisiting old memories and rekindling their friendship However something beyond their control will ruin this reunion,Misha the protagonist is stuck in his monotonous deadend job until one day the routine is shattered as his school crush returns to town For the first time in years Misha regains hope of escaping the ennui of his daily life A brief but tumultuous episode of the towns life is interwoven with the story of a gang of childhood friends coming back together Its up to them to journey down memory lanes and rekindle their friendship but their memories of the past and the very bonds between them become threatened,Missing,5.0,5.49,6.46,68.0,21.0,25.0
157,"[8, 9, 31, 32]",139609,Zorya: The Celestial Sisters,"[6, 130]",In this awardwinning cooperative puzzle game play along with a friend as either Aysu or Solveig and help bring back the night in this never sleeping world But be careful you must safely navigate the shadows to solve the increasingly complex puzzles,Stranded on earth Aysu goddess of the night must find her way back to the sky Helped by her sister Solveig goddess of the sun Aysu must safely navigate the shadows to regain her powers that are scattered across the neversleeping lands of Vyraj  Embark on a puzzle filled adventure where you and your partner must prove that you can communicate and collaborate to recover Aysus powers,Missing,0.0,0.0,0.0,0.0,0.0,0.0
158,"[4, 25, 31, 33]",137195,River City Girls Zero,"[6, 48, 49, 130, 167, 169]",River City Girls Zero lets you experience the first time that Misako and Kyoko teamed up with Kunio and Riki to take to the streets in hardhitting curbstomping action While the graphics music and gameplay all remain true to the classic 16bit Super Famicom release this version marks the first time the 1994 game will be localized for the West A new opening cinematic new manga cutscenes and new theme song by River City Girls composer Megan McDuffee have been added as well Set out solo or team up with a friend in local coop and discover how the River City Girls story began,Missing,Missing,3.35,4.19,4.51,51.0,14.0,20.0
159,"[2, 9, 31, 32]",137110,Land of Screens,"[6, 14, 130]",When Hollands social media is lit ablaze by a recent breakup she embarks on a new mission to ditch the social media saturation and discover some realworld relationships among a Land of Screens,Missing,Missing,2.17,2.6,2.9,74.0,6.0,11.0
