,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
45,"[12, 15]",19816,Z.H.P. Unlosing Ranger vs. Darkdeath Evilman,"[6, 38, 130]",Crawl through randomlygenerated dungeons to power up the weakest superhero in the worlds history you and defeat the final boss threatening the Earth Darkdeath Evilman Customize everything imaginable from your stats to your appearance from your secret base to your theme song ZHP will scratch all your RPG itches,Missing,Missing,,,,,,
46,"[9, 15, 31, 32]",16178,Hidden Expedition: Titanic,"[6, 20, 37, 159]",On April 14 1912 the great steamship RMS Titanic struck an iceberg and within hours it sank to the bottom of the Atlantic Ocean As part of the Hidden Expedition Adventure League its your job to explore the wreckage of this oncemajestic ship and collect antique artifacts for the Titanic Museum Through 14 diving missions you will scour 17 locations on the ship for cleverlyhidden clues that will lead you to the ultimate artifact The Crown Jewels Get ready to lose yourself in a historic adventure of epic proportions,Missing,Missing,,,,,,
47,"[9, 31]",16177,Hidden Expedition: Everest,[6],Fresh from a successful exploration of the wreck of the Titanic the Hidden Expedition Club will pit one of its stellar members against a formidable group of opponents in a race to the summit of Everest Other groups will battle you to be the first to summit Mount Everest Expert Everest climber Ed Viesturs will assist you along the way Explore mysteries of the world as you find hidden clues Race to the Roof of the World,Missing,Missing,0.0,0.0,0.0,60.0,1.0,0.0
48,Missing,9366,Wisegal,[6],Take the role of Patty Montanari a real life Mafia mom as she struggles to track down her son from the world of the Wiseguys Follow the clues as they guide you through the Mafia underworld Drawing on the past of a Wisegal you must find objects and piece together evidence to save your family,Missing,Missing,,,,,,
49,"[8, 9, 15, 31]",7526,Super Granny 5,[6],Take an allnew backyard adventure with Super Granny 5 and experience the fun of the fantastic action series Take on over 130 new challenging levels as you run dig and climb to collect kitties and avoid graneating enemies Collect interactive items use helpful powerups and earn special achievements With the free level editor you can even create your very own challenges for neverending fun,Granny relaxes in the yard with her feline friends when out of the depths of the basement her nemesis Dr Meow appears with an evil new scheme He created a powerful shrink ray to turn Granny into a pintsized person Faster than she can say meow mix he zaps her with it and now the diminutive Granny finds herself in a whole new predicament Help Granny journey through the dangerous wilderness of her own backyard and find a way back to normal size,Missing,,,,,,
50,[14],4991,Major League Baseball 2K10,"[5, 6, 8, 9, 12, 38, 46]",Major League Baseball 2K10 or in short MLB 2K10 is an MLB licensed baseball simulation video game published by 2K Sports MLB 2K10 was available for PC Xbox 360 PlayStation 3 PlayStation 2 PlayStation Portable Wii and Nintendo DS The game was released on March 2 2010,Missing,Missing,22.53,0.0,0.0,72.0,6.0,1.0
51,"[15, 16]",2069,Rise of Prussia,[6],Rise of Prussia is a followup to their successful historical strategy games Birth of America American Civil War Napoleons Campaigns and Wars in America Rise of Prussia covers the European campaigns of the Seven Years War 17561763,Missing,Missing,0.0,49.1,0.0,80.0,1.0,1.0
52,[5],353,Battlefield Online,[6],A free to play version of Battlefield 2 and Battlefield 2142 and released specifically for the South Korean market by Neowiz Games EA and DICE,Missing,Missing,,,,,,
53,[31],27857,Assassin's Creed II: Deluxe Edition,"[6, 14, 39]",An epic story of family vengeance and conspiracy set in the pristine yet brutal backdrop of a Renaissance Italy,Missing,94.64251328427463,,,,,,
54,"[25, 31]",27862,Batman: Arkham Asylum - Game of the Year Edition,"[6, 9, 12, 14]",Critically acclaimed Batman Arkham Asylum returns with a remastered Game of the Year Edition featuring 4 extra Challenge Maps The additional Challenge Maps are Crime Alley Scarecrow Nightmare Totally Insane and Nocturnal Hunter both from the Insane Night Map Pack  Utilize the unique FreeFlow combat system to chain together unlimited combos seamlessly and battle with huge groups of The Jokers henchmen in brutal melee brawls  Investigate as Batman the WORLDS GREATEST DETECTIVE by solving intricate puzzles with the help of cutting edge forensic tools including xray scanning fingerprint scans Amido Black spray and a pheromone tracker  Face off against Gothams greatest villains including The Joker HARLEY QUINN POISON IVY and KILLER CROC  Become the Invisible Predator with Batmans fear takedowns and unique vantage point system to move without being seen and hunt enemies  Choose multiple takedown methods including swooping from the sky and smashing through walls  Explore every inch of Arkham Asylum and roam freely on the infamous island presented for the first time ever in its gritty and realistic entirety  Experience what its like to be BATMAN using BATARANGS explosive gel aerosol The Batclaw sonar resonator and the line launcher  Unlock more secrets by completing hidden challenges in the world and develop and customize equipment by earning experience points  Enjoy complete superhero freedom in the environment with the use of Batmans grapnel gun to get to any place you can see jump from any height and glide in any direction,After the Joker assaults Gotham City Hall he is caught by Batman and taken to Arkham Asylum which temporarily houses many members of the Jokers gang who were transferred after a fire at Blackgate Prison Believing the Joker allowed himself to be captured Batman accompanies him into the asylum The Jokers plan is revealed as Harley Quinn takes control of the security and the Joker escapes into the facility aided by a corrupt guard who kidnaps Commissioner Gordon The Joker threatens to detonate bombs hidden around Gotham City if anyone tries to enter Arkham forcing Batman to work alone Tracking Quinn to the medical facility to rescue Gordon Batman is exposed to the Scarecrows fear toxin and hallucinates seeing Gordons death and the corpses of his parents talking to him After fighting off Scarecrow Batman finds and subdues Quinn before rescuing Gordon The Joker then directs Batman to the captured Bane who has been experimented on by asylum doctor Penelope Young The Joker frees Bane and Batman is forced to fight him during which Quinn escapes Afterward he goes to a secret Batcave installation he had hidden on the island where Batman restocks his gadgets  There Batman learns that the Joker returned to the asylum to gain access to Young who has been developing Titana more powerful version of the Venom drug that gives Bane his strengthintending to use it to help patients survive more strenuous therapies Young learned that the Joker had been funding her research to create an army of superhuman henchmen her refusal to hand over the formula precipitated Jokers return to the Asylum While searching for Young Batman is again attacked by Scarecrow and the fear toxin and hallucinates the night of his parents deaths After he recovers Batman destroys Youngs Titan formula and rescues Young from Victor Zsasz An explosion kills Young and the Joker obtains the completed batches of Titan  At the Penitentiary Quinn releases Poison Ivy from her cell before being imprisoned by Batman Quinn accidentally reveals that Joker has a Titan production facility in the Arkham botanical gardens Batman travels there and learns that Titan is created by genetically modified plants He enlists Ivys help to create an antidote and learns that it can only be made from spores found exclusively in Killer Crocs lair in a sewer En route to Croc Batman is again attacked by Scarecrow and overcomes several doses of fear toxin Meanwhile Joker injects Ivy with Titan enhancing her powers Ivy begins ravaging Arkham Island with giant mutant plants Pursued by Batman into Crocs lair Scarecrow is attacked by Croc and dragged underwater Batman recovers the necessary spores and subdues Croc before returning to the Batcave but can only synthesize one dose of the antidote before Ivys plants breach the cave and destroy his equipment  Batman returns to the botanical gardens and defeats Ivy halting the rampaging plants The Joker announces that the preparations for his party are finally complete and Batman travels to the asylums visitor center where the Jokers applauding henchmen welcome him The Joker reveals he has recaptured Gordon and tries to shoot him with a Titanfilled dart Batman leaps to Gordons defense and is shot instead Batman attempts to resist the change and an upset Joker takes an overdose of Titan mutating into a massive monster In a makeshift arena on the buildings roof the Joker challenges Batman to a fight as Titaninduced monsters in front of news helicopters Batman refuses to transform uses the antidote on himself and defeats the Titanaffected Joker and his henchmen knocking his nemesis unconscious with an explosive gelenhanced punch In the aftermath those affected by Titan begin to revert to normal including the Jokerwho is restrained and taken into custody as police officers retake the asylum Batman overhears a call about a crime led by TwoFace in progress and flies back to Gotham City in the Batwing In a postcredits scene a crate of Titan formula is shown floating in the ocean near the asylum when a hand surfaces and grabs it,86.17981463397479,,,,,,
