first_release_date,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
1665792000,[9],222284,Hentai Sexy Nurses,[6],Hentai Sexy Nurses is the simplest 2D puzzle the final goal of which to give you pleasure,Missing,nan,nan,nan,nan,nan,nan
1666051200,[13],222281,O-Sim 22,[6],An orienteering simulator for all runners who want to test their skills digitally and for those who want to try the sport once,Missing,nan,nan,nan,nan,nan,nan
1665878400,[35],222280,Detective Solitaire: The Ghost Agency 2,[6],Do you like solitaire games Do you like to solve mysterious riddles examine clues and catch dangerous criminals or maybe you have always dreamed of joining the Ghost Agency Then this game will not leave you indifferent,Missing,nan,nan,nan,nan,nan,nan
1666137600,Missing,222272,Disney Dreamlight Valley: Scar's Kingdom,"[6, 48, 49, 130, 167, 169]",The first major content update for Disney Dreamlight Valley is here Meet and team up with one of the Pride Lands most wellknown villains Scar to bring back the Sunlit Plateau to a green and vibrant state Open the new Star Path and progress your way through to unlock tons of new cosmetics to help you express your villainous side,Missing,nan,nan,nan,nan,nan,nan
1664928000,"[12, 32]",222092,Dreamspace,[6],DREAMSPACE is a turnbased RPG with low poly graphics along with pixel art reminiscent of a PSX game Battles happen from a frontview perspective with a timed attack system similar to a rhythm game,Missing,nan,nan,nan,nan,nan,nan
1666915200,"[11, 15]",221950,Age of Empires IV: Anniversary Edition,"[6, 49, 169]",This new package includes the base game all updates made to Age of Empires IV since launch including the Anniversary Update and the two new civilizations  the Ottomans and Malians  in one package,Missing,nan,nan,nan,nan,nan,nan
1665878400,[33],221915,Vagalumancer,[6],Theres a little fella that wanders through the darkness of the night a master of luminic magic whose power is sufficient to conquer the evil ones that were brought upon this land The sly firefly called Vagalumancer,Missing,nan,nan,nan,nan,nan,nan
1666310400,"[15, 35]",221860,Fhtagn Simulator,[6],Fhtagn Simulator is a Roguelike card game inspired by deckbuilding games such as Luck be a Landlord Slay the Spire and Monster Train If you dont collect enough spirit within the time limit you will face punishment from the ancient gods resulting in game failure  The world of Cthulhu is chaotic and disorderly so cards always enter the roulette in a chaotic order and each round may produce a different result Except praying there is one way to fight against Chaos and that is to manage the card slots on the roulette With a little change you can maximize value of your cards  During the course of the game you will experience various events as well as obtain various cards powerful mythical monsters humble human sacrifices evil spells and so on In addition to this relics rewarded by the evil gods have the ability to change the game Use them well to get more spirit,Once again you hear whispers in your dreams The slimy voice like that of an inorganic substance chants a long series of obscure syllables The darkness creeps and there is a sight cast from the deepest depths It was the most powerful and unnameable presence The initial fear that was enough to tear your nerves apart has turned into a sweet serenity and you understand your mission at this moment Offer tribute to that great being and wish him to break free from his prison and let chaos come again,0.0,0.0,19.68,0.0,0.0,1.0
1665792000,"[11, 15, 24, 31]",221859,Plants vs. Zombies 2: Reflourished,"[6, 34, 39]",Introducing PvZ 2 Reflourished a PvZ 2 mod that aims to bring back the classic pre2017 feel to PvZ 2 while adding a bunch of new content as well  From humble beginnings this mod started as a remake of the classic Holiday Mashup experience but kept growing and growing until we had a whole new game on our hands With a whole team of modders designers and artists we bring you PvZ 2 Reflourished,Missing,nan,nan,nan,nan,nan,nan
1665100800,"[9, 15, 32]",221852,The Glitched Attraction,[6],Welcome to the new Fazbear Horror Attraction Here you will have to escape from the popular and safe animatronics of the old but improved Fazbear Entertainment Complete the puzzles and get out of the rooms before time runs out,Missing,nan,nan,nan,nan,nan,nan
1665705600,"[2, 9, 31, 32]",221784,Pierre's Adventures in French,[6],Want to improve your French Need a break from flash cards and listening exercises Ready to put what youve already learned into practice Félicitations This is the game for you,So youve learned some basic French And youre ready to be immersed in a French speaking world of adventure Then take control of Pierre as he travels across the kingdom solving puzzles making friends and defeating monsters His journey to save the princess mirrors your journey into learning French  Pierres Adventures in French is designed to be entirely in French with no ingame translations and will be useful regardless of your native language All interface dialogue and narration is in simple French accompanied by carefully designed images and animations to help you understand the game play and objectives  This is not a classroom there are no quizzes or word matching exercises The purpose of this game is to provide a fun but challenging environment for you to practice and learn through immersion Just how we learn our native languages,nan,nan,nan,nan,nan,nan
1666224000,"[31, 32]",221755,Mission In Space,[6],2d space shooter game where need avoid and destroy enemies and big boss,Missing,0.0,0.0,0.0,20.0,1.0,0.0
1666310400,[32],221752,Portal War,[6],Portal War is a classic 2D Tug of War strategy game You need to plan and send correct uncontrollable troops towards the enemies and hope they beat them,Missing,nan,nan,nan,nan,nan,nan
1666569600,[32],221750,The Thing at the Window,[6],You live with your father in the rural American midwest He left you home alone while hes out of town for the weekend and you heard on the radio that theres a large storm heading your way  You live in a rather underdeveloped part of the country so youre off the power grid but fortunately your dads pretty handy and hes wired up your old farmhouse to a gas generator which you moved to the basement to keep it out of the storm The basement smells kind of funny and its really hazy down there but it should be okay for now Theres a big fuel tank outside where you can refill your jerry can and dad refilled it before he left Theres also a big pile of wooden boards out front from when your dad renovated the barn over the summer so you can use those to board up the windows just in case  The storm should be here soon and youre as prepared as you can be but still you feel uneasy somethings not quite right you feel as if somethings lurking out there watching  Your goal is to survive three nights of the Thing trying to force its way into your home by barricading doors and windows The thing really doesnt like light so you can drive it away with your rechargeable flashlight You can also reinforce parts of the house by turning lights on which will slow the things attacks at the cost of draining more power and needing to refill the generator more frequently,Missing,nan,nan,nan,nan,nan,nan
1666224000,"[10, 13, 14, 31]",221690,My Life: Riding Stables 3,"[6, 48, 130, 167]",Put your heart and soul into looking after the wellbeing of your beloved fourlegged friends on a beautiful stud farm which you can expand over the course of the game Climb into the saddle and enjoy challenging training sessions fantastic tournaments,Missing,nan,nan,nan,nan,nan,nan
1665619200,"[15, 31, 32]",221688,Minion Masters: Torment,[6],The Torment DLC is a great 300 value bundle to unleash fire and fury on your enemies including the legendary Crakgul Doomcleaver It also gives you a headstart in this months Season Pass,Missing,nan,nan,nan,nan,nan,nan
1666569600,[32],221684,Chased,[6],Chased is a singleplayer horror game You will have to try to find the exit and proceed to the next upcoming levels But remember you are not alone On every single level there are going to be different entities that will not let you escape by trying to trap and catch you,Missing,nan,nan,nan,nan,nan,nan
1665964800,"[8, 31, 33]",221633,Wojak This Game,[6],Simple rules apply Be a Wojak and stay away from any traps It wont be that simple though Will you be able to get beyond the irksome challenges and terrains that keep appearing in your path,Missing,nan,nan,nan,nan,nan,nan
1664841600,Missing,221632,Overwatch 2: Watchpoint Pack,"[6, 48, 49, 130, 167, 169]",The pack includes the following Overwatch 2 ingame content Season One Premium Battle Pass 7 Legendary skins including 2 allnew Space Raider skins 5 Epic skins 2000 Overwatch Coins and instant access to all 35 Overwatch Heroes  With the Season One Premium Battle Pass you can unlock over 80 Tiers of rewards including Mythic Cyber Demon Genji Legendary Hinotori Kiriko and more In addition as a Season One Premium Battle Pass owner you will automatically receive access to Overwatchs latest hero Kiriko,Missing,nan,nan,nan,nan,nan,nan
1665964800,"[13, 31, 32]",221563,Zombie Apocalypse Survival Simulator,[6],From the creators that brought you The Test Trilogy  many other experiences comes Zombie Apocalypse Survival Simulator Will you survive in the new world Or will you become just another victim to looters bandits or worst of all The Voracious Dead Theres only one way to find out,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1665792000,[32],221562,Hot Pussy College,[6],Hot Pussy College is a choicedriven adult Visual Novel thanks to which you will plunge into the romantic world of students A game filled with humor sex romance and drama awaits you From romantic sex to the most specific kinks Hot Pussy College is sure to satisfy you,Missing,0.0,0.0,0.0,20.0,1.0,0.0
1665878400,"[9, 31]",221561,Big Adventure: Trip to Europe 3 - Collector's Edition,"[6, 48, 130]",Visit 9 European countries and search for interesting items in unforgettable old European towns and play a bunch of new mini games,Missing,nan,nan,nan,nan,nan,nan
