,id,name,platforms,summary,genres,storyline,main,extra,completionist,review_score,review_count,people_polled
463,149839,The Last Town: Excape,[6],The Last Town Is a first person shooter tower defense strategy survival in one of the independent gameUsing equipment to resist the corpses more than 20 guns accessories consumables mountable defenses were designed for the game and a real physics engine was used to simulate reality,"[15, 31, 32]",Missing,,,,,,
464,149836,Armored Xpress,[6],Armored Xpress is a new unique storydriven Match 3 game built with rich RPG elements and an ATB battle system,"[15, 31, 32]",Missing,,,,,,
465,149834,Fate of Dynasty,[6],A short lore exploration puzzle game inspired by walking simulators such as Gone Home Dear Esther and Layers of Fear,"[31, 32]",Missing,,,,,,
466,149807,Space Ape,[6],How far can you take Dimitri the Russian Space Ape on his arcade adventure,[32],Missing,,,,,,
467,149786,Hmmsim Metro,[6],Line 1 the most complicated subway in Seoul is now coming in PC version You can feel high immersion with the graphics that realize the actual Seoul scenery the train driving sound and the realistic train driving system Experience the operation of the Seoul subway,"[10, 13, 32]",Missing,,,,,,
468,149777,Village Defender,[6],Village Defender is a 2D game in which the player fights off waves of enemies raises a level that improves health and damage power accumulates mana and uses a special skill,[32],Missing,,,,,,
469,149755,Endless Furry Ping-Pong,[6],Welcome to Endless Furry PingPong The 7th installment of the Endless Furry Series This game is a simple recreation of the classic Pong game but with a furry twist,[32],Missing,,,,,,
470,149694,Bomb Escape,[6],Bomb Escape is a game of skill and reflex Avoid everything and prove that you will have the best time in the arena,"[31, 32]",Missing,,,,,,
471,149678,Easter Riddles,[6],A game and a brain teaser in one The new Easter Riddles is a great way to spend an evening improving your mind,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
472,149655,Frogiee,[6],Frogiee is a fast precisionbased platformer where the main character is Mr Frogiee Climb the three mountains and kill the sick and evil frogs,[32],Missing,,,,,,
473,149628,Roads of Time 2: Odyssey,"[6, 48, 49]",Roads of Time is a fun strategy game all about adventure and historical discoveries Save history from collapsing in time,[15],Missing,,,,,,
474,149605,Robot Start: Puzzle Game,[6],In this puzzle game play as an agile robot whose duty is to turn on the facility computers,"[15, 32]",Missing,,,,,,
475,149603,Retro Clicker,[6],Retro Clicker  A beautiful retro clicker with a huge variety of monsters The player hires various units for the knocked out gold and goes through an endless world of levels,[32],Missing,,,,,,
476,149602,Ultima Adventum,[6],It lies upon the shoulders of Alana and other three Arises fated individuals to stop the plague that is to come Through the darkest dungeons and longest journeys they must build the courage and power to save their world,[32],Missing,0.0,0.0,0.0,0.0,0.0,0.0
