first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1041292800,138295,Ghost 'n Goblins Exceed,[6],Ghost n Goblins Exceed is a freeware remake of the classical Capcom game You are an angry little mouse that defeats enemies by setting bombs or simple jump over them The game features four different stages with end bosses and different themes,[33],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,137029,Tonka Search & Rescue 2,"[6, 14]",Save the day the Tonka way in firepolice water and mountain rescues Product Information Join the ranks of brave police officers firefighters and rescue workers in exciting search and rescue missions Tonka Joe needs a tough hero like you to answer the call to fight forest fires break up traffic jams save people stranded by floods and rescue boats lost in a stormThe game begins at the dispatch center where Tonka Joe explains about the missions and general play There are four areas to explore the Fire StationPolice Department Mountain Rescue Station and Water Rescue Station Each of these has three missions and also features activities The missions involve rescuing stranded animals and people moving hazards clearing roads and constructing protective buildings Kids will know they have a mission to attend to when a siren goes off on one of the stations in a random fashion and will need to click on that building to participate,"[13, 31]",Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1039651200,136413,TipTop,[6],Its hip daddyo Are you a fan of puzzle games and Vegas fiftiesstyle fruit machines Then TipTop is right up your alley    Match and clear all the slots use magnets pull a column up anvils push a column down Jokers Dynamite and Color Bombs get rid of various items bombs and other special blocks to score crazy combos but dont break the bank    Its a blast,"[9, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,135810,SpongeBob SquarePants Saves the Krusty Krab,[6],Plankton has stolen all the Krusty Krabs Krabby Patties and littered them all over the ocean floor Mr Krabs is terrified Can SpongeBob collect all the Krabby Patties before opening time and save the Krusty Krab,[8],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,135500,Show do Milhão Júnior,[6],Missing,[26],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,134753,Atomica,[6],A puzzle game by PopCap released in 2004 in which you combine atoms in groups of four to form molecules,[9],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,124974,The Nations: Gold Edition,[6],The Nations Gold Edition contains a number of new features and changes including 22 new missions a new story more music and new video sequences A new research system has been Implemented vile bandits have been added and the game has been finetuned including trade production chains and unit strengths with the main of making it more balanced,"[11, 15, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,123615,Funny Pizza Land,[6],Funny Pizza Land is a dark and surreal adventure game in which a pizzeria owner named Pedro seeks the infamous GlobalMediaMonster,"[31, 32]",Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1041292800,122950,StarFlyers: Royal Jewel Rescue,"[6, 14]",Zoom off with the StarFlyers and see how this dilemma turns into an amazing outerspace mission to rescue the Royal Jewels Explore wacky planets Solve puzzles to find the Jewels Use quickthinking and logicalreasoning skills to uncover clues and earn valuable galaxy seeds Reward yourself by trading galaxy seeds for astroprizes  fun animations and printable activities The Citizens of Planet PopALot are counting on you,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,122219,Ollo in the Sunny Valley Fair,[6],This preschooler title is done in a form of painted backgrounds with either 3D or clay characters and items The interface even looks like clay While the main character does not talk the game includes an offscreen narrator Most other characters do talk however    Like most kids adventure games there are things to click on but this game has more of an undercurrent of trying to teach and encourages exploring by the acquiring of marbles to play a pachinko game,"[2, 9]",Missing,Missing,nan,nan,nan,nan,nan,nan
