,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
214,35272,Lilly and Sasha: Nexus of Souls,[6],Zahhak has Sashas body and is going to use it to claim the powers of the Immortals Lilly has vowed to stop Zahhak at whatever cost even if she has to kill her own sister to do it    Continue your journey from Curse of the Immortals with new puzzles new skills runes and trinkets new characters and 10 new pets two of which can join you in battle at the same time,"[12, 15, 32]",Missing,70.0,17.0,0.0,19.0,70.0,1.0,2.0
215,35235,8-Bit Adventures: The Forgotten Journey - Remastered Edition,[6],8Bit Adventures The Forgotten Journey Remastered Edition is a retrostyled JRPG with polish and personality that focuses less on references and more on telling a story,"[12, 31, 32]",Missing,70.0,,,,,,
216,34985,Bloo Kid 2,"[6, 37, 130]",Bloo Kid 2 is a classic 2D retrostyle platformer experience with lovely designed pixelgraphics and a full chiptune soundtrack Run jump and swim your way through five huge worlds with twelve levels each Master brutal bossfights and discover lots of secrets in the world of Bloo Kid 2,"[8, 31, 32]",Missing,70.0,3.06,5.5,25.0,48.0,4.0,6.0
217,34881,The Last Warlock,"[3, 6, 14, 39]",The Last Warlock is a turn based strategy and roleplaying game set in a colorful voxel world Engage in Quests summon monsters cast spells and battle enemy Warlocks Compete with friends or strangers in multiplayer mode Become the Last Warlock,"[12, 15, 32]",Missing,70.0,0.0,0.0,0.0,0.0,0.0,0.0
218,34559,Shapes of Gray,"[6, 14, 41]",Shapes of Gray is a strippeddown actionarcade game about rapidly descending through a series of secondslong levels each one containing a unique combatpuzzle microchallenge Turn your enemies against each other to get the high score and unlock the secrets of a tiny enigmatic world,[32],Missing,70.0,0.0,0.0,0.0,0.0,0.0,0.0
219,34495,Nubs' Adventure,"[3, 6, 14, 34, 39]",Nubs Adventure is platforming action and exploration combined with an intriguing story and a vast world to explore,"[8, 31, 32]",Missing,70.0,,,,,,
220,28362,Wyrmsun,"[3, 6]",Wyrmsun is a realtime strategy game which features elements of mythology history and fiction,"[11, 15, 31, 32]",Missing,70.0,0.0,0.0,0.0,0.0,0.0,0.0
221,27264,Rituals,"[3, 6, 14]",Rituals is a 3D puzzleexplorationadventure about the relation between civilisation and nature It aims to be a gripping memorable and meaningful experience with story told through gameplay and interaction,"[31, 32]",Missing,70.0,0.92,1.07,1.17,46.0,21.0,76.0
222,25845,Teddy Terror,[6],Teddy Terror is a 2D horror survival with a challenging passiveaggressive gameplay where using your environment is crucial for survival   In Teddy Terror you take on the role of a little boy with his Teddybear who wakes up in a nightmare   With your surroundings as your weapons your goal is to Survive the nightmarish world and escape from tongue spitting eyeball creatures horrifiying bosses and hordes of unimaginable abominations,"[12, 31, 32]",Missing,70.0,0.0,0.0,0.0,0.0,0.0,0.0
223,24593,Vortex Attack,[6],Vortex Attack is a frenetic arcade space shooter featuring worldwide tournaments and an intense local multiplayer mode A worthy successor to Galaga for the XXI century  WARNING Highly addictive,[32],Missing,70.0,0.0,10.28,0.0,0.0,0.0,1.0
