,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
28,"[5, 31]",8254,Resident Evil,"[6, 9, 12, 48, 49, 130]",The hugely popular Resident Evil series returns to its roots with a remastered version of the critically acclaimed masterpiece Resident Evil The story takes place in Raccoon City players will choose to take on the role of either STARS Special Tactics and Rescue Service team member Chris Redfield or Jill Valentine who have been sent into the city to find the missing Bravo team When the team is suddenly attacked by a ferocious group of mutated dogs desperate for an escape they take shelter in the Mansion but will they ever get out alive again Players will need to be brave as they adventure through the dark enclosed spaces searching out the horrors that await them With limited ammo and survival items available gamers will need to keep their wits about them to survive the various traps and puzzles that greet them at every stage,On July 24 1998 a series of bizarre murders occur on the outskirts of the Midwestern town of Raccoon City The Raccoon City Police Departments Special Tactics And Rescue Service STARS are assigned to investigate After contact with Bravo Team is lost Alpha Team is sent to investigate their disappearance Alpha Team locates Bravo Teams crashed helicopter and land at the site where they are attacked by a pack of monstrous dogs killing one of the team After Alpha Teams helicopter pilot Brad Vickers panics and takes off alone the remaining members Chris Redfield Jill Valentine Albert Wesker and Barry Burton seek refuge in an abandoned mansion where they split up  The player character Chris or Jill finds several members of Bravo Team including Kenneth J Sullivan being eaten by a zombie Richard Aiken who is either killed by a giant venomous snake or eaten by a shark Forest Speyer who is found dead and revived as a zombie and Bravo Team leader Enrico Marini who reveals that one of Alpha Teams members is a traitor before being killed by an unseen shooter Bravo Team survivor Rebecca Chambers joins Chris The player character learns that a series of illegal experiments were undertaken by a clandestine research team under the authority of a biomedical company Umbrella Corporation The creatures roaming the mansion and its surrounding areas are the results of these experiments which have exposed the mansions personnel and animals to a highly contagious and mutagenic biological agent known as the Tvirus  The player character discovers a secret underground laboratory containing Umbrellas experiments There they find Jill or Chris in a cell and encounter Wesker programming a Tyrant a humanoid bioweapon Wesker reveals that he is a double agent working for Umbrella and plans to use the Tyrant to kill the STARS members In the ensuing confrontation Wesker is apparently killed and the player character defeats the Tyrant After activating the labs selfdestruct system the player character reaches the heliport and contacts Brad for extraction The ending changes depending on the players actions at key points in the best ending the surviving team members escape by helicopter after defeating the Tyrant again in the worst ending the mansion remains intact and the player character is the sole survivor,87.66391349358102,11.25,13.38,20.54,87.0,427.0,351.0
29,"[5, 9, 12, 31, 32, 33]",7789,The Binding of Isaac: Rebirth,"[3, 6, 14, 37, 39, 41, 46, 48, 49, 137]",The Binding of Isaac Rebirth is a top down procedurallygenerated roguelike game remade based on the original game The Binding of Isaac You play as Isaac a little boy who is chased to the basement by his mother who intends to kill Isaac for her savior You explore different levels collect items and try to defeat your mother and whatever other evil awaits you If you die you restart with none of your items you collected and you must explore the basement and beyond again,Missing,87.2651588224773,5.33,88.64,298.79,85.0,620.0,503.0
30,[5],7348,Halo: The Master Chief Collection,"[6, 49, 169]",The improved and enhanced Halo The Master Chief Collection features visual enhancements with up to 4K UHD resolution improved matchmaking offline LAN customizable installation options and faster load times its the definitive way to experience the ultimate Halo saga Includes the extensive suite of campaign multiplayer and additional features from Halo Combat Evolved Anniversary Halo 2 Anniversary Halo 3 and Halo 4  all updated to run at 60FPS,Halo The Master Chief Collection includes Halo 2 Anniversary celebrating the 10 year anniversary of the iconic fan favorite The campaign features a Classic Mode to instantly switch between the remastered nextgen graphics and original game updated sound effects and completely new cutscenes created by Blur Studios Discover new story elements with extended cut scenes hidden terminal videos and uncover clues about the story of Halo 5 Guardians Utilize gamealtering Skulls to experience the campaign in a whole new way For multiplayer you have access to all of the original multiplayer maps from Halo 2 and Halo 2 Vista included exactly as you remember them Play on fan favorites including Ivory Tower Ascension and Lockout plus 6 completely reimagined maps that take full advantage of the capabilities of the Xbox One,86.08753283577823,43.19,68.57,248.79,86.0,518.0,487.0
31,"[2, 9, 31]",6707,Tales from the Borderlands,"[6, 9, 12, 14, 34, 39, 48, 49, 130]",Tales from the Borderlands is a five part episodic game series Set on the unforgiving world of Pandora after the events seen in Borderlands 2 this is a story full of Borderlands trademark humor following two adventurers on their quest for greatness,Youll play as Rhys a Hyperion suit with dreams of being the next Handsome Jack and Fiona a Pandoran con artist looking to score her biggest ever swindle Thrown together as unwilling partners in an adventure to recover cash they both think is theirs their journey will take you on a wild ride where gangsters bandit lords and Vault Hunters are just some of the obstacles youll encounter in this new take on the awardwinning universe created by Gearbox Software,85.58487079174627,10.58,11.06,11.56,83.0,1091.0,1404.0
32,"[5, 33]",7705,Geometry Wars 3: Dimensions,"[3, 6, 9, 12, 14, 46, 48, 49]",Enjoy the next chapter in the awardwinning Geometry Wars franchise and battle through waves of enemies on 3D grids in this frenetic arcade shooter The game has over 50 single player levels including Adventure and Classic Arcade modes 3D grids and over 10 battle modes and 4 unique companion drones Enjoy both cooperative and Online Competitive Multiplayer modes,Experience the full evolution of the awardwinning Geometry Wars franchise and battle through waves of enemies on 3D grids in this frenetic arcade shooter  Geometry Wars 3 Dimensions Evolved includes all of the great content  features from Geometry Wars 3 Dimensions and more  Over 100 total levels including 40 allnew  Classic game modes in stunning HD  15 3D grids including 5 allnew and 12 battle modes including Pacifism King Claustrophobia and 4 allnew modes  6 unique companion drones including Attack Collect Ram Snipe Defend and the allnew Sweep drone  New Hardcore mode for Geometry Wars purists with no drones or supers and a separate leaderboard  Cooperative and Online Competitive Multiplayer modes  Community and Friend Leaderboards,84.78734926032674,,,,,,
33,[5],125009,Halo 2: Anniversary,"[6, 49, 169]",Experience the impeccably remastered edition of the original Halo 2 game Following the destruction of Halo humankind experiences a shortlived victory Eager for revenge the Covenant launches a surprise attack on Earth but they find themselves illprepared to defeat the UNSCs home fleet and are forced to flee into slipspace When the Master Chief pursues his overzealous enemies they discover yet another Halo ring uncovering longburied secrets including an unlikely ally that will dramatically alter the course of the HumanCovenant Conflict forever  Game Features  PC SettingsOptimizations Halo 2 Anniversary is now optimized for PC and looking better than ever at up to 4k UHD and at 60 FPS Other PC native settings include customizable mouse and keyboard support ultrawide support FOV customization and more  Campaign Experience the next chapter in the Halo saga and fight your way through 15 unforgettable missions Play as both Spartan117 the Master Chief and for the first time the Covenant Elite known as the Arbiter and experience the HumanCovenant Conflict in a whole new way  Anniversary EditionUpdate Toggle between the remastered graphics in the Anniversary edition and the graphics from the original Halo 2 campaign In the Anniversary edition view Blur Studios spectacularly remastered cutscenes from the original Halo 2 game  Multiplayer Continue your Halo adventure with 7 remastered multiplayer maps from Halo 2 Anniversary and 25 multiplayer maps from the original Halo 2 featuring a completely updated progression system,Missing,84.29373640480625,8.23,10.42,15.49,80.0,634.0,627.0
34,"[12, 24, 31]",1887,Dragon Age: Inquisition,"[6, 9, 12, 48, 49]",Dragon Age Inquisition is a roleplaying game and the third main game in the Dragon Age series It is set in the Thedas continent the same fantasy world as the two previous games It consist of two large countries Ferelden from Dragon Age Origins and Orlais as well as the land inbetween  True to the spirit of the series the character can be customized for appearance sex class and race The available races are dwarf elf human and Qunari and the classes are mage rogue and warrior with three specializations each To grow the Inquisition experience needs to be earned by completing quests which allows the player to further define allegiances and pursue romances  A custom party can be defined and each member benefits from experience as it opens up access to better weapons and more abilities Power points open up new areas and Inquisition points define the influence over the region each new level provides a perk that benefits the entire Inquisition,A cataclysmic event has plunged the land of Thedas into turmoil Dragons now darken the sky casting a shadow of terror over a oncepeaceful kingdom Mages have broken into an allout war against the oppressive Templars Nations rise against one another It falls to you to restore order as you lead the Inquisition and hunt down the agents of chaos  your choices will forever change the Dragon Age,82.9234358037331,46.64,87.44,128.07,81.0,1284.0,2263.0
35,"[13, 15, 31, 32]",7706,This War of Mine,"[3, 6, 14, 34, 39, 48, 49]",In This War Of Mine you do not play as an elite soldier rather a group of civilians trying to survive in a besieged city struggling with lack of food medicine and constant danger from snipers and hostile scavengers The game provides an experience of war seen from an entirely new angle  The pace of This War of Mine is imposed by the day and night cycle During the day snipers outside stop you from leaving your refuge so you need to focus on maintaining your hideout crafting trading and taking care of your survivors At night take one of your civilians on a mission to scavenge through a set of unique locations for items that will help you stay alive  Make lifeanddeath decisions driven by your conscience Try to protect everybody from your shelter or sacrifice some of them for longerterm survival During war there are no good or bad decisions there is only survival The sooner you realize that the better,Missing,80.7513588426385,11.06,19.01,38.28,78.0,391.0,378.0
36,[5],86667,Call of Duty: Advanced Warfare - Digital Pro Edition,"[48, 49]",Call of Duty Advanced Warfare envisions the powerful battlegrounds of the future where both technology and tactic have evolved to usher in a new era of combat Delivering a stunning performance Academy Award winning actor Kevin Spacey stars as Jonathan Irons  one of the most powerful men in the world  shaping this chilling vision of the future of war  The Call of Duty Advanced Warfare Digital Pro Edition includes two custom weapons and the Advanced Arsenal custom exoskeleton and EM1 Quantum directed energy weapon Also included are the Call of Duty Advanced Warfare Season Pass the Atlas Gorge Bonus MP Map the Atlas Digital Content Pack and the Digital Edition Personalization Pack,Missing,80.0,,,,,,
37,[14],20312,Shape Up,[49],Exclusive to Xbox One Shape Up combines a foundation of proven fitness methods with entertaining and rewarding workout routines displayed in a unique arcade style Each of the three game modes keeps players engaged and motivated with quirky pointsdriven fitness challenges  Using the Kinect camera players will have a head to toe image of themselves projected into the game which will aid in keeping track of their workouts and calories burned each session The innovative online mode uses rePLAY technology to push gamers to never work out alone  Shape Up is set to revolutionize fitness games by proving that the more fun you have while working out the longer youll stick with it to achieve better results,Missing,80.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"[8, 12, 31, 32]",8596,Elliot Quest,"[3, 6, 37, 41, 48, 49, 130]",Elliot Quest is an adventureRPG where players explore the mysterious Urele island in search of an ancient demon With 5 dungeons to conquer 16 bosses to defeat and countless treasures to discover and hidden areas Wellbalanced gameplay easy to pick up but challenging to master,Missing,79.0,13.8,16.9,19.75,68.0,16.0,17.0
39,"[5, 24, 31]",6801,Far Cry 4,"[6, 9, 12, 48, 49, 170]",In Far Cry 4 players find themselves in Kyrat a wild region of the Himalayas struggling under the regime of a despotic selfappointed king Using a vast array of weapons vehicles and animals players will write their own story across an exotic openworld landscape,Missing,76.4927976726982,17.66,31.27,46.44,76.0,1889.0,2627.0
40,"[9, 12, 15, 31]",9531,Gems of War,"[6, 34, 39, 48, 49, 130]",From the creators of Puzzle Quest play the new PuzzleRPGStrategy mashup GEMS OF WAR Match gems to power your spells and match skulls to smite your enemies Its easy to learn yet has tons of depth,Missing,75.86976828179186,91.15,139.38,3000.0,63.0,18.0,9.0
41,[9],8194,Tetris Ultimate,"[6, 37, 46, 48, 49]",Tetris Ultimate has six exciting modes fun new features and unique visuals the evolution of this iconic game is the ultimate musthave on nextgen consoles,Missing,75.02878559181408,0.78,0.0,40.0,65.0,17.0,4.0
42,[31],20308,Rabbids Invasion: The Interactive TV Show,"[12, 48, 49]",Rabbids Invasion the kids hit animated TV show is now an interactive game on PlayStation 4 With motion gameplay kids can now play in their living room with a selection of episodes from the TV show Through fun silly challenges players have an outrageous time with family and friends and experience the Rabbids Invasion TV show in a brand new way,Missing,75.0,,,,,,
43,"[12, 31]",7570,Assassin's Creed Rogue,"[6, 9, 12, 130]",1751 North America Amidst the chaos and violence of the French and Indian War Shay Patrick Cormac a fearless young member of the Assassins order undergoes a dark transformation that will shape the future of the brotherhood forever After arguing over a dangerous mission gone tragically wrong Shay is betrayed by the Assassins who attempt to end his life Cast aside by those he once called brothers Shay sets out on a mission to wipe out all who turned against him and ultimately become the most feared Assassin hunter in history Introducing Assassins Creed Rogue the darkest chapter in the Assassins Creed franchise yet As Shay you will experience the slow transformation from Assassin to Assassin Hunter Follow your own creed and set off on an extraordinary journey through New York City the wild river valley and far away to the icy cold waters of the North Atlantic in pursuit of your ultimate goal to bring down the Assassins,Amid the chaos and violence of the French and Indian War Shay Patrick Cormac a fearless young member of the Assassin Brotherhood undergoes a dark transformation that will forever shape the future of the colonies As Shay you will experience the slow transformation from Assassin to Assassin hunter and use all your skills to take down those you once called brothers,72.81099034876621,10.58,22.38,39.21,73.0,1017.0,1392.0
44,[5],6632,Call of Duty: Advanced Warfare,"[6, 9, 12, 48, 49]",Call of Duty Advanced Warfare envisions the powerful battlegrounds of the future where both technology and tactic have evolved to usher in a new era of combat for the franchise Delivering a stunning performance Academy Award winning actor Kevin Spacey stars as Jonathan Irons  one of the most powerful men in the world  shaping this chilling vision of the future of war,Missing,71.90004558881598,7.12,9.89,17.55,69.0,981.0,1001.0
45,"[8, 9, 31]",7685,LEGO Batman 3: Beyond Gotham,"[6, 9, 12, 14, 34, 37, 39, 41, 46, 48, 49]",The Caped Crusader joins forces with the super heroes of the DC Comics universe and blasts off to outer space to stop the evil Brainiac from destroying Earth,In LEGO Batman 3 Beyond Gotham the Caped Crusader joins forces with the super heroes of the DC Comics Universe and blasts off to outer space to stop the evil Brainiac from destroying Earth Using the power of the Lantern Rings Brainiac shrinks worlds to add to his twisted collection of miniature cities from across the universe Now the greatest super heroes and the most cunning villains must unite and journey to different Lantern Worlds to collect the Lantern Rings and stop Brainiac before its too late,71.72259426304632,10.33,20.2,37.08,71.0,302.0,447.0
46,"[12, 31]",5606,Assassin's Creed Unity,"[6, 48, 49, 170]",Paris 1789 The French Revolution turns a oncemagnificent city into a place of terror and chaos Its cobblestoned streets run red with the blood of commoners who dare to rise up against an oppressive aristocracy Yet as the nation tears itself apart a young man named Arno will embark upon an extraordinary journey to expose the true powers behind the Revolution His pursuit will throw him into the middle of a ruthless struggle for the fate of a nation and transform him into a true Master Assassin,Missing,71.64960964764745,17.18,35.04,78.89,69.0,1577.0,1815.0
47,"[11, 15, 32]",41496,Kingdom Rush Origins,"[3, 6, 14, 34, 39, 49, 130]",The third installment in the popular tower defense series Kingdom Rush,Missing,71.03513144720914,8.06,13.17,34.04,79.0,50.0,65.0
48,"[8, 9, 31, 32]",7618,Never Alone: Kisima Ingitchuna,"[3, 6, 9, 14, 34, 39, 41, 48, 49]",Never Alone Kisima Ingitchuna is an atmospheric puzzle platformer and the first game to be developed in collaboration with the Iñupiat an Alaska Native people drawn from a traditional story that has been shared across the generations Nearly 40 Alaska Native elders storytellers and community members contributed to the development of the game  It features two characters and it can be played in singleplayer mode or play cooperatively with a friend as you trek through frozen tundra leap across treacherous ice floes swim through underwater caverns and face enemies both strange and familiar  Youll explore aweinspiring environments perform heroic deeds and meet legendary characters from Iñupiaq stories  all narrated by a master storyteller in the spoken Iñupiaq language,Experience the epic journey of a young Iñupiat girl Nuna and an Arctic Fox as they set out to find the source of the eternal blizzard which threatens the survival of everything they have ever known,70.23298742224141,,,,,,
49,"[15, 25]",13669,Dynasty Warriors 8: Empires,"[6, 9, 46, 48, 49, 130]",Dynasty Warriors 8 Empires is the second expansion of Dynasty Warriors 8 An additional PlayStation Vita port which includes all previously released DLC has also been announced to be released Like previous Empires expansions focuses more on strategical and tactical battle system It allows players to modify the player forces flags horses and soldiers as well as featuring largescale strategems enhanced from Dynasty Warriors 7 Empires In addition to the marriage system players officers can have children with their spouses A new playable character Xun Yu was also added in Empires,Missing,70.10375990328748,10.56,29.0,88.0,70.0,21.0,15.0
50,"[9, 14, 33]",20305,Boom Ball for Kinect,[49],A fullbody Kinect game that mixes tennis Breakout and gratuitous explosions,Missing,70.0,0.0,0.0,0.0,0.0,0.0,0.0
51,"[13, 14]",8566,Pro Evolution Soccer 2015,"[6, 9, 12, 48, 49]",PES 2015 is centered on the mantra the pitch is ours Through the combined efforts of the Tokyo and Windsorbased PES Productions team the heartthumping and nailbiting moments of topflight football have been perfectly recreated PES 2015 sees a true return to core PES values of total control super responsive controls and renowned gameplay where the user has unrestricted control over how they play KONAMI has completely reworked a raft of key elements to ensure every pass shot or offtheball run is finely balanced to give maximum player satisfaction within PES 2015s onfield action,Missing,69.61282718604637,47.47,121.12,186.25,75.0,23.0,16.0
52,"[9, 15, 26, 32]",11529,The Jackbox Party Pack,"[3, 6, 9, 12, 14, 34, 39, 48, 49, 130, 132]",The team behind You Dont Know Jack presents five guffawinducing party games in one pack Youre gonna need more than one party for this Your phones or tablets are your controllers For 1100 players Games include  You Dont Know Jack 2015 the trivia comedy sensation with hundreds of allnew questions 14 players  Fibbage XL the hilarious bluffing game with over 50 more questions added to the original hit game Fibbage 28 players  Drawful the bizarre drawing gameyou draw right there on your phone or tablet very littleno real skill required 38 players  Word Spud the racyasyouwanttobe fillintheblank word game 28 players  The wackyfactfilled Lie Swatter 1100 players,Missing,64.18077187866695,3.46,4.58,8.33,70.0,44.0,24.0
