,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
15,125466,Ambition Record,"[6, 34, 39, 48, 49, 130, 167, 169]","[12, 31]",Raise the song of victory in a fantasy RPG and experience true dragon power,The count who rules the northern part of the kingdom has used forbidden secret arts and raised the flag of rebellion against his king  Rafael takes up his sword on the orders of the king to suppress the revolt But then the chancellor who should be at the core of the kings court starts to act in an incomprehensible way Beliefs and ambition clash fiercely in the unexpected twists and turns of battle  Fortify characters with the power of the dragons to fight turnbased battles Create your own party by exploiting the job change system and customizing weapons and armor as you like,Missing,11.0,15.0,23.0,0.0,0.0,3.0
16,119131,Mortal Kombat 11: Shao Kahn,"[6, 48, 49, 130, 170, 203]",[4],Emperor of Outworld For millennia Shao Kahn dominated the realms rapidly expanding his Empire by conquest But when he set out to claim Earthrealm he was blocked by the rules of Mortal Kombat Deterred but determined Shao Kahn demands absolute victory  The Shao Kahn DLC was included as a preorder bonus for the game and its premium edition,Missing,Missing,,,,,,
17,119130,Mortal Kombat 11: Frost,"[6, 48, 49, 130, 170, 203]",[4],You can earn Frost ingame for free as a playable character by completing Chapter 4 of the Story Mode You can also purchase Frost immediately  Grandmaster SubZeros most dangerous apprentice When SubZero made historic peace with his clans enemy Scorpion defiant Frost challenged her Grandmaster as unfit to lead SubZero defeated and banished Frost For years she sought the power to destroy him Now she has it,Missing,Missing,,,,,,
18,119068,Deponia Collection,"[48, 49, 130]","[2, 9, 31, 32]",Deponia Collection is a bundle that contains all four games from the series   Deponia  Chaos on Deponia  Goodbye Deponia  Deponia Doomsday,Nothing but junk  As far as the eye can see Rufuss homeworld Deponia is a planetsized junkyard When the beautiful Elysian girl Goal falls into his arms  quite literally  Rufuss dream to leave Deponia seems to be within arms reach as well  Accompany Rufus on his crazy adventure and the most bizarre love story in videogame history Only after surviving wild chases building insane gadgets and with a dash of heroism you can overcome this journey,Missing,0.0,40.0,0.0,0.0,0.0,1.0
19,118973,Mutant Football League: Dynasty Edition DLC Pack,"[48, 49]","[14, 33]",Missing,Missing,Missing,,,,,,
20,118730,Mortal Kombat 11: Premium Edition,"[6, 48, 49, 130, 170, 203]",[4],Mortal Kombat 11 is the latest installment in the critically acclaimed franchise providing a deeper and more personalized experience than ever before  The Mortal Kombat 11 Premium Edition includes  Main Game  Kombat Pack  The Kombat Pack includes  6 new DLC playable characters released over time  7 exclusive Character Skins  7 exclusive sets of gear  The physical Premium Edition had a steelbook case and came with a download code for the Kombat Pack This edition was removed from purchase on digital stores after the announcement of the Aftermath expansion A new edition Mortal Kombat 11 Aftermath Kollection and bundle Mortal Kombat 11 Aftermath  Kombat Pack seem to be the direct replacements,Missing,Missing,,,,,,
21,118547,Call of Duty: Black Ops 4 - Spectre Rising Edition,"[6, 48, 49]",[5],Operation Spectre Rising is the fourth Operation within Call of Duty Black Ops 4 It reintroduces Spectre from Call of Duty Black Ops III and adds characters Sarah Hall Sergei Kozin Danny Blackjack Li and the 2025 version of Frank Woods to Blackout,Missing,Missing,,,,,,
22,118515,Flutter Bombs,"[6, 48, 49]","[5, 32, 33]",Experience natures wrath in this top down twin stick shooter Command up to 10 different wingsets each with a unique bombing tactic Unleash fury with powerful weapon upgrades Defend your grove with Flutter Bombs,Missing,Missing,2.2,0.0,0.0,60.0,1.0,1.0
23,117968,SlabWell,"[48, 49, 130]","[9, 31]",Somewhere deep in the Amazon jungle lies the finest treasure mankind has ever crafted The Jade Alpaca Professional thief duo Sam and Jacky head off on an adventure to recover the mythical artifact determined to solve the riddles and overcome the challenges that have kept it safe through centuries,Missing,Missing,,,,,,
24,117932,Bird Game +,"[48, 49, 130]","[13, 31, 33]",In Bird Game a third person flying adventure by Bryan Tabor a very special adventure awaits you  Featuring a black and white 3D art style Bird Game  has you guide a majestic bird through a detailed world that grows all around you full of challenging obstacles hostile enemies and punishing bosses Complete with a serene soundtrack a difficult yet relaxing adventure awaits all those who wish to be one with nature In addition to the games 3 main levels there is an endless mode for players who seek to fly as long as they can through a wondrous illustrated landscape,Missing,Missing,,,,,,
