,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
10,"[8, 9, 31, 32, 33]",32969,Ghost 1.0,"[6, 48, 49, 130]",Missing,A mysterious agent capable of becoming a digital ghost sneaks aboard the Nakamura Space Station This is where the fun begins the station is wellprotected with its heavy defences neverending arsenal of weapons and mysterious artifacts It will all have to be destroyed,88.1831653326727,12.82,15.1,21.07,79.0,33.0,53.0
11,"[8, 9, 31, 32]",7342,Inside,"[6, 14, 39, 48, 49, 130]",Missing,An atmospheric 2D sidescroller in which hunted and alone a boy finds himself drawn into the center of a dark project and struggles to preserve his identity,86.17522155127338,3.54,4.04,4.67,82.0,2766.0,4113.0
12,"[5, 31]",23215,Resident Evil 5 Remastered,"[48, 49, 130]",The Umbrella Corporation and its crop of lethal viruses have been destroyed and contained But a new more dangerous threat has emerged Years after surviving the events in Raccoon City Chris Redfield has been fighting the scourge of bioorganic weapons all over the world Now a member of the Bioterrorism Security Assessment Alliance BSAA Chris is sent to Africa to investigate a biological agent that is transforming the populace into aggressive and disturbing creatures Joined by another local BSAA agent Sheva Alomar the two must work together to solve the truth behind the disturbing turn of events,The biohazard threat has not ended Just when it seemed that the menace of Resident Evil had been destroyed along comes a new terror to send shivers down players spines Chris Redfield returning Resident Evil hero has followed the path of the evil literally around the globe After joining a new organization Chris heads to Africa where the latest bioterrorism threat is literally transforming the people and animals of the city into mindless maddened creatures He is joined by a new partner Sheva Alomar who lends her strength intelligence and sharpshooting skills to the mission In order to survive Chris and Sheva must work together to take on the challenges of discovering the truth behind this evil plot Utilizing a revolutionary new 2player coop mode of gameplay players assume control of either Chris or Sheva and experience Resident Evil in new ways In Resident Evil 5 Capcom has players fearing the daylight as much as they have feared shadow in previous games,82.36743865600542,,,,,,
13,Missing,82440,Prison Architect: All Day and a Night Edition,"[12, 48, 49, 130]",Missing,This bundle includes Prison Architect and the All Day And A Night DLC  Take control of the building and running of a maximum security prison  In Prison Architect you will see the impact of your grand design on the lives of your inmates be it a utopic centre for rehabilitation a brutal Super Max Prison or anything in between  All Day and a Night contains 8 new wardens 8 new prison maps and 8 new plots to build on your prison experience and bend the rules  Expose your prison to a whole host of outrageous characters who will impact your prisons in unique ways take charge of new prisons and build your penitentiary on exciting new plots,80.0,,,,,,
14,"[4, 32, 33]",78368,Verdict Guilty,"[6, 48, 49, 130]",Missing,Verdict Guilty is an easy to play 90s style arcade fighter Featuring unique handcuff and gun combat in a cops versus robbers theme Neo Seoul has been hit with a wave of terrorist and crime attacks only a few good officers remain willing to battle this new evil,80.0,0.43,2.06,3.45,60.0,12.0,18.0
15,"[9, 31, 32]",32817,Mr. Pumpkin Adventure,"[6, 14, 41, 46, 49]",Missing,Mr Pumpkins Adventure is a pointandclick puzzle game The main character of this game is Mr Pumpkin who lost his memories During the adventure you will help him solve all the puzzles which will eventually unveil an evil plot,80.0,1.4,1.5,2.69,58.0,5.0,10.0
16,"[10, 13, 14]",24681,Valentino Rossi: The Game,"[6, 48, 49]",Missing,Valentino Rossi The Game allows you not only to compete in the 2016 season but also with past MotoGP champions giving you the chance to relive the most important stages of the career of the 9 times world champion Join Valentino Rossis VR46 Riders Academy start your debut season in Moto3 and be ready to compete in all motorsports categories Valentino will invite you to compete in,80.0,21.55,26.22,29.83,66.0,4.0,9.0
17,"[10, 13, 14, 31]",20391,MXGP2: The Official Motocross Videogame,"[6, 48, 49]",Missing,MXGP2  The Official Motocross Videogame Compact will let you relive the Motocross World Championship allowing you to choose all the riders official teams and tracks from the 2015 MXGPclass season,80.0,,,,,,
18,"[4, 12, 25, 31, 32, 33]",17911,Heart&Slash,"[3, 6, 14, 48, 49, 130]",Missing,HeartSlash is a 3D brawler that is set in a world where machines are all that remains from the Human civilization You play as Heart an innocent robot fighting to escape the grip of the evil and all seeing machine QuAsSy Quality Assurance Systems But make no mistake HeartSlash is a hard game Every death is permanent and means a new randomly generated level for you to start over with a different set of weapons and items you can use new enemies to fight and secrets to explore,80.0,0.0,14.78,0.0,38.0,6.0,3.0
19,"[15, 26, 32, 35]",19083,Drawful 2,"[3, 6, 14, 48, 49, 130, 132]",Missing,The team behind the hit party games Fibbage Quiplash and YOU DONT KNOW JACK presents Drawful 2 the game of terrible drawings and hilariously wrong answers  You use your phone or tablet to draw weird and funny things like pitcher of nachos or death by trombone The other players type in what they think the probably terrible drawing is and those become the multiplechoice wrong answers Then everyone  even an audience of potentially thousands  tries to guess the REAL answer  Drawful 2 is a goto party game that everyone can play and enjoy,79.87074070311013,1.66,6.7,8.75,73.0,54.0,16.0
20,"[9, 12, 15, 31, 34]",11549,Zero Escape: Zero Time Dilemma,"[6, 37, 46, 48, 49]",The experiment wasnt supposed to be like this  Nine participants awaken in an underground facility imprisoned with a strange black bracelet on their wrists To escape they must play a game with deadly consequences The rules are simpleafter six people are killed the escape hatch will open Who will live and who will die The choice is yours Let the Decision Game begin,Zero Time Dilemma is the third and final entry in the Zero Escape series It is a story focused mysterythriller visual novel with multiple endings that involves player choices and puzzle rooms,79.23010256096953,,,,,,
21,[31],90566,Resident Evil 7 Teaser: Beginning Hour,"[6, 48, 49]",Missing,You wake up alone on the floor of an abandoned farmhouse Daylight is quickly fading You must find a way out  A thrilling horror experience for the five senses This full model change to the Isolated View and photorealistic graphics of RE Engine mark a new beginning for survival horror Enter a terrifyingly new world of horror and survive,73.40850598519832,0.6,1.07,1.73,78.0,70.0,94.0
22,"[9, 31]",11563,Sherlock Holmes: The Devil's Daughter,"[6, 48, 49, 130]",What could have led Katelyn Sherlock Holmess adoptive daughter to 221B Baker Street Did she uncover the dark truth about her father And who is the charming clairvoyant who has moved in to 221C Will Holmess implacable logic calm a whirlwind tearing at his emotions as he is confronted by fatherly love occult rituals and a desire for vengeance For the first time in his prestigious career the most illustrious of detectives must fight not to reveal a secret but to keep one  Play as the master detective himself plunged into a fantastic adventure brimming with intense action sequences Track down evil in the darkest corners of London and the depths of the human soul freely explore several of the citys districts in search of clues and untangle the threads of multiple intrigues Interrogate suspects gather testimony collect evidence Make your own deductions and live with the consequences of your choices,Sherlock Holmes The Devils Daughter is a fantastic adventure with unique gameplay that blends investigation action and exploration for an extraordinary experience that will test the limits of your nerves and intelligence  Track down evil in the darkest corners of London and the human soul while playing as the great detective as you untangle a web of intrigue leading to the final stunning revelation  Each of your deductions and actions affects the rest of the story for better or for worse,73.09645397193701,10.17,11.62,12.28,70.0,261.0,433.0
23,"[15, 32]",18866,Dead by Daylight,"[6, 48, 49, 130, 167, 169, 170]",Survivors play in thirdperson and have the advantage of better situational awareness The Killer plays in firstperson and is more focused on their prey  The Survivors goal in each encounter is to escape the Killing Ground without getting caught by the Killer  something that sounds easier than it is especially when the environment changes every time you play,Dead by Daylight is an asymmetrical multiplayer 4vs1 horror game where one player takes on the role of the savage Killer and the other four players play as Survivors trying to escape the Killer and avoid being caught and killed,71.76558908399791,55.0,364.48,781.48,70.0,318.0,38.0
24,"[8, 31]",19454,Deadlight: Director's Cut,"[6, 48, 49]",Set in an apocalyptic 1986 a zombie outbreak has brought humanity to its knees You play Randall Wayne a father searching the destroyed streets of Seattle for his family Youll encounter many lifethreatening situations but combat isnt always the answer against the undead fight back using scarce resources or hide and sneak past them utilizing the environment Deadlight Directors Cut is the ultimate Deadlight experience now with improved gameplay controls and extra game modes Features  Fight or run from zombie encounters in tense combat and platforming  Uncover the fate of Randalls family as he searches Seattle  Full 1080p with enhanced controls and improved animations  Survive the Nightmare difficulty mode on console for the first time  Fight for your life in the new Survival Arena mode Use new weapons and tactics to overcome waves of zombies scoring in onlineleaderboards,A zombie outbreak eradicated all hope of returning life back to normal now only survival lives on Run hide and fight your way through the undead as Randall searches for his family in this gorgeous gritty destroyed world,71.15507640830573,,,,,,
25,"[31, 32]",35803,HeartZ: Co-Hope Puzzles,"[3, 6, 14, 49]",Missing,HeartZ offers you a hearty combination of platform action puzzle and local coop gaming Outsmart traps and solve mysteries in each room and level while getting rid of Dr Nylus soldiers and machines Kick jump fart scare bite your way through mischievously designed levels,70.0,0.0,0.0,0.0,0.0,0.0,0.0
26,"[31, 32]",33890,Into the Belly of the Beast,"[6, 14, 49]",Missing,Into the Belly of the Beast is an actionadventure game where you jump into the role of Sploosh a sea worm who is heading out to bring back his swallowed children out of the belly of a sea monster,70.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"[14, 32, 33]",18985,Dangerous Golf,"[6, 48, 49]",Missing,Have a burning desire to change the way you play golf Then heres a smashing way to lower your handicap Mixing arcade styling with humorous irreverence Dangerous Golfs aim isnt for the likes of a Par or Birdie  but to cause maximum damage over 100 holes and four rather unusual locations,69.89923493189028,7.25,0.0,7.76,62.0,17.0,18.0
28,"[12, 31]",9919,The Technomancer,"[6, 48, 49]",On the run from the Secret Police and confronted by the harsh realities of the Red Planet you must undertake a quest that takes you through tribal communities cities lost under the ice and dystopian shanties sprawled across Mars dusty embrace  Faced with the cruelty of Mars ironfist enforcers and wildlife can you survive long enough to uncover the truth behind The Technomancer,The Technomancer is a Scifi RPG set on Mars during the War of Water where an aspiring Technomancer faces a myriad of questions as his future grows threatened by the secrets of his past    An RPG The Technomancer will offer players actionoriented combat gameplay along four different skill trees focusing on 3 different fighting styles and the destructive electricfocused powers of the Technomancers But all situations arent necessarily to be dealt with brute strength with dynamic conversation dialogue playing a deep role in quests changing the story depending on the decisions you make Craft equipment weapons and armor for yourself and for the companions youll recruit along your adventure nurturing relationships with them,69.49795351578415,19.09,27.58,44.88,63.0,81.0,114.0
29,"[8, 31]",2112,Mirror's Edge Catalyst,"[6, 48, 49]",Missing,Mirrors Edge Catalyst is an actionadventure game and the prequel to Mirrors Edge The story in the game explores the past of the protagonist Faith Like in the previous game the main gameplay in Mirrors Edge Catalyst involves traversing the city using parkour to reach certain objectives Unlike the linear levels in Mirrors Edge Mirrors Edge Catalyst features an openworld freeroaming environment Combat has been overhauled and emphasized compared to the first game and Catalyst no longer allows the player to use weapons instead focusing on melee attacks,69.44527784894687,8.36,13.34,32.4,70.0,817.0,983.0
