,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
25,221998,Kingdom Hearts II Final Mix,"[6, 9, 48, 49, 130]",An HD remaster of Kingdom Hearts II Final Mix which was originally exclusive to Japan It was released globally for the first time as part of the collection Kingdom Hearts HD 25 ReMIX,"[5, 8, 12, 25, 31]",Missing,93.09931345006399,29.62,40.07,68.5,90.0,545.0,775.0
26,17573,Geometry Wars 3: Dimensions Evolved,"[3, 6, 9, 12, 14, 39, 46, 48, 49]",Experience the full evolution of the awardwinning Geometry Wars franchise and battle through waves of enemies on 3D grids in this frenetic arcade shooter  Geometry Wars 3 Dimensions Evolved includes all of the great content  features from Geometry Wars 3 Dimensions and more,"[5, 33]",Missing,89.8598990363966,8.1,12.76,20.89,77.0,70.0,50.0
27,15464,Alien: Isolation - Last Survivor,"[3, 6, 9, 12, 14, 48, 49]",As Ellen Ripley it is down to you to complete the last mission on board the Nostromo The rest of the crew are dead In a desperate bid to survive you must set the ships selfdestruct and attempt to reach the escape shuttle,[31],It begins with a shot of Mother processing data and displaying the text INTERFACE 2037 READY FOR INQUIRY EVALUATION OF POTENTIAL PROCEDURES TO TO ESCAPE NOSTROMO The screen then cuts to black and recalls the remaining crews discussion on how they will take their chances in the shuttle The screen then cuts to Ripley in the shuttle docking bay contacting Parker regarding the coolant cylinders A short while later Ripley hears the Alien attack the two with Ripley hearing their frantic screams As she reaches them on C Deck she realizes shes too late only finding her fellow crewmembers corpses in the room She takes Parkers keycard from his body to unlock the door to engineering control There she is able to reverse a ship lockdown to access the area where the Self destruct system is located    Ripley arrives at the destination and initiates the self destruct system The game then replicates the sequence in the original movie in which Ripley runs through the corridors of a perishing Nostromo under the duress of the Alien As she manages to get on board the Narcissus the screen fades to black and then cuts to a screen of the Narcissus broadcast system with Ripleys voice being heard She then delivers her final monologue seen at the end of the original movie Final report of the commercial starship Nostromo Third officer reporting The other members of the crew  Kane Lambert Parker Brett Ash and Captain Dallas are dead Cargo and ship destroyed I should reach the frontier in about six weeks With a little luck the network will pick me up This is Ripley last survivor of the Nostromo signing off    As the screen fades to black a second time an extra line of dialogue can be heard Ill see you soon Amanda Be a good girl I love you,89.7640284904827,0.39,0.42,0.48,73.0,54.0,81.0
28,11612,BlazBlue: Chrono Phantasma Extend,"[6, 9, 46, 48, 49, 52]",BlazBlue Chrono Phantasma Extend formerly dubbed as BlazBlue Chrono Phantasma 20 in Arcade version is a 2D fighting game and the enhanced version of BlazBlue Chrono Phantasma Chrono Phantasma Extend adds two additional characters Lambda11 and Celica A Mercury The console release introduced extra story modes such as the beach scenario from the Playstation Vita version of Chrono Phantasma a new story based on the BlazBlue Remix Heart manga and additional scenarios for certain characters such as Kokonoe Kagura and Bullet For the localized version of Extend Library Mode reintroduced from the Japanese release The Playstation Vita version of Chrono Phantasma Extend also adds dual audio to the Story Mode which was not present in the original Vita release,"[4, 33]",Missing,89.52971863308044,12.97,32.27,73.34,78.0,34.0,32.0
29,15559,Just Dance 2015,"[5, 9, 12, 41, 48, 49]",Just Dance 2015 is the latest most awesomefilled version of the worlds 1 dance game With more than 50 million copies of Just Dance titles in homes around the world our players are as important as ever and the new features in Just Dance 2015 bring people together in more ways than ever before For the first time ever you too can be in the game The allnew Community Remix feature puts players in the global spotlight by allowing them to become a Just Dance coach that players everywhere can dance along to Just Dance 2015 also introduces Challenger mode where players will be able to compete against their past performances or challenge friends anywhere to beat their score even if they cant play at the same time Plus this year were bringing even more excitement to World Dance Floor the online multiplayer mode,[7],Missing,88.7561896753604,14.06,0.0,16.0,77.0,13.0,6.0
30,4754,Alien: Isolation,"[3, 6, 9, 12, 14, 48, 49, 130]",Alien Isolation is a survival horror game based on the Alien franchise As Amanda Ripley daughter of Ellen Ripley you will navigate through an increasingly volatile world as you find yourself confronted on all sides by a panicked population and an unpredictable Alien You must scavenge resources improvise solutions and use your wits not just to succeed in your mission but to simply stay alive In addition to the main story mode theres Survivor mode in which the player needs to escape from a specially designed map fulfilling secondary objectives along the way while being aggressively hunted by the alien This mode includes online leaderboards,[31],Fifteen years after the events of Alien Ellen Ripleys daughter Amanda enters a desperate battle for survival on a mission to unravel the truth behind her mothers disappearance,85.15595470213466,18.57,22.6,34.13,82.0,1120.0,1600.0
31,1962,Dreamfall Chapters,"[3, 6, 14, 48, 49]",Dreamfall Chapters is an episodic storydriven adventure game about choices and consequences dreams and reality magic and science chaos and order and the broken heroes whose actions will shape the course of history in all worlds With a brand new storyline Dreamfall Chapters introduces new players to The Longest Journey Saga while returning players will get the conclusion they have been waiting for ever since the end of Dreamfall The Longest Journey,"[31, 32]",Set in parallel worlds  one a dark cyberpunk vision of the future the other a magical fantasy realm  the game follows two broken heroes on their journey across worlds to save the very nature of dreams from the Undreaming Dreamfall Chapters is a mature emotional dark magical and heartbreaking adventure that will take you by surprise,82.8474720568197,21.97,24.7,35.88,74.0,120.0,195.0
32,20228,Sleeping Dogs: Definitive Edition,"[6, 14, 48, 49]",The Definitive Edition of the critically acclaimed award winning openworld action adventure reworked rebuilt and remastered for the new generation With all previously available DLC included and a wealth of tech and visual improvements Hong Kong has never felt so alive  A vibrant neon city teaming with life Hong Kongs exotic locations and busy streets and markets hide one of the most powerful and dangerous criminal organizations in the world the notorious Triads Play as Wei Shen  the highly skilled undercover cop trying to take down the Triads from the inside out Youll have to prove yourself worthy as you fight your way up the organization taking part in brutal criminal activities without blowing your cover  Destroy your opponents in brutal handtohand combat using an unmatched martial arts system Dominate Hong Kongs buzzing streets in thrilling illegal street races and tear it up in explosive firearms action Sleeping Dogs Hong Kong is the ultimate playground,"[5, 10, 25, 31]",Missing,82.27138565836454,14.32,23.76,40.84,80.0,1104.0,1706.0
33,8430,Shantae and the Pirate's Curse,"[6, 37, 41, 48, 49, 130, 167, 170]",Embark on a brand new adventure with Shantae the hairwhipping belly dancing genie When she loses her magic Shantae must team up with her nemesis the nefarious pirate Risky Boots in order to save Sequin Land from an evil curse As a pirate Shantae gains new weapons to advance her quest slay monsters battle epic bossesand hopefully get her magic back in the bargain But can she really trust her deadliest enemy  The third Shantae game is the biggest yet Beyond Sequin Land lie cursed islands and labyrinths each hiding a new piece of Pirate Gear  Flintlock Pistol Pirate Hat Scimitar Riskys Boots and even a Cannon Upgrade Shantaes hair and weapons or unlock advanced Fighters Moves Locate maps return lost Heart Squids collect rare loot and laugh out loud at the weird wild and wonderfully humorous cast of characters Incredible stereoscopic visuals unlockable PirateMode multiple endings and an unforgettable soundtrack make this one game you wont want to miss,"[8, 12, 31, 32]",Missing,81.70038656152728,8.1,9.59,10.29,79.0,421.0,704.0
34,3247,Sunset Overdrive,"[6, 49]",The citys overrun with mutants Problem Not for you Sunset Overdrive is an openworld playground of postapocalyptic possibilities Vault grind  wallrun while using a deadly  unconventional arsenal With hyperagility unique weapons  customizable abilities it rewrites the rules of shooters while delivering an irreverent adventure,"[5, 8, 31]",FizzCo has released their new hit energy drink OverCharge Delirium XT The only itty bitty problem is that its caused everyone who drank it to turn into mutants You are one of the survivors of Sunset City and now you must now band together with others at least the ones who arent dicks to try and escape Thats easier said than done Are you up for the challenge Lets hope so,81.07126438869615,10.1,17.67,34.05,79.0,695.0,955.0
35,83509,Fantasia: Music Evolved,"[12, 49]",This bundle features a digital version of the full game plus the Rock Pop and Dance Expansion packs,[7],Missing,80.0,7.72,10.19,25.0,80.0,6.0,9.0
36,24306,MX vs. ATV Supercross,"[9, 12]",Marking the revival of the bestselling MX vs ATV racing series MX vs ATV Supercross is centered around the highflying mudchurning Supercross sport Rip jump and scrub your way on a variety of tracks and try to cross the finish line first against more than 40 official riders to attain all that motocross glory Choose between bikes or ATVs multiple game modes including Career Single races and online multiplayer events with up to 12 players Perform amazing tricks to impress your fans or just whip over jumps to finish the race first Customize your rider with items from numerous licensed motocross companies to kick up dirt and dust on your way to victory,[10],Missing,80.0,8.25,15.0,0.0,45.0,4.0,3.0
37,17179,Toybox Turbos,"[6, 9, 12]",Fire up the fun as Codemasters reboots the classic table top racing experience in Toybox Turbos,[10],Missing,80.0,2.49,4.33,4.4,67.0,71.0,129.0
38,82422,Ryse: Legendary Edition,[49],Amidst the chaos of the late Roman Empire become soldier Marius Titus and embark on a perilous campaign to avenge the death of your family and defend the honor of Rome In Gladiator Mode step into the Colosseum and fight for the glory spectacle and entertainment of the crowds Legendary Edition includes full Season Pass contents three bonus maps optimized for maximum challenge in Solo mode and a new Legionary Skin,Missing,Missing,79.9376185624532,,,,,,
39,15460,Alien: Isolation - Crew Expendable,"[3, 6, 9, 12, 14, 48, 49]",This additional content sees the original crew reunited aboard the Nostromo Brett and Kane are dead alongside Ash and Lambert it is now down to you as Dallas Parker or Ellen Ripley to find a way to isolate the Alien and overcome the terror that confronts them    Alien Isolation is a firstperson survival horror game capturing the fear and tension evoked by Ridley Scotts 1979 classic film Players find themselves in an atmosphere of constant dread and mortal danger as an unpredictable ruthless Xenomorph is stalking and killing deep in the shadows Underpowered and underprepared you must scavenge resources improvise solutions and use your wits not just to succeed in your mission but to simply stay alive,[31],It begins with a shot of the hypersleep vault aboard the Nostromo but it then cuts to a shot of Ripley Lambert Parker Ash and Dallas discussing the Alien in the ships mess hall following Bretts death They figure that the Alien is using the ducts inside the ship to move around and Dallas suggests leading the Alien to the main airlock The player then gets to decide if Ripley Parker or Dallas goes into the ducts The player grabs a flamethrower motion tracker Maintenance Jack and possibly a flare and Medikit They then meet with Ash who tells them that the security systems has shut a number of doors so theyll have to gather equipment en route The player descends a ladder to B Deck and Ash seals the hatch behind them    While avoiding being killed by the Alien the player seals maintenance hatches 00B1 and 00B2 They then pass through the landing claw bay where Bretts corpse is located and seal either hatch 00B3 or 00B4 After sealing the hatch Ash tells them to find the primary air shaft system and lead the Alien to C Deck There Ash can connect to the airlock systems from his terminal After entering the primary air shafts the players motion tracker begins malfunctioning Lambert finds the player on her motion tracker and tells them that the Alien is also inside the shafts Lambert attempts to guide the player through the shafts while they avoid the Alien Eventually the player reaches the end of the shafts and drops down to C Deck    The player then has to connect Ash to the airlock systems Ash tells them that hes opening the outer airlock but itll take some time so they should find somewhere to hide Eventually Ash informs them that its primed and instructs the player to wait for the Alien to enter the outer airlock chamber and be ready to close it in Once the Alien enters the airlock the player approaches the airlock and presses the button to seal the airlock However Ash tells them that something strange is happening and the switch does not work An alarm inside the airlock activates and the Alien flees knocking out the player Once they wake up Ash is waiting for them    It ends with a shot of the med lab as Ashs voice is heard delivering his iconic monologue from the movie Bring back lifeform Priority one All other priorities rescinded You still dont understand what youre dealing with do you Perfect organism Its structural perfection is matched only by its hostility I admire its purity A survivor Unclouded by conscience remorse or delusions of morality Last word I cant lie to you about your chances But you have my sympathies,78.84793145985812,0.54,0.63,0.75,75.0,52.0,88.0
40,17959,Stealth Inc 2: A Game of Clones,"[6, 9, 41, 46, 48, 49]",In Stealth Inc 2 you play the role of a clone escaping a sinister and hightech testing facility Stealth Inc 2 tests both your brain and your reflexes over 60 varied levels linked together in a sprawling overworld   Death is never more than a few moments away but one of the few advantages of being a clone is that death isnt all that permanent With no loading screens and no lives to worry about players are encouraged to use their inevitable demise as a learning tool as they navigate lasers homicidal robots and terrifying bosses in the ultimate hostile work environment,"[8, 9, 31, 32]",Missing,78.5508981628045,9.07,14.2,26.32,69.0,42.0,43.0
41,15459,Alien: Isolation - Corporate Lockdown,"[3, 6, 9, 12, 14, 48, 49]",Welcome to Corporate Lockdown the first expansion pack for Alien Isolation This pack features three allnew mapsfor Survivor Mode a timebased challenge to test your skills  Can you evade the Alien for long enough to survive or will you try to take the Alien headon   Three new maps stretching from the Corporate Penthouse to the Medlabs  New playable character Ransome gives you the firepower to take the fight to your enemies  Upload your best times to the Alien Isolation leaderboards and challenge the world,[31],Following WeylandYutanis betrayal Ransome came to a conclusion that Sevastopol Station had plunged into utter disaster and decided that he was going to escape the station but not before erasing all data that the company would want to obtain  Ransome left his luxury penthouse and hastened through Solomons Habitation Tower to try to impede WeyYu as much as possible he disabled the camera systems sealed the window shutters of the outside of the station and deleted all server records All whilst under the duress of the Drone and numerous Facehuggers that had made their way into the area  After surviving the Xenomorph encounter in Habitation Ransome moved onto his next goal in the San Cristobal Medical Facility remove all trace of his involvement Whilst the Xenomorph stalks him in the facility he steals numerous copies of Dr Lingards research files and also deletes a message that Lingard had sent to Marshal Waits regarding Ransome a list of all the times he blackmailed or threatened someone An explosion later engulfs an area of the facility with the executive taking his leave in an elevator to comms Ransome also manages to save a resident from a burning room during this experience  The elevator crashes into comms with Ransome having to climb out of it Once investigating around the Working Joe stricken area he closes a message recorded by Nina Taylor to Sevastopol and takes an audio log recorded by Ellen Ripley in hopes of using it as a bargaining chip to get onboard the Torrens Whilst experiencing a close encounter with the Drone Ransome managed to override elevator security control and escape  His fate afterwards is unknown,78.2589898478868,,,,,,
42,36240,Icewind Dale: Enhanced Edition,"[3, 6, 14, 34, 48, 49, 130]",Originally released in 2000 Icewind Dale is a Dungeons  Dragons game set in Wizards of The Coasts legendary Forgotten Realms This Enhanced Edition allows players to experience the epic adventure on PC Mac Linux iPad iPhone and Android tablets and phones and includes a host of new features     Swords and Sorcery Discover dozens of new spells and items including new magic armor and weapons   Blackguards and Wizard Slayers Select from over 30 new kits and classes to create the perfect adventuring party   Bring A Friend Join your fellow adventurers in cooperative crossplatform multiplayer games   See The Unseen Explore quest content cut from the original game now finished and restored   More to Experience Icewind Dale Enhanced Edition includes both the Heart of Winter and Trials of the Luremaster expansion packs,"[12, 15, 31]",Evil stirs beneath the Spine of the World    In the northernmost reaches of the Forgotten Realms lies the region of icy tundra known as Icewind Dale Journey deep into the Spine of the World mountains a harsh and unforgiving territory settled by only the hardiest folk Encounter fearsome beasts that have learned the cunning and ferocity needed to survive among the snowshrouded peaks Confront an evil that schemes beneath the carven glaciers and mountainsides to wreak destruction upon the face of Faerûn This is the world of Icewind Dale Enhanced Edition,77.65368889935101,30.53,40.82,59.74,75.0,50.0,88.0
43,7614,NBA 2K15,"[6, 9, 12, 48, 49]",NBA 2K15 features approximately 5000 new animations new defensive AI shooting systems new teamspecific play sets and more control over rebounding steals and blocks New game broadcast presentation hosted by Ernie Johnson and Shaq ONeal delivers commentary and analysis to the action,"[13, 14]",Missing,77.23330896570465,58.03,186.43,598.91,73.0,50.0,25.0
44,9683,Dungeon of the Endless,"[6, 14, 39, 48, 49, 130]",In Dungeon of the Endless the player takes the role of the survivors of a prison spaceship its escape pod having crashed to the surface of a strange planet To escape they must take an energy crystal through several floors each floor filled with a number of dangerous creatures To help the player can have their survivors explore the randomly generated levels to collect resources as to enable power to various rooms and construct turrets to fend off the enemies when they move the crystal from its starting point to the elevator to the next floor,"[8, 11, 12, 15, 31, 32]",Missing,76.4792547002798,7.67,23.39,127.02,75.0,101.0,91.0
