,id,name,platforms,storyline,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
24,246261,Graveyard Keeper: Last Journey Edition,[49],Missing,The ultimate Graveyard Keeper experience with a complete set of all 4 DLCs,Missing,Missing,,,,,,
25,246125,Ghostwire Tokyo: Spider's Thread,"[6, 167, 169]",Missing,The citys denizens have been replaced by beings from another world  yōkai evil spirits myths and urban legends brought to life But now isnt the time to fear the unknownface it in Ghostwire Tokyo now featuring the allnew Spiders Thread update  The Spiders Thread update available now for all Ghostwire Tokyo players adds a new roguelite mode to the game on top of other additions to the base campaign including new enemies new skills new areas to explore new side missions extended story cinematics Photo Mode enhancements new trophiesachievements and more,[31],Missing,,,,,,
26,246050,Pinball FX: Williams Pinball - Twilight Zone,"[49, 130, 169]",Missing,You just crossed over into the Twilight Zone With a pinball that isnt and flippers that arent keep telling yourself its only a game Earn highscores that are from another dimension with this classic joining the Pinball FX library,[13],Missing,,,,,,
27,245716,Rubberduck Wave Racer,"[48, 49, 130, 167, 169]",Missing,Be a duckling  a squeaky duckling,"[10, 13, 14, 33]",Missing,,,,,,
28,245627,Puzzle by Nikoli W Shikaku,[49],Missing,Shikaku is one of Nikolis own original cassetête with simple rules and a unique feeling of solution Until you get used to it youll tend to solve the cassetête with guesswork but the real charm lies in solving them with logic Once you master the method of solving the cassetête by gradually stretching squares from the numbers youll be able to enjoy Shikaku on an even deeper level,Missing,Missing,,,,,,
29,245626,King of the Arcade,"[49, 169]",Missing,Featuring over 40 Playable games King of the Arcade lets you play as former Champ Mac McCormick fighting to save Castles Arcade from a hostile takeover With epic boss battles and an openworld arcade reclaim your title as King in this ultimate Arcade experience,"[4, 5, 7, 8, 10, 12, 13, 14, 31, 32]",Missing,0.0,0.0,0.0,60.0,1.0,0.0
30,245169,Sherlock Holmes: The Awakened - The Sleuth's Attire,"[6, 48, 49, 130, 167, 169]",Missing,Get ready to immerse yourself even deeper and channel your inner detective with three new Victorianerainspired costumes  With the Clergyman Cassock youll give the impression of a true man of the cloth ready to absolve even the most hardened sinners  Unleash your inner detective with the Master Sleuth costume This sleek and sophisticated outfit will make you the talk of the town and give your character the mystery and intrigue of a true virtuoso investigator ready to solve even the most challenging of mysteries  The Consulting Detective outfit adds a classic touch to your look and elevates your immersive experience,"[31, 32]",Missing,,,,,,
31,244820,Mixx Island: Remix Plus,"[49, 130]",Missing,Mixx Island Remix Plus is a highenergy actionpacked shooter set in a fantastic 2D world Gather your wits sharpen your reflexes and prepare for the ultimate challenge,"[5, 8, 31]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
32,244790,Evil Dead: The Game - Game of the Year Edition,"[49, 169]",Missing,Step into the shoes of Ash Williams or his friends from the iconic Evil Dead franchise and work together in a game loaded with overthetop coop and PVP multiplayer action,Missing,Missing,,,,,,
33,243933,Overwatch 2: Season 4 - Space Opera,"[6, 48, 49, 130, 167, 169]",Missing,Blossom onto the battlefield with our newest Support Hero Lifeweaver progress through the Battle Pass to earn rewards including Mythic Galactic Emperor Sigma and fight for your faction when The Watchers and The Infinite Empire clash in the Starwatch event  Explore Talantis the firstever map made in collaboration with the community  Enjoy major qualityoflife updates with a revamped Competitive experience,"[5, 15]",Missing,,,,,,
34,243881,No Man's Sky: Interceptor,"[6, 48, 49, 130, 163, 165, 167, 169, 385, 390]",Missing,Venture to forsaken Sentinel worlds in update 42 INTERCEPTOR Explore corrupted planets fight a legion of challenging new robotic guardians hijack their technology steal their ships harvest their resources destroy their freighters and much much more,Missing,Missing,,,,,,
