first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1665532800,221706,Super Pixel Kid,[49],Super Pixel Kid is 2D platform adventure game There are 5 adventure worlds in the game a total of 100 levels each adventure world ends with a final boss Control pixel kid to run jump blocks and explore the arcades Travel across dangerous jungle cave etc Collect coins gold acceleration props to help you defeat the Monster Have fun,[8],Missing,Missing,0.0,0.0,0.0,40.0,1.0,0.0
1665532800,221702,Century: Age of Ashes - Harbinger Edition,"[49, 169]",Prophecies rise out of thin air from the eternal channeled through the mind of Harbingers and distilled in chants or tomes  like the Grimoire of Volgïr Those end up being passed down generations until they finally find their purpose,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1665619200,221695,Kao the Kangaroo: A Well Good Bundle,"[49, 130, 169]",The Well Good Bundle includes the Kao The Kangaroo 2022 full game all of the free DLC released so far two costume packs and the Oh Well DLC pack for one price,"[8, 31, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1665619200,221642,Kao the Kangaroo: Oh! Well,"[49, 130]",With 5 new playable Eternal Wells to conquer and 5 scary skins to unlock Kao The Kangaroos Oh Well DLC pack is the perfect way to get ready for a scare,"[8, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1664841600,221632,Overwatch 2: Watchpoint Pack,"[6, 48, 49, 130, 167, 169]",The pack includes the following Overwatch 2 ingame content Season One Premium Battle Pass 7 Legendary skins including 2 allnew Space Raider skins 5 Epic skins 2000 Overwatch Coins and instant access to all 35 Overwatch Heroes  With the Season One Premium Battle Pass you can unlock over 80 Tiers of rewards including Mythic Cyber Demon Genji Legendary Hinotori Kiriko and more In addition as a Season One Premium Battle Pass owner you will automatically receive access to Overwatchs latest hero Kiriko,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1666742400,221589,Escape String,"[7, 11, 48, 49, 130, 169]",Escape String is a 2D puzzle game set in an undefined time and place A small humanoid robot wakes up in the debris of a landfill inside a large factory He receives strange and enigmatic messages from someone who apparently wants to help him The robots purpose is to explore the large factory where he is in search of answers about who he and his mysterious remote helper are The player does not control the robot directly and in real time but inserts movement commands above its display in order to tell the robot when it is time to jump to crouch and more It is therefore a puzzle game based on perspective the player must calculate the spaces between the robot and the obstacles The obstacles are initially totally static but as they advance they will be more and more dynamic and varied For example we will have guard robots that will perform the same actions as our robot in a mirrored manner There are currently 40 levels with 8 types of obstacles The real challenge will consist in finishing the level with the minimum possible number of indications input and providing these commands in a single line string ending the level while simultaneously satisfying these conditions will unlock the gold chip of that particular level The gold chip will be used to unlock new skins for our robot This title is therefore suitable both for those looking for a relaxing puzzle given the nondynamic gameplay and for those looking for a challenge given its arcade nature,"[9, 15, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1665532800,221571,Go All Out,"[48, 49]",Greatest cast of heroes and antagonists from different worlds games movies and even comic books have been summoned for a faceoff,[4],Missing,Missing,nan,nan,nan,nan,nan,nan
1665100800,221531,No Man's Sky: Waypoint,"[6, 48, 49, 130, 167, 169]",Access the universe of No Mans Sky from anywhere in update 40 Waypoint Launching for the first time on Nintendo Switch and overhauling fundamental elements of gameplay including game modes inventory size and usability milestones journey cataloguing and much more,[31],Missing,Missing,nan,nan,nan,nan,nan,nan
1665446400,221460,No More Heroes III: Digital Deluxe Edition,"[49, 169]",Beam katana your way to the top  No More Heroes III Digital Deluxe Edition includes  No More Heroes 3 game  Bonus ingame item Cat Tshirt  Bonus ingame item Destroy All XXXXXXS Tshirt  Bonus ingame item IAFK Tshirt  Bonus ingame item Tenstion of Tiger Tshirt  Bonus ingame item Insert Coin Tshirt,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1665619200,221421,PGA Tour 2K23: Tiger Woods Edition,"[6, 49, 169]",The PGA TOUR 2K23 Tiger Woods Edition includes all of the content from the Deluxe Edition including the Michael Jordan Bonus Pack Golden Club Pack Tiger Woods Signature Sunday Pack and Tiger Woods Edition Bonus Pack  PGA TOUR 2K23 More Golf More Game,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1665619200,221296,QUByte Classics: Tinhead,"[48, 49, 130]",Embark in an adventure to save the stars in Tinhead,"[8, 31, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1666656000,221146,Garbage Pail Kids: Mad Mike and the Quest for Stale Gum,"[6, 48, 49, 130]",Garbage Pail Kids are back in this LongLost AllNew platforming adventure Featuring four playable characters six secretfilled levels and a tradingcard system Garbage Pail Kids Mad Mike and the Quest for Stale Gum is a throwback to the golden era of 80s gaming,"[8, 33]",Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1666915200,221096,Bones of Halloween,"[48, 49, 130, 167, 169]",How long can you survive the night of the pumpkin skeletons A small but spooky firstperson shooter with a Halloween theme,"[5, 32]",Missing,Missing,nan,nan,nan,nan,nan,nan
1664841600,220932,Overwatch 2: Season 1 - Cyberpunk,"[6, 48, 49, 130, 167, 169]",New heroes join the fight and allnew rewards await in Overwatch 2 Season 1 including the Season 1 Battle Pass which offers players 80 tiers of rewards through the season As a part of the free track players can earn and unlock Overwatch 2s new support hero Kiriko Epic skins and a collection of new cosmetic items,"[5, 15]",Missing,Missing,nan,nan,nan,nan,nan,nan
1665100800,220917,L.O.L Surprise! B.B.s Born to Travel: On Vacay,"[49, 130, 169]",Set sail for a tropical vacay on Surf Island  and discover fierce fashion dolls characters stickers and local multiplayer fun only found in this colorful paradise,"[7, 13]",Missing,Missing,nan,nan,nan,nan,nan,nan
1665014400,220801,NASCAR 21: Ignition - Victory Edition,"[49, 169]",Make the most of your racing experience with NASCAR 21 Ignition  Victory Edition the best way to enjoy the thrill and excitement of the 2021 and 2022 NASCAR Cup Series seasons in one game NASCAR 21 Ignition Victory Edition includes the base game of NASCAR 21 Ignition the official video game of the worlds most popular stock car racing series Also included is Season Pass 1 which features three DLC packs of 2021 content Throwback Patriotic and Playoff schemes and four Legendary NASCAR drivers including NASCAR Hall of Fame driver Bill Elliott  NASCAR Ignition Victory Edition also includes the 2022 Season Pass which will feature three DLC packs that contain additional alternative paint schemes from the historic 2022 NASCAR Cup Series season including Throwback Patriotic and Playoff schemes,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1665100800,220800,Far Cry 6: Game of the Year Edition,"[6, 48, 49, 167, 169]",Far Cry 6 Game of the Year Edition includes the base game all Season Pass content all game updates the Ultimate Pack and the new expansion Lost Between Worlds coming soon  Welcome to Yara a tropical paradise frozen in time The awardwinning Far Cry 6 thrusts players into a modernday guerrilla revolution Become a guerrilla fighter and liberate Yara in solo or coop,"[5, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1665446400,220790,Prison Architect: Undead,"[3, 6, 14, 48, 49]",Undead brings a whole new scenario to Prison Architect one where the only objective is to survive With this new spooky expansion wardens will have to fight off the undead attacks to save their inmates and free the prison from an unprecedented catastrophe,"[11, 13, 15, 32]",Missing,Missing,nan,nan,nan,nan,nan,nan
1666137600,220760,Chivalry 2: King's Edition,"[49, 169]",Chivalry 2 Kings Edition includes exclusive ingame content Chivalry 2 is a multiplayer first person slasher inspired by epic medieval movie battles,[4],Missing,Missing,nan,nan,nan,nan,nan,nan
1666137600,220345,Pnevmo-Capsula,"[48, 130, 167, 169]",PnevmoCapsula is a casual adventure game You will travel to an alternate utopian atompunk world as a small trolley delivering mail Time seems to have stopped at the break of 19301960 years here The city is connected by a single system of rails,"[9, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1665446400,219522,Letterbox by Powgi,"[48, 49, 130, 167, 169]",Letterbox is a game of anagrams and logical reasoning Take the letters from a nineletter word and place them into the grid to form six new fiveletter words Theres only one correct answer that spells valid words in all directions,"[9, 15, 35]",Missing,Missing,nan,nan,nan,nan,nan,nan
1665705600,219484,Nickelodeon Kart Racers 3: Slime Speedway - Turbo Edition,"[49, 130, 169]",Zuko the fiery prince of the Fire Nation and classic throwback version of the red donned Raphael join the action as playable racers alongside crew members Firelord Ozai and Shredder unique Kart Paint Jobs and more  This Turbo Edition Includes  Nickelodeon Kart Racers 3 Slime Speedway base game  Zuko from Avatar The Last Airbender as a playable racer  Eastman and Laird Raphael from Teenage Mutant Ninja Turtles as a playable racer  Firelord Ozai from Avatar The Last Airbender as crew member  Shredder from Teenage Mutant Ninja Turtles as a crew member  Slime style Exhaust Kart Part  Slime style Monster Wheel Kart Part  Orange and Purple Kids Choice Awards Paint Jobs,"[10, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1666828800,219440,"Warhammer 40,000: Inquisitor - Martyr: Ultimate Edition","[167, 169]",The Ultimate Edition includes Warhammer 40000 Inquisitor  Martyr and all additional content  You are an Inquisitor the Imperiums most powerful agent In this actionRPG choose from amongst several character classes and take part in tactical and violent combat in solo or coop mode,[12],Missing,Missing,nan,nan,nan,nan,nan,nan
1665014400,219174,Castle Renovator,"[48, 49, 130]",Build your own kingdom and customize it to your liking You start on your own inherited piece of land Work as a craftsman to clean repair build and decorate medieval renaissance and baroque buildings and castles Visit beautiful locations breathe new life into old rooms and as you know  hard work pays off  so maybe one day you will become the King,"[13, 31]",Missing,Missing,nan,nan,nan,nan,nan,nan
1666828800,219057,Army of Ruin,"[6, 14, 48, 49, 130, 167, 169]",Army of Ruin is an autoshooter in which you guide legendary heroes on a quest to defeat the Armies of Evil  Get hold of a deadly arsenal capable of slaying hundreds of enemies in seconds and you may have a shot at defeating the deadly Army Generals,"[5, 12, 31, 32, 33]",Missing,Missing,0.0,21.67,40.0,78.0,2.0,5.0
1664668800,218726,Kattish,"[49, 130, 169]",Kattish is 2D PuzzlePlatformer Game Our main character is a very sweet cat But she has to pass these levels quickly Are you ready to pass the challenging levels with plain graphics Its not as easy as it looks,"[8, 9, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1666310400,218722,JoJo Siwa: Worldwide Party,"[6, 48, 49, 130, 167, 169]",Youre invited to JoJo Siwas Worldwide Party Lace up your High Top Shoes and run through JoJos worlds listening along to her biggest hits including DREAM Bop and Nonstop Complete levels as JoJo to perform special dance routines Can you match t,"[7, 8]",Missing,Missing,0.0,0.0,0.0,60.0,1.0,0.0
1666915200,218405,Call of Duty: Modern Warfare II - Vault Edition,"[6, 48, 49, 167, 169]",Call of Duty Modern Warfare II drops players into an unprecedented global conflict that features the return of the iconic Operators of Task Force 141 Available on all platforms the digitalonly Vault Edition offers the most content of any version of Call of Duty Modern Warfare II  In addition to the base game  CrossGen Bundle version on consoles Standard Edition on PC  and Early Access to the Call of Duty Modern Warfare II Open Beta the Vault Edition includes the following bonus content   Red Team 141 Operator Pack includes four playable Multiplayer Operators Ghost Farah Price and Soap Each Operator comes equipped with a custommade masked outfit themed around the legendary mercenary Ghost  FJX Cinder Weapon Vault  One season of the Battle Pass and 50 Tier Skips or its equivalent at launch  Ghost Legacy Pack Instantly unlock 12 Operator Skins for the Ghost Operator and 10 Assault Rifle Weapon Blueprints for use in Call of Duty Warzone and Call of Duty Modern Warfare 2019  Players who purchase the Vault Edition through the ingame store in Call of Duty Warzone Call of Duty Vanguard Call of Duty Black Ops Cold War or Call of Duty Modern Warfare will receive 10 hours of Double XP Tokens and 10 hours of Double Weapon XP Tokens for use in Call of Duty Modern Warfare II XP Tokens will be waiting for you and available to use ingame at launch,[5],Task Force 141 makes its massive return with a global squad of iconic veterans these Operators include Captain John Price Simon Ghost Riley John Soap MacTavish Kyle Gaz Garrick and introducing Mexican Special Forces Colonel Alejandro Vargas,Missing,nan,nan,nan,nan,nan,nan
1666828800,218217,Asterix & Obelix XXXL: The Ram From Hibernia - Collector's Edition,"[6, 14, 48, 130, 167, 169]",Asterix  Obelix XXXL The Ram From Hibernia  Collectors Edition includes  Game Asterix  Obelix XXXL The Ram From Hibernia  Collectors Box  Obelix figurine 18cm tall  Two sticker sheets  3 lithographs,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1666742400,217790,Stranger of Paradise: Final Fantasy Origin - Wanderer of the Rift,"[6, 48, 49, 167, 169]",Fight your way through the Labyrinth of Dimensions a dungeon that randomly configures your path to unlock pieces of the story Wanderer of the Rift will introduce a new job Blue Mage and special monsters you can fight and summon into battle with the use of a Summoning Stone  In addition to new equipment that unlocks new abilities a new class of enemies called Chaotic Monsters will be added to give the player a more diverse and challenging experience,[12],Once there was a group of warriors who fell before the darkness and gave themselves over to chaos This is the story of what came next  A new premonition stirs and strives to manifest into this world ruled by chaos It is the birth of the Light of Possibility brought about with the aid of the dragon king and it is the mysterious presence attempting to intervene from a distant world  Jack and his allies cannot possibly know whose hand directed the dragon king  Is this next challenge awaiting them a curse from another world A visitor Or perhaps something else entirely,Missing,9.32,30.09,32.0,65.0,8.0,8.0
1666742400,217386,Titanium Hound,"[6, 48, 49, 130]",Titanium Hound is retrolooking video game in cyberpunk genre where you are going to pilot huge and agile exoskeleton to crush hordes of crazed security drones and abominations to uncover conspiracy carefully crafted by one of global corporations,"[5, 8]",Dark and not so distant future Scientific breakthrough led to usage of microbe colonies as power sources in all aspects of life Corporations that control these living batteries development and production became very weightful political powers in the world Crime inequality and corruption under their influence reached levels unimaginable before In attempt to take this chaos under control governments reorganized their police forces and boosted them with top notch military gear  Titanium Hound is cutting edge manned complex designed to resolve very difficult situations in urban conditions,Missing,nan,nan,nan,nan,nan,nan
