first_release_date,id,name,platforms,summary,genres,storyline,rating
1453939200,132073,Storm Lover 2nd V,[46],PlayStation Vita port Compatible with PlayStation Vita TV,[34],Our heroine Arashiyama Mari has just moved to town and starts her 2nd year of high school at St Louis High,Missing
1452556800,121021,The Sims 4: Movie Hangout Stuff,"[6, 14, 48, 49, 167, 169]",Why go out when you can stay in relax and watch movies Invite some friends over hang out and have a movie marathon with The Sims 4 Movie Hangout Stuff a stuff pack for The Sims 4 Pop a bowl of popcorn and entertain your Sims with a flick on the allnew projector screen Chill out and relax with bohochic outfits and effortless hairstyles,"[12, 13, 15, 31]",Give your home the feel of a movie theater with the allnew projector screen Watch ten different films while relaxing on the couch or venture outside and watch a movie in the fresh air  Whats a movie without popcorn Give your Sims the classic cinematic snack topped with butter cheddar or sugary toppings  Just because your Sims are staying in doesnt mean they cant look great Dress them in outfits that are perfect for enjoying a relaxing day or lounging around at night  Liven up your Sims home with some colorful décor and decorative lighting,Missing
1452211200,118939,Trine Trilogy,[48],Missing,Missing,Missing,Missing
1452124800,118741,Tarot Readings Premium,"[6, 34, 48, 130, 167]",Use our tarot reading cards adviser to learn about your future and fate,[35],Missing,Missing
1452556800,118740,Borderlands 2: Ultimate Edition,[9],Borderlands 2 Ultimate Edition offers more value than ever before Play as one of six Vault Hunters facing off in a massive world of creatures psychos and the evil mastermind Handsome Jack Make new friends arm them with a bazillion weapons and fight together in 4player coop or splitscreen on a relentless quest for revenge and redemption on the planet Pandora  Includes Captain Scarlett and her Pirates Booty Mr Torgues Campaign of Carnage Sir Hammerlocks Big Game Hunt Tiny Tinas Assault on Dragon Keep Both Ultimate Vault Hunter Upgrade Packs Mechromancer Character Pack Psycho Character Pack All 5 Headhunter DLC packs,[5],Missing,Missing
1453593600,114133,Marble Power Blast,"[34, 48, 130]",Play Marble Power Blast a Match3 Bubble shooter game Get beautiful HD backgrounds in 50 levels and 7 different locationsthemes Unlock the shuffle gaming mode and generate your own levels with random calculated difficulty marble waves length and number of colors,[9],Missing,Missing
1453161600,109437,Assassin's Creed Syndicate: Streets of London Pack,"[6, 48, 49]",With over 45 minutes of gameplay this pack contains missions weapons and gear to expand your Assassins Creed Syndicate experience  Finally this pack comes with a variety of equipment  weapons for both Jacob  Evie 13 weapons 6 pieces of gear and 3 outfits,[31],Starting with The Darwin and Dickens Conspiracy Missions Embark on two pulsepounding missions that will take you into the inner sanctums of Londons most influential men Defend Charles Darwins discoveries from those who would kill to silence him And help the friend of legendary writer Charles Dickens keep a secret that could get him killed This pack also includes the Runaway Train Mission as a runaway train thunders through London at top speed you must find and fix the trains critical flaws before you run out of time,Missing
1454025600,99762,Arcade Archives: Bubble Bobble,"[48, 130]",Arcade Archives Bubble Bobble is a port of the action game Bubble Bobble Players control the twin Bubble Dragons that are called Bubblun and Bobblun and travel through one hundred different stages The game became popular and led to a long series of sequels and spinoffs The main goal of the game is to rescue their girlfriends from the Cave of Monsters,[33],Missing,Missing
1453939200,97435,The Idolmaster: Cinderella Girls - Gravure for You! Vol.8,[9],This volume continues the ability to take pictures of two idols at a time and to add music from CDs into the BGM list When the selected idol wears the Dreamy Wedding or Dark Rose Fantasy outfits the player can take pictures of the idols sitting with the dress skirt billowing around them Idol Focus Chieri Ogata Costumes Dark Rose Fantasy Bikini of Siren Dreamy Wedding Locations Halloween Manor Nighttime Beach Church,Missing,Missing,Missing
1452729600,85439,The Perplexing Orb,"[6, 41, 48]",The Perplexing Orb is an arcade platforming adventure game,"[31, 32]",Missing,Missing
1453161600,82423,Resident Evil: Deluxe Origins Bundle,"[6, 9, 48, 49]",Two games two nightmares Get ready to relive the beginning of gamings greatest survival horror series Resident Evil Deluxe Origins Bundle includes two HD remasters of classic titles  Resident Evil and Resident Evil 0  as well as all of the Resident Evil 0 alternate costume packs containing 8 total DLC costumes Featuring remastered visuals and sound options for modern and classic controls and Resident Evil 0s all new Wesker Mode this bundle is a perfect way to experience the origins of evil,Missing,Missing,Missing
1451952000,80333,Act It Out! A Game of Charades,"[41, 48]",This game from Snap Finger Click aims to take care of all the setup and score keeping for Charades leaving the players free to focus on embarrassing themselves,[26],Missing,Missing
1453939200,56318,Uta no Prince-sama: Music 3,[46],Third music game of Uta no Princesama series with new songs from the franchise,[7],Missing,Missing
1453766400,53270,LEGO Marvel's Avengers: Deluxe Edition,"[6, 48, 49]",Avengers Assemble Gain access to the additional full Season Pass which consists of over 40 new characters and 5 exciting new levels based on content focused around Marvels Agents of SHIELD and Classic comic versions of Black Panther Doctor Strange Captain Marvel and Masters of Evil As an added bonus Season Pass holders will also have exclusive access to The Avengers Explorer Character Pack,[31],Missing,Missing
1452816000,34209,Zheros,"[6, 48, 49]",Zheros is a new generation 3D beat em up based on the genre hallmarks above all smashing hordes of enemies and punching stuff From bizarre characters and encounters to strange locations find out what mystery awaits you at the end of your journey,"[25, 32]",In a journey through distant and unknown galaxies you will play as the members of the Zheros squad Mike and Captain Dorian Brave strong as awkward and dimwitted the first one agile smart and ready for anything the second one They are both intergalactic agents called to protect the galaxies from crime  Your mission defend the universe from the evil Dr Vendetta and his twisted plan to mutate every living creature in his trusted minions,Missing
1453939200,26568,Touhou Double Focus,"[6, 46, 48]",After getting sucked into a magical book Aya and Momiji must find their way back home Swap between the two girls in battle so you can utilize their abilities to gain the advantage Explore every nook and cranny to unravel the mystery of the Book World,"[8, 31, 32]",At a certain rental bookstore in Gensokyo Like any other day Kosuzu Motoori tended to the store until one book caught her eye Although she was quite knowledgeable about magical books she had never seen anything like it After making sure no one was around she stroked the cover with her finger  BookKing I guess Ill try reading it  She pulled up a chair took a seat and got ready to open the book It was unbeknownst to her however that this would mark the beginning of an incident that would involve all of Gensokyo  Lets check out whats going on at Yokai Mountain As usual a pile of fabricated articles lied before the crow tengu reporter Aya Shameimaru  Hmm I dont have enough experience to give this article enough appeal  Aya racked her brain hoping she could come up with something more interesting after setting off a nuclear explosion on Yokai Mountain Just then her sidekick Momiji Inubashiri came rushing into the room  Hey Aya Stop writing fake stories and actually do your job  Momiji stared down Aya holding Kisume the key witness of the explosive incident prior to this when all of a sudden  Ahh  The girls were blinded by a light so bright that it probably reached all of Gensokyo  WhWhere is that light coming from Seems like its coming from the Human Village Hmmsmells like a story is in the works All right lets go Momiji  Momiji tried to stop Aya but she raced off with her bulletpad and pen instead As she shook her head Momiji reluctantly followed Aya With Kisume in hand  Ahahh To think that such an extraordinary magical book existed  Back at Suzunaan Kosuzus legs had given out as the magical book floated above her head Even for someone as fearless and inquisitive as her all she could do was gaze at such extraordinary power  But Kosuzu decided to take action  Knowing how to read a books abilities by a mere touch she knew She understood that this book should never be opened Because if so Gensokyo and the Book World would become connected However Aya stood before her turning around and forcing a smile And in her hands was the magical book completely opened  Sorry but I already opened it Ahhhhhhhhhhhhhhhhhh  And just like that they were all sucked into the book Will they be able to return safely to Gensokyo This marks the start of how two girls began their bullet coverage within the Book World,Missing
1453161600,25990,Batman: Arkham Knight - Crime Fighter Challenge Pack 6,"[6, 48, 49]",Get this Crime Fighter Challenge Pack to play as the caped crusader as he fights the war on crime in your favorite locations from Arkham Asylum Arkham City and Arkham Knight This expansive challenge pack allows focused training in Freeflow Combat and Invisible Predator stealth incursion  Crime Fighter Challenge Map Pack 6 also known as the Community Challenge Pack is a DLC Challenge Pack in Batman Arkham Knight It includes six challenge maps from Batman Arkham Asylum and Batman Arkham City and a special endless Predator Mode challenge The challenges received a nextgen overhaul with improved graphics and other small changes  PC users gained access to the DLC pack one week before PS4 and Xbox One users as an apology for the broken launch and delayed rerelease,"[25, 31]",Missing,Missing
1453939200,22044,A.W. Phoenix Festa,[46],In this action RPG game play the events of The Asterisk War animation series Live the life of hero Ayato Amagiri and experience Rikka Academy and the Phoenix Festa storyline Players will go through simulated high school experiences while fighting in over the top tournaments,"[12, 13]",Missing,Missing
1453852800,17003,Romance of the Three Kingdoms XIII,"[6, 48, 130]",The ultimate depiction of the Three Kingdom A heroic drama of a gathering of Legends Based on this concept for Romance of the Three Kingdoms 13 we have compiled an experience that will immerse the player deep into the historically turbulent world of the Three Kingdoms with human drama seen through daily interactions both on the battlefield and off between the many heroic characters of the time all playable spectacular battles shown in majestic battle scenes dynamism expressed across the great land of China in full 3D as each character plots and battles to expand their territory and much more  Players will become one of the heroes that lived during the time of the Three Kingdoms and through their actions and decisions will forge their own unique history in that turbulent yet period,"[13, 15]",Missing,Missing
1453939200,11340,AIPD,"[6, 48, 49]",AIPD by Blazing Badger is a topdown coop twinstick shooter where the player can design his own game mode out of 100000 possible combinations The visual style of AIPD is a hommage to 80s neon art styles pioneered by games like Minestorm on the Vectrex console system or feature films like Tron,"[5, 9, 32, 33]",Missing,Missing
1453161600,41862,Resident Evil: Origins Collection,"[48, 49]",Experience the early days of the outbreak in Resident Evil Origins Collection a compilation package of two with two Resident Evil origin stories Resident Evil 0 and Resident Evil HD  Both terrifying games have been brought to new new levels of horror with new HD visuals improved sound widescreen support an optional modernized control system and more,"[5, 31]",Missing,94.28571428571429
1452729600,15709,Odin Sphere: Leifthrasir,"[9, 46, 48]",Odin Sphere Leifthrasir is an enhanced HD remake of Odin Sphere game for PlayStation 2 Many various adjustments and changes were made in gameplay considering comments from people who played the original game While this is enhanced version of the original and its trying to stay true to it there are new gameplay and story elements presented in this release some of which include new boss fights new attack moves new background music and new map area to explore While the initial idea of the developers was to make just n HD remastered release it ended up being more of a recreated game version As such the game offers both classic mode as well as refined mode with all new elements and new gameplay,[12],Missing,85.88945694754983
