first_release_date,id,name,platforms,genres,summary,storyline,rating
1481673600,31143,Stereo Aereo,"[3, 6, 14, 48]","[5, 7, 31, 32, 33]",Stereo Aereo is a rhythm and story driven space arcade shooter that is inspired by the popculture influences of the 80s  Set in a comic styled scifi universe its your job to get space rockband Stereo Aereo to their concert Follow the beat of the music to take down the tyrants who dont want Stereo Aereo to reach their 15 minutes of fame,Missing,Missing
1481846400,30554,VR Apocalypse,"[6, 165]",[32],Beat the clock and squash the alien scum in this fastpaced virtual reality shooter,Missing,Missing
1482278400,30071,Domino Craft VR,"[6, 165]",[13],domino Craft VRWanna trigger and enjoy some awesome domino chain reactions Or even better build up your own freely and quickly  Domino Craft is a casual  usergenerationcontent VR game Everyone can start it easily and play very long time comfortably You can create domino fantasies just like in reality but without the limits of time space and elements  There will be two game modes Challenge You will be immersed in a fancy  toy world and go through a series of levels with puzzles from easy to hard Gradually you improve your skill and become a domino master Creation You can design and create your own domino toppling chains by lots of pieces and toys in this sand box Build whatever you want to show how cool you are  Our teams dream is to bring you games which are unique juicy and can be played for very longtime Enjoy yourself in the Domino Fantasy,Missing,Missing
1482537600,28452,ACA Neo Geo: Metal Slug,"[6, 48, 49, 130]","[5, 33]",Metal Slug is the original entry in one of the most famous action game series ever released It was originally released by SNK in 1996 Players control Marco and Tarma who belong to the Special Forces team known as the Peregrine Falcon Squad They fight to defeat General Donald Morden in an effort to take back their stolen weapon known as the Metal Slug Players can utilize various weapons and vehicles such as the Metal Slug to sway the fight in their favor,Missing,Missing
1480809600,28131,Lara Croft Go: Mirror of Spirits,"[3, 6, 14, 34, 39, 46, 48]","[9, 31]",The Mirror of Spirits is heavily inspired by the Croft Manor and classic encounters with Laras doppelgänger This new chapter includes over 25 puzzles completely new mechanics and a new artifact to collect,Missing,Missing
1480982400,26813,Nubla,"[6, 48]","[8, 9, 31, 32]",Nubla is a graphical adventure a journey through the world of the works inside the ThyssenBornemisza Museum It tells the story of a unique inhabitant of the fantastic world existing inside the paintings of the museum who seeks to discover who he is and to uncover his past by solving various puzzles,Missing,Missing
1482192000,26784,Rollercoaster Dreams,"[48, 165]","[13, 15]",Visit the amusement parks which are created by the players from all over the world The players from all over the world will visit the amusement parks which are created by you,Missing,Missing
1482192000,26663,Air Race Speed,[46],"[10, 33]",Take speed to a whole new level with this racing hit Air Race Speed is a solo timetrial racing game where you pilot the most powerful futuristic jets through adrenalinefuelled challenging tracks Compete against your friends through online rankings and get to the top of the rankings,Missing,Missing
1482105600,26585,Grave Danger,"[3, 6, 14, 48, 130]","[8, 9, 13, 31, 32, 33]",Grave Danger is an action packed adventure game about an unlikely group of heroes Switch between Dante the cowboy Elliot the wizard and Malice the reaper use their different abilities to solve puzzles and make their way out of trouble Will you be able to guide them to victory,Missing,Missing
1481673600,26558,DOOM: Bloodfall,"[6, 48, 49]",[5],Doom Bloodfall is the third and final DLC Pack to bring allnew multiplayer content to the awardwinning firstperson shooter With three new maps to dominate one new playable demon to unleash a new weapon to master a new equipment item and a host of new armor sets taunts and Hack Modules Bloodfall offers players even more ways to expand and customize their fastpaced multiplayer experience,Bloodfall is the third and final DLC pack for DOOM bringing three diverse new maps a Grenade Launcher the Cultist armor set and more to the games fastpaced multiplayer Youll also be able to transform into the Spectre Pinky a fan favorite demon whose signature invisibility tactic allows you to sneak up on enemy players,Missing
1481500800,26443,Battle Garegga Rev.2016,"[48, 49]",[5],The legendary arcade shoot em up from 1996 is back in this meticulously crafted release thats sure to please both devoted fans and a new generation of shmup maniacs,Missing,Missing
1482364800,26362,Watch Dogs 2: T-Bone Content Bundle,"[6, 48, 49]",[31],Get the style and the swagger of legendary hacker TBone Grady in the first Watch_Dogs 2 DLC bundle Outfit Marcus with TBones signature look and plow a path of epic destruction through San Francisco in TBones customized truck  specially equipped to lift and annihilate vehicles enemies and anything else in your way  Bundle Includes  TBone Truck available in the carondemand app  One complete TBone inspired outfit  New elite enemy class armed with laserguided grenade launchers  New coop difficulty mode,Missing,Missing
1480636800,26237,The Keeper of 4 Elements,"[46, 48]",[15],Rise to the islands defence using the elemental towers and devastating spells which can fend off any possible enemy Dont let the hordes of Darkness discover the secret of the island,Missing,Missing
